start_time,datetime,estimated_leverage_ratio
2021-01-01 00:00:00,2021-01-01 00:00:00,1.29608611
2021-01-01 01:00:00,2021-01-01 01:00:00,1.3004558
2021-01-01 02:00:00,2021-01-01 02:00:00,1.30818146
2021-01-01 03:00:00,2021-01-01 03:00:00,1.29682725
2021-01-01 04:00:00,2021-01-01 04:00:00,1.3011061
2021-01-01 05:00:00,2021-01-01 05:00:00,1.30560038
2021-01-01 06:00:00,2021-01-01 06:00:00,1.3179073
2021-01-01 07:00:00,2021-01-01 07:00:00,1.31478611
2021-01-01 08:00:00,2021-01-01 08:00:00,1.34021429
2021-01-01 09:00:00,2021-01-01 09:00:00,1.33909561
2021-01-01 10:00:00,2021-01-01 10:00:00,1.34274705
2021-01-01 11:00:00,2021-01-01 11:00:00,1.33241881
2021-01-01 12:00:00,2021-01-01 12:00:00,1.34654384
2021-01-01 13:00:00,2021-01-01 13:00:00,1.32837118
2021-01-01 14:00:00,2021-01-01 14:00:00,1.34152265
2021-01-01 15:00:00,2021-01-01 15:00:00,1.35287713
2021-01-01 16:00:00,2021-01-01 16:00:00,1.34128738
2021-01-01 17:00:00,2021-01-01 17:00:00,1.34929055
2021-01-01 18:00:00,2021-01-01 18:00:00,1.35726956
2021-01-01 19:00:00,2021-01-01 19:00:00,1.35619607
2021-01-01 20:00:00,2021-01-01 20:00:00,1.34955186
2021-01-01 21:00:00,2021-01-01 21:00:00,1.35659631
2021-01-01 22:00:00,2021-01-01 22:00:00,1.33328784
2021-01-01 23:00:00,2021-01-01 23:00:00,1.32634308
2021-01-02 00:00:00,2021-01-02 00:00:00,1.32961483
2021-01-02 01:00:00,2021-01-02 01:00:00,1.31990829
2021-01-02 02:00:00,2021-01-02 02:00:00,1.32776562
2021-01-02 03:00:00,2021-01-02 03:00:00,1.32641309
2021-01-02 04:00:00,2021-01-02 04:00:00,1.32913021
2021-01-02 05:00:00,2021-01-02 05:00:00,1.32175533
2021-01-02 06:00:00,2021-01-02 06:00:00,1.30957057
2021-01-02 07:00:00,2021-01-02 07:00:00,1.31346995
2021-01-02 08:00:00,2021-01-02 08:00:00,1.32066445
2021-01-02 09:00:00,2021-01-02 09:00:00,1.354195
2021-01-02 10:00:00,2021-01-02 10:00:00,1.34473227
2021-01-02 11:00:00,2021-01-02 11:00:00,1.34490484
2021-01-02 12:00:00,2021-01-02 12:00:00,1.31027757
2021-01-02 13:00:00,2021-01-02 13:00:00,1.2877353
2021-01-02 14:00:00,2021-01-02 14:00:00,1.2860792
2021-01-02 15:00:00,2021-01-02 15:00:00,1.29529854
2021-01-02 16:00:00,2021-01-02 16:00:00,1.26168335
2021-01-02 17:00:00,2021-01-02 17:00:00,1.24584861
2021-01-02 18:00:00,2021-01-02 18:00:00,1.24310334
2021-01-02 19:00:00,2021-01-02 19:00:00,1.25048717
2021-01-02 20:00:00,2021-01-02 20:00:00,1.34986962
2021-01-02 21:00:00,2021-01-02 21:00:00,1.27252858
2021-01-02 22:00:00,2021-01-02 22:00:00,1.2349438
2021-01-02 23:00:00,2021-01-02 23:00:00,1.25115692
2021-01-03 00:00:00,2021-01-03 00:00:00,1.24851191
2021-01-03 01:00:00,2021-01-03 01:00:00,1.25047274
