start_time,date,mvrv
2021-01-01,2021-01-01,3.16093718
2021-01-02,2021-01-02,3.394538
2021-01-03,2021-01-03,3.43222377
2021-01-04,2021-01-04,3.27353352
2021-01-05,2021-01-05,3.42996475
2021-01-06,2021-01-06,3.64991436
2021-01-07,2021-01-07,3.79639489
2021-01-08,2021-01-08,3.80222066
2021-01-09,2021-01-09,3.70570573
2021-01-10,2021-01-10,3.48599534
2021-01-11,2021-01-11,3.21918733
2021-01-12,2021-01-12,3.07432506
2021-01-13,2021-01-13,3.35357644
2021-01-14,2021-01-14,3.47217786
2021-01-15,2021-01-15,3.24266958
2021-01-16,2021-01-16,3.1663074
2021-01-17,2021-01-17,3.14402931
2021-01-18,2021-01-18,3.19589237
2021-01-19,2021-01-19,3.11640072
2021-01-20,2021-01-20,3.0747949
2021-01-21,2021-01-21,2.67248367
2021-01-22,2021-01-22,2.85491451
2021-01-23,2021-01-23,2.77351
2021-01-24,2021-01-24,2.78832465
2021-01-25,2021-01-25,2.77770231
2021-01-26,2021-01-26,2.79682644
2021-01-27,2021-01-27,2.60245752
2021-01-28,2021-01-28,2.84827006
2021-01-29,2021-01-29,2.89205941
2021-01-30,2021-01-30,2.88842811
2021-01-31,2021-01-31,2.78019337
2021-02-01,2021-02-01,2.81058655
2021-02-02,2021-02-02,2.96259492
2021-02-03,2021-02-03,3.12608582
2021-02-04,2021-02-04,3.0487853
2021-02-05,2021-02-05,3.13243518
2021-02-06,2021-02-06,3.1905537
2021-02-07,2021-02-07,3.14474203
2021-02-08,2021-02-08,3.71521691
2021-02-09,2021-02-09,3.63820319
2021-02-10,2021-02-10,3.46934766
2021-02-11,2021-02-11,3.67907988
2021-02-12,2021-02-12,3.59666081
2021-02-13,2021-02-13,3.56879926
2021-02-14,2021-02-14,3.66131059
2021-02-15,2021-02-15,3.56778021
2021-02-16,2021-02-16,3.6350514
2021-02-17,2021-02-17,3.81365283
2021-02-18,2021-02-18,3.72590287
2021-02-19,2021-02-19,3.96373197
2021-02-20,2021-02-20,3.90364643
2021-02-21,2021-02-21,3.98120636
2021-02-22,2021-02-22,3.72030698
2021-02-23,2021-02-23,3.3299199
2021-02-24,2021-02-24,3.35698968
2021-02-25,2021-02-25,3.15989613
2021-02-26,2021-02-26,3.08086186
2021-02-27,2021-02-27,3.07534776
2021-02-28,2021-02-28,3.00988814
2021-03-01,2021-03-01,3.28545732
2021-03-02,2021-03-02,3.19446007
2021-03-03,2021-03-03,3.30596017
2021-03-04,2021-03-04,3.16378574
2021-03-05,2021-03-05,3.18094569
2021-03-06,2021-03-06,3.18260544
2021-03-07,2021-03-07,3.31204099
2021-03-08,2021-03-08,3.38496071
2021-03-09,2021-03-09,3.52665154
2021-03-10,2021-03-10,3.56364073
2021-03-11,2021-03-11,3.64813735
2021-03-12,2021-03-12,3.58095785
2021-03-13,2021-03-13,3.80317899
2021-03-14,2021-03-14,3.64402109
2021-03-15,2021-03-15,3.42495948
2021-03-16,2021-03-16,3.48162276
2021-03-17,2021-03-17,3.58469485
2021-03-18,2021-03-18,3.49538479
2021-03-19,2021-03-19,3.50916223
2021-03-20,2021-03-20,3.50022193
2021-03-21,2021-03-21,3.44776535
2021-03-22,2021-03-22,3.23842932
2021-03-23,2021-03-23,3.23425215
2021-03-24,2021-03-24,3.09966094
2021-03-25,2021-03-25,3.02883668
2021-03-26,2021-03-26,3.23685256
2021-03-27,2021-03-27,3.2685445
2021-03-28,2021-03-28,3.25811043
2021-03-29,2021-03-29,3.35192269
2021-03-30,2021-03-30,3.40254786
2021-03-31,2021-03-31,3.38433404
2021-04-01,2021-04-01,3.35961101
2021-04-02,2021-04-02,3.36013946
2021-04-03,2021-04-03,3.24727831
2021-04-04,2021-04-04,3.30753357
2021-04-05,2021-04-05,3.35067504
2021-04-06,2021-04-06,3.23269952
2021-04-07,2021-04-07,3.11091386
2021-04-08,2021-04-08,3.22121871
2021-04-09,2021-04-09,3.21502724
2021-04-10,2021-04-10,3.2972449
2021-04-11,2021-04-11,3.29540179
2021-04-12,2021-04-12,3.27265117
2021-04-13,2021-04-13,3.45054325
2021-04-14,2021-04-14,3.38757335
2021-04-15,2021-04-15,3.3815707
2021-04-16,2021-04-16,3.2752204
2021-04-17,2021-04-17,3.19393379
2021-04-18,2021-04-18,2.95825544
2021-04-19,2021-04-19,2.92640588
2021-04-20,2021-04-20,2.96301007
2021-04-21,2021-04-21,2.81980931
2021-04-22,2021-04-22,2.70159312
2021-04-23,2021-04-23,2.67453994
2021-04-24,2021-04-24,2.61320628
2021-04-25,2021-04-25,2.56253513
2021-04-26,2021-04-26,2.81089127
2021-04-27,2021-04-27,2.8502859
2021-04-28,2021-04-28,2.83596644
2021-04-29,2021-04-29,2.75875948
2021-04-30,2021-04-30,2.95915048
2021-05-01,2021-05-01,2.95862402
2021-05-02,2021-05-02,2.89176032
2021-05-03,2021-05-03,2.91237725
2021-05-04,2021-05-04,2.70642938
2021-05-05,2021-05-05,2.9148007
2021-05-06,2021-05-06,2.85081196
2021-05-07,2021-05-07,2.8773493
2021-05-08,2021-05-08,2.94960676
2021-05-09,2021-05-09,2.91103244
2021-05-10,2021-05-10,2.7826122
