start_time,date,stablecoin_supply_ratio
2021-01-01,2021-01-01,26.91078963
2021-01-02,2021-01-02,29.24375307
2021-01-03,2021-01-03,29.73304968
2021-01-04,2021-01-04,28.51287246
2021-01-05,2021-01-05,30.09073195
2021-01-06,2021-01-06,32.19085248
2021-01-07,2021-01-07,33.87819157
2021-01-08,2021-01-08,34.46487856
2021-01-09,2021-01-09,33.82853326
2021-01-10,2021-01-10,31.99050842
2021-01-11,2021-01-11,29.65955979
2021-01-12,2021-01-12,28.33266717
2021-01-13,2021-01-13,30.99181255
2021-01-14,2021-01-14,32.18302206
2021-01-15,2021-01-15,30.21763605
2021-01-16,2021-01-16,29.30696577
2021-01-17,2021-01-17,28.98734044
2021-01-18,2021-01-18,29.55711685
2021-01-19,2021-01-19,28.85245135
2021-01-20,2021-01-20,28.29040489
2021-01-21,2021-01-21,24.68210424
2021-01-22,2021-01-22,26.16890848
2021-01-23,2021-01-23,25.3700913
2021-01-24,2021-01-24,25.42430378
2021-01-25,2021-01-25,25.26914387
2021-01-26,2021-01-26,25.39267694
2021-01-27,2021-01-27,23.48977136
2021-01-28,2021-01-28,25.69369104
2021-01-29,2021-01-29,25.7234487
2021-01-30,2021-01-30,25.46442958
2021-01-31,2021-01-31,24.52083489
2021-02-01,2021-02-01,24.82612449
2021-02-02,2021-02-02,26.02794724
2021-02-03,2021-02-03,25.135259
2021-02-04,2021-02-04,24.39408739
2021-02-05,2021-02-05,24.80515875
2021-02-06,2021-02-06,25.29320308
2021-02-07,2021-02-07,24.74883736
2021-02-08,2021-02-08,29.3470897
2021-02-09,2021-02-09,29.13772489
2021-02-10,2021-02-10,27.89081213
2021-02-11,2021-02-11,29.71040219
2021-02-12,2021-02-12,29.08256637
2021-02-13,2021-02-13,28.75907753
2021-02-14,2021-02-14,29.40454225
2021-02-15,2021-02-15,28.89799784
2021-02-16,2021-02-16,29.43876636
2021-02-17,2021-02-17,31.16273404
2021-02-18,2021-02-18,30.67033119
2021-02-19,2021-02-19,32.94846475
2021-02-20,2021-02-20,32.60362681
2021-02-21,2021-02-21,33.28054121
2021-02-22,2021-02-22,31.23808201
2021-02-23,2021-02-23,28.11412769
2021-02-24,2021-02-24,28.30298616
2021-02-25,2021-02-25,26.6653466
2021-02-26,2021-02-26,25.99369234
2021-02-27,2021-02-27,25.86459433
2021-02-28,2021-02-28,25.17354114
2021-03-01,2021-03-01,27.40904536
2021-03-02,2021-03-02,26.76231584
2021-03-03,2021-03-03,27.87911813
2021-03-04,2021-03-04,26.80652843
2021-03-05,2021-03-05,26.97129723
2021-03-06,2021-03-06,26.92449613
2021-03-07,2021-03-07,27.97800365
2021-03-08,2021-03-08,28.77371638
2021-03-09,2021-03-09,30.05470254
2021-03-10,2021-03-10,30.38040562
2021-03-11,2021-03-11,31.16618807
2021-03-12,2021-03-12,30.78675958
2021-03-13,2021-03-13,32.76056874
2021-03-14,2021-03-14,31.51925811
2021-03-15,2021-03-15,29.41665005
2021-03-16,2021-03-16,29.87041942
2021-03-17,2021-03-17,30.76104601
2021-03-18,2021-03-18,29.94409519
2021-03-19,2021-03-19,29.88969449
2021-03-20,2021-03-20,29.75350235
2021-03-21,2021-03-21,29.2780354
2021-03-22,2021-03-22,27.54749351
2021-03-23,2021-03-23,27.54183161
2021-03-24,2021-03-24,26.35276939
2021-03-25,2021-03-25,25.75330512
2021-03-26,2021-03-26,27.36866373
2021-03-27,2021-03-27,27.6634115
2021-03-28,2021-03-28,27.53799297
2021-03-29,2021-03-29,28.5277943
2021-03-30,2021-03-30,28.99820902
2021-03-31,2021-03-31,28.99798231
2021-04-01,2021-04-01,28.78971218
2021-04-02,2021-04-02,28.80193096
2021-04-03,2021-04-03,27.87332368
2021-04-04,2021-04-04,28.2594707
2021-04-05,2021-04-05,28.6936132
2021-04-06,2021-04-06,28.18335583
2021-04-07,2021-04-07,26.88119817
2021-04-08,2021-04-08,27.79383576
2021-04-09,2021-04-09,27.56032836
2021-04-10,2021-04-10,28.29518457
2021-04-11,2021-04-11,28.30091315
2021-04-12,2021-04-12,28.32491229
2021-04-13,2021-04-13,30.03699104
2021-04-14,2021-04-14,29.23315737
2021-04-15,2021-04-15,29.15893209
2021-04-16,2021-04-16,27.6624412
2021-04-17,2021-04-17,26.7252723
2021-04-18,2021-04-18,24.89455279
2021-04-19,2021-04-19,24.68706159
2021-04-20,2021-04-20,24.75952806
2021-04-21,2021-04-21,23.39270755
2021-04-22,2021-04-22,22.52197761
2021-04-23,2021-04-23,22.15893932
2021-04-24,2021-04-24,21.50800104
2021-04-25,2021-04-25,21.03846012
2021-04-26,2021-04-26,22.92479079
2021-04-27,2021-04-27,23.24682769
2021-04-28,2021-04-28,23.06599624
2021-04-29,2021-04-29,22.25300433
2021-04-30,2021-04-30,23.73966219
2021-05-01,2021-05-01,23.70285014
2021-05-02,2021-05-02,23.05457244
2021-05-03,2021-05-03,23.15504113
2021-05-04,2021-05-04,21.33112274
2021-05-05,2021-05-05,22.76376718
2021-05-06,2021-05-06,22.09808996
2021-05-07,2021-05-07,22.3761013
2021-05-08,2021-05-08,22.82964186
2021-05-09,2021-05-09,22.40920899
2021-05-10,2021-05-10,21.14277243
2021-05-11,2021-05-11,21.36472246
2021-05-12,2021-05-12,18.62194763
2021-05-13,2021-05-13,18.67655872
2021-05-14,2021-05-14,18.58486563
2021-05-15,2021-05-15,17.36536751
2021-05-16,2021-05-16,17.25801305
2021-05-17,2021-05-17,15.82403196
2021-05-18,2021-05-18,15.53043846
2021-05-19,2021-05-19,13.09187374
2021-05-20,2021-05-20,14.29746594
2021-05-21,2021-05-21,12.88967564
2021-05-22,2021-05-22,12.86842869
2021-05-23,2021-05-23,11.9259988
2021-05-24,2021-05-24,13.27961054
2021-05-25,2021-05-25,13.04477973
2021-05-26,2021-05-26,13.23076183
2021-05-27,2021-05-27,12.9015843
2021-05-28,2021-05-28,11.8839926
2021-05-29,2021-05-29,11.49301619
2021-05-30,2021-05-30,11.80990276
2021-05-31,2021-05-31,11.84544367
2021-06-01,2021-06-01,11.46775757
2021-06-02,2021-06-02,11.76150278
2021-06-03,2021-06-03,12.27340714
2021-06-04,2021-06-04,11.52009607
2021-06-05,2021-06-05,11.08182268
2021-06-06,2021-06-06,11.15670863
2021-06-07,2021-06-07,10.39382837
2021-06-08,2021-06-08,10.33237199
2021-06-09,2021-06-09,11.54600186
2021-06-10,2021-06-10,11.33563398
2021-06-11,2021-06-11,11.49246624
2021-06-12,2021-06-12,10.92742425
2021-06-13,2021-06-13,11.97193098
2021-06-14,2021-06-14,12.38171515
2021-06-15,2021-06-15,12.24329224
2021-06-16,2021-06-16,11.69043618
2021-06-17,2021-06-17,11.65740741
2021-06-18,2021-06-18,10.95756774
2021-06-19,2021-06-19,10.82518929
2021-06-20,2021-06-20,10.84928576
