start_time,date,range_0d_1d,range_10y_inf,range_12m_18m,range_18m_2y,range_1d_1w,range_1m_3m,range_1w_1m,range_2y_3y,range_3m_6m,range_3y_5y,range_5y_7y,range_6m_12m,range_7y_10y
2021-01-01,2021-01-01,29313.98683789,0.0189668,9230.69704829,6264.21579324,27481.586357,15238.79971956,21616.79242237,6904.87420899,10869.0881915,4818.72911406,489.84933407,8373.63519304,126.48662923
2021-01-02,2021-01-02,31585.15359808,0.01907539,9216.48725468,6222.57867466,27962.16428378,15319.57892487,21812.98585548,6906.83861167,10879.51202505,4856.45203266,487.46898252,8381.46485193,129.20831331
2021-01-03,2021-01-03,33397.39857502,0.01907695,9196.61359012,6274.80499156,28644.17370228,15445.73644562,22162.24899305,6848.68251788,10874.8903814,4915.07849862,486.14093396,8391.25765907,130.55586737
2021-01-04,2021-01-04,31692.73010179,0.0191219,9166.03410362,6327.18494242,29881.14967181,15456.88949436,22747.6660588,6822.91145838,10898.54912767,4942.29655195,483.26457424,8402.25160997,133.64866887
2021-01-05,2021-01-05,32760.08046488,0.01916996,9151.1005138,6352.329218,30775.73653759,15546.37785412,23190.84488585,6786.7508274,10923.19803178,4980.28446083,482.81576577,8409.59080951,134.08761223
2021-01-06,2021-01-06,34955.64385111,0.01926431,9095.08517807,6465.6289754,31528.98434021,15669.45399655,23639.29349939,6533.47342374,10928.72953935,5265.00679006,482.67294785,8413.63450149,134.60411263
2021-01-07,2021-01-07,38694.39496567,0.0193423,9020.42599528,6602.88552213,32277.11714285,15859.44312084,23962.01396453,6503.51817605,10936.65621754,5282.47660443,482.50361152,8409.89517142,134.7167316
2021-01-08,2021-01-08,39912.09953548,0.01945624,9008.40931708,6623.61248191,34512.04469643,15863.10306684,24512.96197924,6474.62445971,10946.29938051,5303.55633174,481.74753932,8405.89576151,135.46033468
2021-01-09,2021-01-09,40363.07157102,0.01966719,9005.99718923,6649.72504775,36226.20397051,15861.78270956,25073.07956636,6450.72106102,10965.10036307,5322.88513301,478.16253259,8412.83573006,139.08004518
2021-01-10,2021-01-10,39283.79165354,0.0200579,9000.15590095,6664.0787352,37056.71538698,15898.33117507,25538.69622579,6421.46643246,10995.47993343,5346.94056286,476.92096905,8422.46553365,140.54007948
