start_time,datetime,flow_mean,flow_total,transactions_count_flow
2021-01-01 00:00:00,2021-01-01 00:00:00,0.0,0.0,0
2021-01-01 01:00:00,2021-01-01 01:00:00,0.03046641,0.7616602,25
2021-01-01 02:00:00,2021-01-01 02:00:00,0.08576395,0.77187553,9
2021-01-01 03:00:00,2021-01-01 03:00:00,0.04448046,0.08896093,2
2021-01-01 04:00:00,2021-01-01 04:00:00,0.07251696,0.14503392,2
2021-01-01 05:00:00,2021-01-01 05:00:00,0.60362386,23.5413304,39
2021-01-01 06:00:00,2021-01-01 06:00:00,0.50820577,46.24672479,91
2021-01-01 07:00:00,2021-01-01 07:00:00,2.4422663,70.82572274,29
2021-01-01 08:00:00,2021-01-01 08:00:00,4.1661457,66.65833116,16
2021-01-01 09:00:00,2021-01-01 09:00:00,0.00442281,0.02211403,5
2021-01-01 10:00:00,2021-01-01 10:00:00,0.19530707,3.71083424,19
2021-01-01 11:00:00,2021-01-01 11:00:00,0.00546418,0.02185673,4
2021-01-01 12:00:00,2021-01-01 12:00:00,0.09752514,3.12080459,32
2021-01-01 13:00:00,2021-01-01 13:00:00,0.248372,4.22232393,17
2021-01-01 14:00:00,2021-01-01 14:00:00,65.26260848,65.26260848,1
2021-01-01 15:00:00,2021-01-01 15:00:00,0.47954094,4.79540939,10
2021-01-01 16:00:00,2021-01-01 16:00:00,0.00331527,0.03315272,10
2021-01-01 17:00:00,2021-01-01 17:00:00,1.0269027,8.21522164,8
2021-01-01 18:00:00,2021-01-01 18:00:00,0.93680056,16.86241009,18
2021-01-01 19:00:00,2021-01-01 19:00:00,0.0,0.0,0
2021-01-01 20:00:00,2021-01-01 20:00:00,21.28401546,63.85204639,3
2021-01-01 21:00:00,2021-01-01 21:00:00,0.01761601,0.01761601,1
2021-01-01 22:00:00,2021-01-01 22:00:00,0.0,0.0,0
2021-01-01 23:00:00,2021-01-01 23:00:00,0.0,0.0,0
2021-01-02 00:00:00,2021-01-02 00:00:00,0.14660213,2.93204253,20
2021-01-02 01:00:00,2021-01-02 01:00:00,0.25458268,4.32790552,17
2021-01-02 02:00:00,2021-01-02 02:00:00,0.0,0.0,0
2021-01-02 03:00:00,2021-01-02 03:00:00,11.91017455,131.01192005,11
2021-01-02 04:00:00,2021-01-02 04:00:00,0.36811746,4.78552701,13
2021-01-02 05:00:00,2021-01-02 05:00:00,0.00185726,0.01114356,6
2021-01-02 06:00:00,2021-01-02 06:00:00,2.52396208,5.04792416,2
2021-01-02 07:00:00,2021-01-02 07:00:00,0.0,0.0,0
2021-01-02 08:00:00,2021-01-02 08:00:00,7.90241793,71.12176141,9
2021-01-02 09:00:00,2021-01-02 09:00:00,0.00041455,0.00041455,1
2021-01-02 10:00:00,2021-01-02 10:00:00,0.44253803,5.7529944,13
2021-01-02 11:00:00,2021-01-02 11:00:00,0.00695326,0.01390651,2
2021-01-02 12:00:00,2021-01-02 12:00:00,0.00692854,0.01385709,2
2021-01-02 13:00:00,2021-01-02 13:00:00,0.0093268,0.01865361,2
