start_time,datetime,reserve,reserve_usd
2021-01-01 00:00:00,2021-01-01 00:00:00,15820.88204803,459683560.8204166
2021-01-01 01:00:00,2021-01-01 01:00:00,15829.59935253,466360685.4545995
2021-01-01 02:00:00,2021-01-01 02:00:00,15829.88807828,464737496.3133497
2021-01-01 03:00:00,2021-01-01 03:00:00,15830.15127965,464161682.8345633
2021-01-01 04:00:00,2021-01-01 04:00:00,15830.32135898,463256150.65998775
2021-01-01 05:00:00,2021-01-01 05:00:00,15830.37413256,462050216.2860099
2021-01-01 06:00:00,2021-01-01 06:00:00,15830.9086648,462421668.0183681
2021-01-01 07:00:00,2021-01-01 07:00:00,15832.9301699,461239246.8507458
2021-01-01 08:00:00,2021-01-01 08:00:00,15832.33577517,459460033.1370569
2021-01-01 09:00:00,2021-01-01 09:00:00,15832.70557243,463075342.7111905
2021-01-01 10:00:00,2021-01-01 10:00:00,15833.08496842,464369558.6557195
2021-01-01 11:00:00,2021-01-01 11:00:00,15834.15646288,464333573.2062535
2021-01-01 12:00:00,2021-01-01 12:00:00,15804.44407864,462426836.6544565
2021-01-01 13:00:00,2021-01-01 13:00:00,15804.83713483,466695887.39096946
2021-01-01 14:00:00,2021-01-01 14:00:00,15804.43173854,464129133.7227912
2021-01-01 15:00:00,2021-01-01 15:00:00,15804.7822863,461403262.3204756
2021-01-01 16:00:00,2021-01-01 16:00:00,15805.36660966,464477572.67135394
2021-01-01 17:00:00,2021-01-01 17:00:00,15805.71083305,460928405.393972
2021-01-01 18:00:00,2021-01-01 18:00:00,15805.57376384,460029262.9978955
2021-01-01 19:00:00,2021-01-01 19:00:00,15805.8433859,460845376.1566433
2021-01-01 20:00:00,2021-01-01 20:00:00,15805.41076601,463170642.8050049
2021-01-01 21:00:00,2021-01-01 21:00:00,15805.53843237,462589246.240644
2021-01-01 22:00:00,2021-01-01 22:00:00,15805.64997423,463567406.9940876
2021-01-01 23:00:00,2021-01-01 23:00:00,15805.80644802,464570891.94645274
2021-01-02 00:00:00,2021-01-02 00:00:00,15779.43179833,460666228.391737
2021-01-02 01:00:00,2021-01-02 01:00:00,15780.00563874,464486080.02724546
2021-01-02 02:00:00,2021-01-02 02:00:00,15780.02066649,464314676.8720309
2021-01-02 03:00:00,2021-01-02 03:00:00,15784.62228783,464003392.8105797
2021-01-02 04:00:00,2021-01-02 04:00:00,15784.97505345,464072837.1008518
2021-01-02 05:00:00,2021-01-02 05:00:00,15785.07280595,467102534.3554868
2021-01-02 06:00:00,2021-01-02 06:00:00,15785.5148385,469403360.0923227
2021-01-02 07:00:00,2021-01-02 07:00:00,15785.59188955,470542472.748098
2021-01-02 08:00:00,2021-01-02 08:00:00,15784.33540628,471231306.4338832
2021-01-02 09:00:00,2021-01-02 09:00:00,15784.44189896,468801543.1920347
2021-01-02 10:00:00,2021-01-02 10:00:00,15795.26496104,470787539.684306
2021-01-02 11:00:00,2021-01-02 11:00:00,15795.79470818,470495488.4543569
2021-01-02 12:00:00,2021-01-02 12:00:00,15795.87947262,484933745.01566327
2021-01-02 13:00:00,2021-01-02 13:00:00,15796.4855337,494885240.3624461
2021-01-02 14:00:00,2021-01-02 14:00:00,15772.51926318,494511346.23475933
2021-01-02 15:00:00,2021-01-02 15:00:00,15772.62334076,498139179.47830594
2021-01-02 16:00:00,2021-01-02 16:00:00,15772.76895406,513334119.9763763
2021-01-02 17:00:00,2021-01-02 17:00:00,15772.96972801,519100683.944992
2021-01-02 18:00:00,2021-01-02 18:00:00,15772.76883753,519314632.8860471
2021-01-02 19:00:00,2021-01-02 19:00:00,15769.31882279,523245202.6683129
