start_time,datetime,transactions_count_inflow,transactions_count_outflow
2021-01-01 00:00:00,2021-01-01 00:00:00,42,0
2021-01-01 01:00:00,2021-01-01 01:00:00,54,26
2021-01-01 02:00:00,2021-01-01 02:00:00,24,9
2021-01-01 03:00:00,2021-01-01 03:00:00,38,2
2021-01-01 04:00:00,2021-01-01 04:00:00,40,2
2021-01-01 05:00:00,2021-01-01 05:00:00,15,39
2021-01-01 06:00:00,2021-01-01 06:00:00,62,91
2021-01-01 07:00:00,2021-01-01 07:00:00,45,29
2021-01-01 08:00:00,2021-01-01 08:00:00,37,16
2021-01-01 09:00:00,2021-01-01 09:00:00,33,5
2021-01-01 10:00:00,2021-01-01 10:00:00,53,20
2021-01-01 11:00:00,2021-01-01 11:00:00,53,4
2021-01-01 12:00:00,2021-01-01 12:00:00,47,33
2021-01-01 13:00:00,2021-01-01 13:00:00,53,17
2021-01-01 14:00:00,2021-01-01 14:00:00,27,1
2021-01-01 15:00:00,2021-01-01 15:00:00,64,10
2021-01-01 16:00:00,2021-01-01 16:00:00,76,10
2021-01-01 17:00:00,2021-01-01 17:00:00,93,9
2021-01-01 18:00:00,2021-01-01 18:00:00,39,19
2021-01-01 19:00:00,2021-01-01 19:00:00,24,0
2021-01-01 20:00:00,2021-01-01 20:00:00,71,3
2021-01-01 21:00:00,2021-01-01 21:00:00,36,1
2021-01-01 22:00:00,2021-01-01 22:00:00,34,0
2021-01-01 23:00:00,2021-01-01 23:00:00,40,0
2021-01-02 00:00:00,2021-01-02 00:00:00,39,22
2021-01-02 01:00:00,2021-01-02 01:00:00,44,17
2021-01-02 02:00:00,2021-01-02 02:00:00,10,0
2021-01-02 03:00:00,2021-01-02 03:00:00,76,11
2021-01-02 04:00:00,2021-01-02 04:00:00,72,13
2021-01-02 05:00:00,2021-01-02 05:00:00,50,8
2021-01-02 06:00:00,2021-01-02 06:00:00,46,2
2021-01-02 07:00:00,2021-01-02 07:00:00,32,0
2021-01-02 08:00:00,2021-01-02 08:00:00,61,9
2021-01-02 09:00:00,2021-01-02 09:00:00,30,1
2021-01-02 10:00:00,2021-01-02 10:00:00,51,15
2021-01-02 11:00:00,2021-01-02 11:00:00,38,2
2021-01-02 12:00:00,2021-01-02 12:00:00,37,3
2021-01-02 13:00:00,2021-01-02 13:00:00,40,2
2021-01-02 14:00:00,2021-01-02 14:00:00,46,5
2021-01-02 15:00:00,2021-01-02 15:00:00,30,0
2021-01-02 16:00:00,2021-01-02 16:00:00,39,2
2021-01-02 17:00:00,2021-01-02 17:00:00,61,0
2021-01-02 18:00:00,2021-01-02 18:00:00,40,3
2021-01-02 19:00:00,2021-01-02 19:00:00,46,1
2021-01-02 20:00:00,2021-01-02 20:00:00,52,1
2021-01-02 21:00:00,2021-01-02 21:00:00,35,1
2021-01-02 22:00:00,2021-01-02 22:00:00,40,1
2021-01-02 23:00:00,2021-01-02 23:00:00,57,3
2021-01-03 00:00:00,2021-01-03 00:00:00,39,2
2021-01-03 01:00:00,2021-01-03 01:00:00,66,5
2021-01-03 02:00:00,2021-01-03 02:00:00,25,1
2021-01-03 03:00:00,2021-01-03 03:00:00,45,4
2021-01-03 04:00:00,2021-01-03 04:00:00,71,10
2021-01-03 05:00:00,2021-01-03 05:00:00,72,13
2021-01-03 06:00:00,2021-01-03 06:00:00,37,2
2021-01-03 07:00:00,2021-01-03 07:00:00,59,6
2021-01-03 08:00:00,2021-01-03 08:00:00,40,9
2021-01-03 09:00:00,2021-01-03 09:00:00,62,1
2021-01-03 10:00:00,2021-01-03 10:00:00,45,0
2021-01-03 11:00:00,2021-01-03 11:00:00,34,0
2021-01-03 12:00:00,2021-01-03 12:00:00,55,2
2021-01-03 13:00:00,2021-01-03 13:00:00,42,2
2021-01-03 14:00:00,2021-01-03 14:00:00,81,8
2021-01-03 15:00:00,2021-01-03 15:00:00,41,1
2021-01-03 16:00:00,2021-01-03 16:00:00,81,6
2021-01-03 17:00:00,2021-01-03 17:00:00,48,0
2021-01-03 18:00:00,2021-01-03 18:00:00,48,2
2021-01-03 19:00:00,2021-01-03 19:00:00,50,1
2021-01-03 20:00:00,2021-01-03 20:00:00,45,0
2021-01-03 21:00:00,2021-01-03 21:00:00,57,6
2021-01-03 22:00:00,2021-01-03 22:00:00,49,2
2021-01-03 23:00:00,2021-01-03 23:00:00,37,2
2021-01-04 00:00:00,2021-01-04 00:00:00,73,24
2021-01-04 01:00:00,2021-01-04 01:00:00,57,6
2021-01-04 02:00:00,2021-01-04 02:00:00,45,2
2021-01-04 03:00:00,2021-01-04 03:00:00,44,59
2021-01-04 04:00:00,2021-01-04 04:00:00,13,1
2021-01-04 05:00:00,2021-01-04 05:00:00,43,6
2021-01-04 06:00:00,2021-01-04 06:00:00,70,9
2021-01-04 07:00:00,2021-01-04 07:00:00,49,29
2021-01-04 08:00:00,2021-01-04 08:00:00,63,6
2021-01-04 09:00:00,2021-01-04 09:00:00,62,17
2021-01-04 10:00:00,2021-01-04 10:00:00,39,3
2021-01-04 11:00:00,2021-01-04 11:00:00,48,2
2021-01-04 12:00:00,2021-01-04 12:00:00,56,5
2021-01-04 13:00:00,2021-01-04 13:00:00,40,3
2021-01-04 14:00:00,2021-01-04 14:00:00,49,2
2021-01-04 15:00:00,2021-01-04 15:00:00,54,6
2021-01-04 16:00:00,2021-01-04 16:00:00,43,0
2021-01-04 17:00:00,2021-01-04 17:00:00,34,4
2021-01-04 18:00:00,2021-01-04 18:00:00,88,2
2021-01-04 19:00:00,2021-01-04 19:00:00,59,0
2021-01-04 20:00:00,2021-01-04 20:00:00,39,1
2021-01-04 21:00:00,2021-01-04 21:00:00,33,2
2021-01-04 22:00:00,2021-01-04 22:00:00,31,0
2021-01-04 23:00:00,2021-01-04 23:00:00,49,0
2021-01-05 00:00:00,2021-01-05 00:00:00,45,5
2021-01-05 01:00:00,2021-01-05 01:00:00,48,5
2021-01-05 02:00:00,2021-01-05 02:00:00,35,4
2021-01-05 03:00:00,2021-01-05 03:00:00,53,5
2021-01-05 04:00:00,2021-01-05 04:00:00,47,2
2021-01-05 05:00:00,2021-01-05 05:00:00,62,10
2021-01-05 06:00:00,2021-01-05 06:00:00,45,23
2021-01-05 07:00:00,2021-01-05 07:00:00,21,4
2021-01-05 08:00:00,2021-01-05 08:00:00,49,4
2021-01-05 09:00:00,2021-01-05 09:00:00,65,8
2021-01-05 10:00:00,2021-01-05 10:00:00,47,3
2021-01-05 11:00:00,2021-01-05 11:00:00,53,3
2021-01-05 12:00:00,2021-01-05 12:00:00,49,0
2021-01-05 13:00:00,2021-01-05 13:00:00,68,7
2021-01-05 14:00:00,2021-01-05 14:00:00,65,0
2021-01-05 15:00:00,2021-01-05 15:00:00,27,0
2021-01-05 16:00:00,2021-01-05 16:00:00,59,4
2021-01-05 17:00:00,2021-01-05 17:00:00,60,6
2021-01-05 18:00:00,2021-01-05 18:00:00,44,0
2021-01-05 19:00:00,2021-01-05 19:00:00,40,3
2021-01-05 20:00:00,2021-01-05 20:00:00,44,2
2021-01-05 21:00:00,2021-01-05 21:00:00,50,0
2021-01-05 22:00:00,2021-01-05 22:00:00,44,2
2021-01-05 23:00:00,2021-01-05 23:00:00,33,0
2021-01-06 00:00:00,2021-01-06 00:00:00,62,5
2021-01-06 01:00:00,2021-01-06 01:00:00,47,2
2021-01-06 02:00:00,2021-01-06 02:00:00,19,0
2021-01-06 03:00:00,2021-01-06 03:00:00,75,4
2021-01-06 04:00:00,2021-01-06 04:00:00,48,0
2021-01-06 05:00:00,2021-01-06 05:00:00,55,10
2021-01-06 06:00:00,2021-01-06 06:00:00,80,8
2021-01-06 07:00:00,2021-01-06 07:00:00,38,5
2021-01-06 08:00:00,2021-01-06 08:00:00,40,7
2021-01-06 09:00:00,2021-01-06 09:00:00,46,3
2021-01-06 10:00:00,2021-01-06 10:00:00,55,4
2021-01-06 11:00:00,2021-01-06 11:00:00,51,5
2021-01-06 12:00:00,2021-01-06 12:00:00,26,0
2021-01-06 13:00:00,2021-01-06 13:00:00,70,8
2021-01-06 14:00:00,2021-01-06 14:00:00,55,5
2021-01-06 15:00:00,2021-01-06 15:00:00,62,2
2021-01-06 16:00:00,2021-01-06 16:00:00,49,4
2021-01-06 17:00:00,2021-01-06 17:00:00,49,4
2021-01-06 18:00:00,2021-01-06 18:00:00,47,2
2021-01-06 19:00:00,2021-01-06 19:00:00,37,19
2021-01-06 20:00:00,2021-01-06 20:00:00,28,6
2021-01-06 21:00:00,2021-01-06 21:00:00,29,0
2021-01-06 22:00:00,2021-01-06 22:00:00,55,3
2021-01-06 23:00:00,2021-01-06 23:00:00,49,1
2021-01-07 00:00:00,2021-01-07 00:00:00,42,2
2021-01-07 01:00:00,2021-01-07 01:00:00,90,5
2021-01-07 02:00:00,2021-01-07 02:00:00,30,2
2021-01-07 03:00:00,2021-01-07 03:00:00,45,4
2021-01-07 04:00:00,2021-01-07 04:00:00,49,6
2021-01-07 05:00:00,2021-01-07 05:00:00,37,5
2021-01-07 06:00:00,2021-01-07 06:00:00,36,16
2021-01-07 07:00:00,2021-01-07 07:00:00,63,4
2021-01-07 08:00:00,2021-01-07 08:00:00,33,3
2021-01-07 09:00:00,2021-01-07 09:00:00,60,8
2021-01-07 10:00:00,2021-01-07 10:00:00,64,3
2021-01-07 11:00:00,2021-01-07 11:00:00,57,2
2021-01-07 12:00:00,2021-01-07 12:00:00,46,0
2021-01-07 13:00:00,2021-01-07 13:00:00,51,0
2021-01-07 14:00:00,2021-01-07 14:00:00,33,2
2021-01-07 15:00:00,2021-01-07 15:00:00,84,6
2021-01-07 16:00:00,2021-01-07 16:00:00,35,1
2021-01-07 17:00:00,2021-01-07 17:00:00,36,1
2021-01-07 18:00:00,2021-01-07 18:00:00,49,1
2021-01-07 19:00:00,2021-01-07 19:00:00,33,3
2021-01-07 20:00:00,2021-01-07 20:00:00,49,3
2021-01-07 21:00:00,2021-01-07 21:00:00,48,1
2021-01-07 22:00:00,2021-01-07 22:00:00,46,4
2021-01-07 23:00:00,2021-01-07 23:00:00,41,4
2021-01-08 00:00:00,2021-01-08 00:00:00,33,1
2021-01-08 01:00:00,2021-01-08 01:00:00,58,2
2021-01-08 02:00:00,2021-01-08 02:00:00,38,8
2021-01-08 03:00:00,2021-01-08 03:00:00,63,3
2021-01-08 04:00:00,2021-01-08 04:00:00,37,5
2021-01-08 05:00:00,2021-01-08 05:00:00,40,11
