start_time,addresses_count_active,addresses_count_receiver,addresses_count_sender,datetime
2021-01-01 00:00:00,54883,28641,30835,2021-01-01 00:00:00
2021-01-01 01:00:00,63741,30410,37960,2021-01-01 01:00:00
2021-01-01 02:00:00,56805,27869,33052,2021-01-01 02:00:00
2021-01-01 03:00:00,44470,26135,22837,2021-01-01 03:00:00
2021-01-01 04:00:00,44191,24918,23462,2021-01-01 04:00:00
2021-01-01 05:00:00,26505,11469,16702,2021-01-01 05:00:00
2021-01-01 06:00:00,62525,27107,40607,2021-01-01 06:00:00
2021-01-01 07:00:00,44024,23012,24894,2021-01-01 07:00:00
2021-01-01 08:00:00,48430,20991,30783,2021-01-01 08:00:00
2021-01-01 09:00:00,44299,25127,23363,2021-01-01 09:00:00
2021-01-01 10:00:00,69881,26816,47906,2021-01-01 10:00:00
2021-01-01 11:00:00,48052,26103,25706,2021-01-01 11:00:00
2021-01-01 12:00:00,60622,29696,35896,2021-01-01 12:00:00
2021-01-01 13:00:00,54594,31783,28251,2021-01-01 13:00:00
2021-01-01 14:00:00,37608,19168,20744,2021-01-01 14:00:00
2021-01-01 15:00:00,67764,35803,38416,2021-01-01 15:00:00
2021-01-01 16:00:00,70169,38703,38607,2021-01-01 16:00:00
2021-01-01 17:00:00,67944,38436,35871,2021-01-01 17:00:00
2021-01-01 18:00:00,67425,36004,38501,2021-01-01 18:00:00
2021-01-01 19:00:00,24783,15804,10575,2021-01-01 19:00:00
2021-01-01 20:00:00,73189,47621,33708,2021-01-01 20:00:00
2021-01-01 21:00:00,62256,38505,29867,2021-01-01 21:00:00
2021-01-01 22:00:00,43136,26435,20914,2021-01-01 22:00:00
2021-01-01 23:00:00,44240,27037,21208,2021-01-01 23:00:00
2021-01-02 00:00:00,50801,29013,26570,2021-01-02 00:00:00
2021-01-02 01:00:00,58240,27024,35151,2021-01-02 01:00:00
2021-01-02 02:00:00,10151,5322,5497,2021-01-02 02:00:00
2021-01-02 03:00:00,70389,43457,33569,2021-01-02 03:00:00
2021-01-02 04:00:00,70625,29345,46407,2021-01-02 04:00:00
2021-01-02 05:00:00,39508,19946,23004,2021-01-02 05:00:00
2021-01-02 06:00:00,61866,28273,38581,2021-01-02 06:00:00
2021-01-02 07:00:00,51197,20301,34245,2021-01-02 07:00:00
2021-01-02 08:00:00,94433,31423,69553,2021-01-02 08:00:00
2021-01-02 09:00:00,49426,24494,29023,2021-01-02 09:00:00
2021-01-02 10:00:00,59232,27565,36174,2021-01-02 10:00:00
2021-01-02 11:00:00,40335,25544,18899,2021-01-02 11:00:00
2021-01-02 12:00:00,48425,28398,24404,2021-01-02 12:00:00
2021-01-02 13:00:00,49200,31931,22355,2021-01-02 13:00:00
2021-01-02 14:00:00,68223,39760,35019,2021-01-02 14:00:00
2021-01-02 15:00:00,43014,25041,21182,2021-01-02 15:00:00
2021-01-02 16:00:00,59213,39751,23548,2021-01-02 16:00:00
2021-01-02 17:00:00,70371,45176,30545,2021-01-02 17:00:00
2021-01-02 18:00:00,88736,47318,47885,2021-01-02 18:00:00
2021-01-02 19:00:00,59785,37946,26554,2021-01-02 19:00:00
2021-01-02 20:00:00,92662,52554,47240,2021-01-02 20:00:00
2021-01-02 21:00:00,74372,43813,37090,2021-01-02 21:00:00
2021-01-02 22:00:00,58207,40196,23469,2021-01-02 22:00:00
2021-01-02 23:00:00,73150,46733,34422,2021-01-02 23:00:00
2021-01-03 00:00:00,45872,27531,21622,2021-01-03 00:00:00
2021-01-03 01:00:00,80385,49272,39356,2021-01-03 01:00:00
2021-01-03 02:00:00,40422,21705,21324,2021-01-03 02:00:00
2021-01-03 03:00:00,63973,36593,33093,2021-01-03 03:00:00
2021-01-03 04:00:00,77944,44706,40077,2021-01-03 04:00:00
2021-01-03 05:00:00,78215,41857,43813,2021-01-03 05:00:00
2021-01-03 06:00:00,34077,21765,14109,2021-01-03 06:00:00
2021-01-03 07:00:00,78835,42113,44382,2021-01-03 07:00:00
2021-01-03 08:00:00,51180,27493,27751,2021-01-03 08:00:00
2021-01-03 09:00:00,59474,32369,32302,2021-01-03 09:00:00
2021-01-03 10:00:00,35211,23807,14197,2021-01-03 10:00:00
2021-01-03 11:00:00,49029,28927,23815,2021-01-03 11:00:00
2021-01-03 12:00:00,77897,44033,41217,2021-01-03 12:00:00
2021-01-03 13:00:00,51902,32794,24059,2021-01-03 13:00:00
2021-01-03 14:00:00,85023,48619,45751,2021-01-03 14:00:00
2021-01-03 15:00:00,63391,40833,28890,2021-01-03 15:00:00
2021-01-03 16:00:00,95461,56180,49744,2021-01-03 16:00:00
2021-01-03 17:00:00,73470,46096,34994,2021-01-03 17:00:00
2021-01-03 18:00:00,71651,41899,37305,2021-01-03 18:00:00
2021-01-03 19:00:00,69453,40969,34793,2021-01-03 19:00:00
2021-01-03 20:00:00,64064,42109,29016,2021-01-03 20:00:00
2021-01-03 21:00:00,71892,44405,34918,2021-01-03 21:00:00
2021-01-03 22:00:00,71202,37879,39493,2021-01-03 22:00:00
2021-01-03 23:00:00,46671,29808,21610,2021-01-03 23:00:00
2021-01-04 00:00:00,94819,49385,54664,2021-01-04 00:00:00
2021-01-04 01:00:00,57298,32222,30350,2021-01-04 01:00:00
2021-01-04 02:00:00,61738,40008,28731,2021-01-04 02:00:00
2021-01-04 03:00:00,81095,33129,54765,2021-01-04 03:00:00
2021-01-04 04:00:00,12913,9290,4394,2021-01-04 04:00:00
2021-01-04 05:00:00,50783,32530,24256,2021-01-04 05:00:00
2021-01-04 06:00:00,73693,42975,38655,2021-01-04 06:00:00
2021-01-04 07:00:00,81236,42360,46332,2021-01-04 07:00:00
2021-01-04 08:00:00,72288,33306,45593,2021-01-04 08:00:00
2021-01-04 09:00:00,84427,45486,48168,2021-01-04 09:00:00
2021-01-04 10:00:00,59163,34394,30546,2021-01-04 10:00:00
2021-01-04 11:00:00,65847,39933,33283,2021-01-04 11:00:00
2021-01-04 12:00:00,74111,43477,37716,2021-01-04 12:00:00
2021-01-04 13:00:00,46351,32601,18730,2021-01-04 13:00:00
2021-01-04 14:00:00,62649,40694,28541,2021-01-04 14:00:00
2021-01-04 15:00:00,81338,49090,40139,2021-01-04 15:00:00
2021-01-04 16:00:00,55190,35368,24863,2021-01-04 16:00:00
2021-01-04 17:00:00,47175,32089,19322,2021-01-04 17:00:00
2021-01-04 18:00:00,104749,68092,47928,2021-01-04 18:00:00
2021-01-04 19:00:00,87082,48853,46441,2021-01-04 19:00:00
2021-01-04 20:00:00,73305,38032,40682,2021-01-04 20:00:00
2021-01-04 21:00:00,80065,47311,40282,2021-01-04 21:00:00
2021-01-04 22:00:00,59892,31628,33208,2021-01-04 22:00:00
2021-01-04 23:00:00,77204,47129,37971,2021-01-04 23:00:00
2021-01-05 00:00:00,82852,43480,47542,2021-01-05 00:00:00
2021-01-05 01:00:00,66404,43612,29269,2021-01-05 01:00:00
2021-01-05 02:00:00,60624,34861,31270,2021-01-05 02:00:00
2021-01-05 03:00:00,61995,40292,27940,2021-01-05 03:00:00
2021-01-05 04:00:00,63598,34600,35097,2021-01-05 04:00:00
2021-01-05 05:00:00,69449,32728,43015,2021-01-05 05:00:00
2021-01-05 06:00:00,70645,34936,42638,2021-01-05 06:00:00
