start_time,block_bytes,datetime
2021-01-01 00:00:00,1477611.42857143,2021-01-01 00:00:00
2021-01-01 01:00:00,1446533.75,2021-01-01 01:00:00
2021-01-01 02:00:00,1217644.28571429,2021-01-01 02:00:00
2021-01-01 03:00:00,1239003.0,2021-01-01 03:00:00
2021-01-01 04:00:00,1307183.8,2021-01-01 04:00:00
2021-01-01 05:00:00,1442761.0,2021-01-01 05:00:00
2021-01-01 06:00:00,1409058.66666667,2021-01-01 06:00:00
2021-01-01 07:00:00,1334709.0,2021-01-01 07:00:00
2021-01-01 08:00:00,1433280.57142857,2021-01-01 08:00:00
2021-01-01 09:00:00,1382642.0,2021-01-01 09:00:00
2021-01-01 10:00:00,1489044.7,2021-01-01 10:00:00
2021-01-01 11:00:00,1410838.4,2021-01-01 11:00:00
2021-01-01 12:00:00,1365652.14285714,2021-01-01 12:00:00
2021-01-01 13:00:00,1303592.16666667,2021-01-01 13:00:00
2021-01-01 14:00:00,1381134.5,2021-01-01 14:00:00
2021-01-01 15:00:00,1343566.75,2021-01-01 15:00:00
2021-01-01 16:00:00,1380674.0,2021-01-01 16:00:00
2021-01-01 17:00:00,1336188.42857143,2021-01-01 17:00:00
2021-01-01 18:00:00,1309822.75,2021-01-01 18:00:00
2021-01-01 19:00:00,1442011.0,2021-01-01 19:00:00
2021-01-01 20:00:00,1326992.71428571,2021-01-01 20:00:00
2021-01-01 21:00:00,1338597.83333333,2021-01-01 21:00:00
2021-01-01 22:00:00,1085332.8,2021-01-01 22:00:00
2021-01-01 23:00:00,1102742.4,2021-01-01 23:00:00
2021-01-02 00:00:00,1331662.2,2021-01-02 00:00:00
2021-01-02 01:00:00,1653298.85714286,2021-01-02 01:00:00
2021-01-02 02:00:00,1459256.0,2021-01-02 02:00:00
2021-01-02 03:00:00,1389275.71428571,2021-01-02 03:00:00
2021-01-02 04:00:00,1685530.2,2021-01-02 04:00:00
2021-01-02 05:00:00,1400794.25,2021-01-02 05:00:00
2021-01-02 06:00:00,1338347.625,2021-01-02 06:00:00
2021-01-02 07:00:00,1458409.66666667,2021-01-02 07:00:00
2021-01-02 08:00:00,1516149.46153846,2021-01-02 08:00:00
2021-01-02 09:00:00,1417801.0,2021-01-02 09:00:00
2021-01-02 10:00:00,1336659.0,2021-01-02 10:00:00
2021-01-02 11:00:00,1353291.75,2021-01-02 11:00:00
2021-01-02 12:00:00,1304384.0,2021-01-02 12:00:00
2021-01-02 13:00:00,1305930.4,2021-01-02 13:00:00
2021-01-02 14:00:00,1370121.57142857,2021-01-02 14:00:00
2021-01-02 15:00:00,1347641.25,2021-01-02 15:00:00
2021-01-02 16:00:00,1303742.2,2021-01-02 16:00:00
2021-01-02 17:00:00,1343810.5,2021-01-02 17:00:00
2021-01-02 18:00:00,1303735.88888889,2021-01-02 18:00:00
2021-01-02 19:00:00,1398631.8,2021-01-02 19:00:00
2021-01-02 20:00:00,1279580.77777778,2021-01-02 20:00:00
2021-01-02 21:00:00,1339100.57142857,2021-01-02 21:00:00
2021-01-02 22:00:00,1317811.0,2021-01-02 22:00:00
2021-01-02 23:00:00,1288694.14285714,2021-01-02 23:00:00
2021-01-03 00:00:00,1368226.75,2021-01-03 00:00:00
2021-01-03 01:00:00,1281221.0,2021-01-03 01:00:00
2021-01-03 02:00:00,1321716.0,2021-01-03 02:00:00
2021-01-03 03:00:00,1403251.0,2021-01-03 03:00:00
2021-01-03 04:00:00,1292060.125,2021-01-03 04:00:00
2021-01-03 05:00:00,1293576.55555556,2021-01-03 05:00:00
2021-01-03 06:00:00,1288387.66666667,2021-01-03 06:00:00
2021-01-03 07:00:00,1276434.22222222,2021-01-03 07:00:00
2021-01-03 08:00:00,1363817.6,2021-01-03 08:00:00
2021-01-03 09:00:00,1226996.42857143,2021-01-03 09:00:00
2021-01-03 10:00:00,1371411.33333333,2021-01-03 10:00:00
2021-01-03 11:00:00,1272932.6,2021-01-03 11:00:00
2021-01-03 12:00:00,1304957.25,2021-01-03 12:00:00
2021-01-03 13:00:00,1217212.33333333,2021-01-03 13:00:00
2021-01-03 14:00:00,1296414.11111111,2021-01-03 14:00:00
2021-01-03 15:00:00,1280427.66666667,2021-01-03 15:00:00
2021-01-03 16:00:00,1274101.4,2021-01-03 16:00:00
2021-01-03 17:00:00,1307064.57142857,2021-01-03 17:00:00
2021-01-03 18:00:00,1146868.5,2021-01-03 18:00:00
2021-01-03 19:00:00,1335279.71428571,2021-01-03 19:00:00
2021-01-03 20:00:00,1303961.83333333,2021-01-03 20:00:00
2021-01-03 21:00:00,1321956.85714286,2021-01-03 21:00:00
2021-01-03 22:00:00,1205486.44444444,2021-01-03 22:00:00
2021-01-03 23:00:00,1383362.5,2021-01-03 23:00:00
2021-01-04 00:00:00,1406248.09090909,2021-01-04 00:00:00
2021-01-04 01:00:00,1355560.0,2021-01-04 01:00:00
2021-01-04 02:00:00,1314639.66666667,2021-01-04 02:00:00
2021-01-04 03:00:00,1404849.27272727,2021-01-04 03:00:00
2021-01-04 04:00:00,1423508.0,2021-01-04 04:00:00
2021-01-04 05:00:00,1390683.8,2021-01-04 05:00:00
2021-01-04 06:00:00,1260512.625,2021-01-04 06:00:00
2021-01-04 07:00:00,1286418.55555556,2021-01-04 07:00:00
2021-01-04 08:00:00,1329992.3,2021-01-04 08:00:00
2021-01-04 09:00:00,1330374.4,2021-01-04 09:00:00
