start_time,block_interval,datetime
2021-01-01 00:00:00,525.71428571,2021-01-01 00:00:00
2021-01-01 01:00:00,450.0,2021-01-01 01:00:00
2021-01-01 02:00:00,439.28571429,2021-01-01 02:00:00
2021-01-01 03:00:00,663.6,2021-01-01 03:00:00
2021-01-01 04:00:00,887.0,2021-01-01 04:00:00
2021-01-01 05:00:00,550.5,2021-01-01 05:00:00
2021-01-01 06:00:00,498.66666667,2021-01-01 06:00:00
2021-01-01 07:00:00,794.2,2021-01-01 07:00:00
2021-01-01 08:00:00,438.14285714,2021-01-01 08:00:00
2021-01-01 09:00:00,862.2,2021-01-01 09:00:00
2021-01-01 10:00:00,316.2,2021-01-01 10:00:00
2021-01-01 11:00:00,748.2,2021-01-01 11:00:00
2021-01-01 12:00:00,533.71428571,2021-01-01 12:00:00
2021-01-01 13:00:00,608.66666667,2021-01-01 13:00:00
2021-01-01 14:00:00,828.0,2021-01-01 14:00:00
2021-01-01 15:00:00,385.375,2021-01-01 15:00:00
2021-01-01 16:00:00,599.28571429,2021-01-01 16:00:00
2021-01-01 17:00:00,543.57142857,2021-01-01 17:00:00
2021-01-01 18:00:00,444.0,2021-01-01 18:00:00
2021-01-01 19:00:00,1511.5,2021-01-01 19:00:00
2021-01-01 20:00:00,578.28571429,2021-01-01 20:00:00
2021-01-01 21:00:00,638.83333333,2021-01-01 21:00:00
2021-01-01 22:00:00,710.4,2021-01-01 22:00:00
2021-01-01 23:00:00,722.8,2021-01-01 23:00:00
2021-01-02 00:00:00,646.2,2021-01-02 00:00:00
2021-01-02 01:00:00,468.14285714,2021-01-02 01:00:00
2021-01-02 02:00:00,3990.0,2021-01-02 02:00:00
2021-01-02 03:00:00,502.71428571,2021-01-02 03:00:00
2021-01-02 04:00:00,403.2,2021-01-02 04:00:00
2021-01-02 05:00:00,827.5,2021-01-02 05:00:00
2021-01-02 06:00:00,473.875,2021-01-02 06:00:00
2021-01-02 07:00:00,494.66666667,2021-01-02 07:00:00
2021-01-02 08:00:00,318.53846154,2021-01-02 08:00:00
2021-01-02 09:00:00,746.0,2021-01-02 09:00:00
2021-01-02 10:00:00,356.85714286,2021-01-02 10:00:00
2021-01-02 11:00:00,1167.5,2021-01-02 11:00:00
2021-01-02 12:00:00,643.4,2021-01-02 12:00:00
2021-01-02 13:00:00,804.6,2021-01-02 13:00:00
2021-01-02 14:00:00,512.71428571,2021-01-02 14:00:00
2021-01-02 15:00:00,673.0,2021-01-02 15:00:00
2021-01-02 16:00:00,879.6,2021-01-02 16:00:00
2021-01-02 17:00:00,629.83333333,2021-01-02 17:00:00
2021-01-02 18:00:00,358.88888889,2021-01-02 18:00:00
