start_time,date,fees_block_mean,fees_block_mean_usd,fees_reward_percent,fees_total,fees_total_usd
2021-01-01,2021-01-01,0.32847451,9606.17305348,0.04993171,48.9427014,1431319.78496887
2021-01-02,2021-01-02,0.52780839,16555.33909998,0.07787302,79.69906722,2499856.20409723
2021-01-03,2021-01-03,0.54696198,18311.76775003,0.08047154,86.41999352,2893259.30450502
2021-01-04,2021-01-04,0.62835281,19874.27195347,0.09135222,108.70503625,3438249.04794961
2021-01-05,2021-01-05,0.72204083,23442.26473692,0.10356233,113.36040967,3680435.56369658
2021-01-06,2021-01-06,0.72609596,25279.72756657,0.10408343,128.51898515,4474511.77928344
2021-01-07,2021-01-07,0.72569158,27731.51868439,0.10403149,121.91618498,4658895.13897679
2021-01-08,2021-01-08,0.91536606,36676.11591454,0.12774868,135.47417648,5428065.15535252
2021-01-09,2021-01-09,0.79540469,32126.61113068,0.11289695,110.56125153,4465598.94716412
2021-01-10,2021-01-10,0.57831815,22855.98299392,0.08469408,91.95258523,3634101.29603276
2021-01-11,2021-01-11,0.87289957,29619.38180426,0.12254835,134.4265331,4561384.79785642
2021-01-12,2021-01-12,1.11433335,38751.7654858,0.1513149,164.92133634,5735261.29189907
2021-01-13,2021-01-13,0.89854552,31221.10237541,0.12569627,136.57891971,4745607.56106163
2021-01-14,2021-01-14,0.96199202,37181.26392968,0.13338784,141.41282766,5465645.79766334
2021-01-15,2021-01-15,0.94950416,35439.68733638,0.13188466,147.17314406,5493151.53713915
2021-01-16,2021-01-16,0.60198596,22188.64553042,0.08785569,88.49193579,3261730.89297241
2021-01-17,2021-01-17,0.49857804,17764.60995889,0.07387898,66.3108796,2362693.12453236
2021-01-18,2021-01-18,0.58390519,21112.15866372,0.08544239,84.66625216,3061263.00623876
2021-01-19,2021-01-19,0.65464809,24170.04011378,0.09481267,97.54256535,3601335.97695373
2021-01-20,2021-01-20,0.66298277,23253.28118695,0.09590401,93.48057077,3278712.64735965
2021-01-21,2021-01-21,0.93165752,30338.35785876,0.12972737,120.18381959,3913648.16377993
2021-01-22,2021-01-22,0.81292695,25896.62569863,0.11509774,114.62270064,3651424.22350741
2021-01-23,2021-01-23,0.49207,15919.34001162,0.072985,76.76292004,2483417.04181329
2021-01-24,2021-01-24,0.41407223,13315.40566558,0.06213502,57.5560404,1850841.38751561
