start_time,datetime,supply_new,supply_total
2021-01-01 00:00:00,2021-01-01 00:00:00,43.75,18586883.92767899
2021-01-01 01:00:00,2021-01-01 01:00:00,50.0,18586933.92767899
2021-01-01 02:00:00,2021-01-01 02:00:00,43.75,18586977.67767899
2021-01-01 03:00:00,2021-01-01 03:00:00,31.25,18587008.92767899
2021-01-01 04:00:00,2021-01-01 04:00:00,31.25,18587040.17767899
2021-01-01 05:00:00,2021-01-01 05:00:00,25.0,18587065.17767899
2021-01-01 06:00:00,2021-01-01 06:00:00,56.25,18587121.42767899
2021-01-01 07:00:00,2021-01-01 07:00:00,31.25,18587152.67767899
2021-01-01 08:00:00,2021-01-01 08:00:00,43.75,18587196.42767899
2021-01-01 09:00:00,2021-01-01 09:00:00,31.25,18587227.67767899
2021-01-01 10:00:00,2021-01-01 10:00:00,62.5,18587290.17767899
2021-01-01 11:00:00,2021-01-01 11:00:00,31.25,18587321.42767899
2021-01-01 12:00:00,2021-01-01 12:00:00,43.75,18587365.17767899
2021-01-01 13:00:00,2021-01-01 13:00:00,37.5,18587402.67767899
2021-01-01 14:00:00,2021-01-01 14:00:00,25.0,18587427.67767899
2021-01-01 15:00:00,2021-01-01 15:00:00,50.0,18587477.67767899
2021-01-01 16:00:00,2021-01-01 16:00:00,43.75,18587521.42767899
2021-01-01 17:00:00,2021-01-01 17:00:00,43.75,18587565.17767899
2021-01-01 18:00:00,2021-01-01 18:00:00,50.0,18587615.17767899
2021-01-01 19:00:00,2021-01-01 19:00:00,12.5,18587627.67767899
2021-01-01 20:00:00,2021-01-01 20:00:00,43.75,18587671.42767899
2021-01-01 21:00:00,2021-01-01 21:00:00,37.5,18587708.92767899
2021-01-01 22:00:00,2021-01-01 22:00:00,31.25,18587740.17767899
2021-01-01 23:00:00,2021-01-01 23:00:00,31.25,18587771.42767899
2021-01-02 00:00:00,2021-01-02 00:00:00,31.25,18587802.67767899
2021-01-02 01:00:00,2021-01-02 01:00:00,43.75,18587846.42767899
2021-01-02 02:00:00,2021-01-02 02:00:00,6.25,18587852.67767899
2021-01-02 03:00:00,2021-01-02 03:00:00,43.75,18587896.42767899
2021-01-02 04:00:00,2021-01-02 04:00:00,62.5,18587958.92767899
2021-01-02 05:00:00,2021-01-02 05:00:00,25.0,18587983.92767899
2021-01-02 06:00:00,2021-01-02 06:00:00,50.0,18588033.92767899
2021-01-02 07:00:00,2021-01-02 07:00:00,37.5,18588071.42767899
2021-01-02 08:00:00,2021-01-02 08:00:00,81.25,18588152.67767899
2021-01-02 09:00:00,2021-01-02 09:00:00,31.25,18588183.92767899
2021-01-02 10:00:00,2021-01-02 10:00:00,43.75,18588227.67767899
2021-01-02 11:00:00,2021-01-02 11:00:00,25.0,18588252.67767899
2021-01-02 12:00:00,2021-01-02 12:00:00,31.25,18588283.92767899
2021-01-02 13:00:00,2021-01-02 13:00:00,31.25,18588315.17767899
2021-01-02 14:00:00,2021-01-02 14:00:00,43.75,18588358.92767899
2021-01-02 15:00:00,2021-01-02 15:00:00,25.0,18588383.92767899
2021-01-02 16:00:00,2021-01-02 16:00:00,31.25,18588415.17767899
2021-01-02 17:00:00,2021-01-02 17:00:00,37.5,18588452.67767899
2021-01-02 18:00:00,2021-01-02 18:00:00,56.25,18588508.92767899
2021-01-02 19:00:00,2021-01-02 19:00:00,31.25,18588540.17767899
2021-01-02 20:00:00,2021-01-02 20:00:00,56.25,18588596.42767899
2021-01-02 21:00:00,2021-01-02 21:00:00,43.75,18588640.17767899
2021-01-02 22:00:00,2021-01-02 22:00:00,31.25,18588671.42767899
2021-01-02 23:00:00,2021-01-02 23:00:00,43.75,18588715.17767899
2021-01-03 00:00:00,2021-01-03 00:00:00,25.0,18588740.17767899
2021-01-03 01:00:00,2021-01-03 01:00:00,50.0,18588790.17767899
2021-01-03 02:00:00,2021-01-03 02:00:00,25.0,18588815.17767899
2021-01-03 03:00:00,2021-01-03 03:00:00,37.5,18588852.67767899
2021-01-03 04:00:00,2021-01-03 04:00:00,50.0,18588902.67767899
2021-01-03 05:00:00,2021-01-03 05:00:00,56.25,18588958.92767899
2021-01-03 06:00:00,2021-01-03 06:00:00,18.75,18588977.67767899
2021-01-03 07:00:00,2021-01-03 07:00:00,56.25,18589033.92767899
2021-01-03 08:00:00,2021-01-03 08:00:00,31.25,18589065.17767899
2021-01-03 09:00:00,2021-01-03 09:00:00,43.75,18589108.92767899
2021-01-03 10:00:00,2021-01-03 10:00:00,18.75,18589127.67767899
2021-01-03 11:00:00,2021-01-03 11:00:00,31.25,18589158.92767899
2021-01-03 12:00:00,2021-01-03 12:00:00,50.0,18589208.92767899
2021-01-03 13:00:00,2021-01-03 13:00:00,37.5,18589246.42767899
2021-01-03 14:00:00,2021-01-03 14:00:00,56.25,18589302.67767899
2021-01-03 15:00:00,2021-01-03 15:00:00,37.5,18589340.17767899
2021-01-03 16:00:00,2021-01-03 16:00:00,62.5,18589402.67767899
2021-01-03 17:00:00,2021-01-03 17:00:00,43.75,18589446.42767899
2021-01-03 18:00:00,2021-01-03 18:00:00,50.0,18589496.42767899
2021-01-03 19:00:00,2021-01-03 19:00:00,43.75,18589540.17767899
2021-01-03 20:00:00,2021-01-03 20:00:00,37.5,18589577.67767899
2021-01-03 21:00:00,2021-01-03 21:00:00,43.75,18589621.42767899
2021-01-03 22:00:00,2021-01-03 22:00:00,56.25,18589677.67767899
2021-01-03 23:00:00,2021-01-03 23:00:00,25.0,18589702.67767899
2021-01-04 00:00:00,2021-01-04 00:00:00,68.75,18589771.42767899
2021-01-04 01:00:00,2021-01-04 01:00:00,37.5,18589808.92767899
2021-01-04 02:00:00,2021-01-04 02:00:00,37.5,18589846.42767899
2021-01-04 03:00:00,2021-01-04 03:00:00,68.75,18589915.17767899
