start_time,datetime,transactions_count_mean,transactions_count_total
2021-01-01 00:00:00,2021-01-01 00:00:00,1451.71428571,10162
2021-01-01 01:00:00,2021-01-01 01:00:00,1397.625,11181
2021-01-01 02:00:00,2021-01-01 02:00:00,1155.28571429,8087
2021-01-01 03:00:00,2021-01-01 03:00:00,1377.8,6889
2021-01-01 04:00:00,2021-01-01 04:00:00,1741.6,8708
2021-01-01 05:00:00,2021-01-01 05:00:00,1071.5,4286
2021-01-01 06:00:00,2021-01-01 06:00:00,1160.11111111,10441
2021-01-01 07:00:00,2021-01-01 07:00:00,1958.2,9791
2021-01-01 08:00:00,2021-01-01 08:00:00,1255.71428571,8790
2021-01-01 09:00:00,2021-01-01 09:00:00,2024.6,10123
2021-01-01 10:00:00,2021-01-01 10:00:00,1278.4,12784
2021-01-01 11:00:00,2021-01-01 11:00:00,2035.2,10176
2021-01-01 12:00:00,2021-01-01 12:00:00,1809.57142857,12667
2021-01-01 13:00:00,2021-01-01 13:00:00,2111.0,12666
2021-01-01 14:00:00,2021-01-01 14:00:00,1746.25,6985
2021-01-01 15:00:00,2021-01-01 15:00:00,1889.0,15112
2021-01-01 16:00:00,2021-01-01 16:00:00,2061.57142857,14431
2021-01-01 17:00:00,2021-01-01 17:00:00,2223.0,15561
2021-01-01 18:00:00,2021-01-01 18:00:00,1761.125,14089
2021-01-01 19:00:00,2021-01-01 19:00:00,2556.0,5112
2021-01-01 20:00:00,2021-01-01 20:00:00,2349.28571429,16445
2021-01-01 21:00:00,2021-01-01 21:00:00,2470.5,14823
2021-01-01 22:00:00,2021-01-01 22:00:00,1798.6,8993
2021-01-01 23:00:00,2021-01-01 23:00:00,1925.8,9629
2021-01-02 00:00:00,2021-01-02 00:00:00,2109.6,10548
2021-01-02 01:00:00,2021-01-02 01:00:00,1190.57142857,8334
2021-01-02 02:00:00,2021-01-02 02:00:00,2482.0,2482
2021-01-02 03:00:00,2021-01-02 03:00:00,1901.42857143,13310
2021-01-02 04:00:00,2021-01-02 04:00:00,993.7,9937
2021-01-02 05:00:00,2021-01-02 05:00:00,1931.0,7724
2021-01-02 06:00:00,2021-01-02 06:00:00,1412.25,11298
2021-01-02 07:00:00,2021-01-02 07:00:00,1521.16666667,9127
2021-01-02 08:00:00,2021-01-02 08:00:00,1101.46153846,14319
2021-01-02 09:00:00,2021-01-02 09:00:00,1891.8,9459
