start_time,date,utxo_count
2021-01-01,2021-01-01,68389406
2021-01-02,2021-01-02,68282829
2021-01-03,2021-01-03,68319564
2021-01-04,2021-01-04,68308253
2021-01-05,2021-01-05,68409963
2021-01-06,2021-01-06,68472002
2021-01-07,2021-01-07,68651799
2021-01-08,2021-01-08,68859847
2021-01-09,2021-01-09,68983008
2021-01-10,2021-01-10,68933165
2021-01-11,2021-01-11,68987821
2021-01-12,2021-01-12,69059640
2021-01-13,2021-01-13,69078632
2021-01-14,2021-01-14,69180964
2021-01-15,2021-01-15,69242269
2021-01-16,2021-01-16,69258352
2021-01-17,2021-01-17,69207826
2021-01-18,2021-01-18,69202888
2021-01-19,2021-01-19,69246166
2021-01-20,2021-01-20,69348435
2021-01-21,2021-01-21,69474790
2021-01-22,2021-01-22,69604797
2021-01-23,2021-01-23,69528232
2021-01-24,2021-01-24,69394157
2021-01-25,2021-01-25,69419362
2021-01-26,2021-01-26,69359950
2021-01-27,2021-01-27,69483924
2021-01-28,2021-01-28,69546700
2021-01-29,2021-01-29,69745238
2021-01-30,2021-01-30,69861715
2021-01-31,2021-01-31,69828802
2021-02-01,2021-02-01,70006714
2021-02-02,2021-02-02,70187107
2021-02-03,2021-02-03,70318836
2021-02-04,2021-02-04,70479862
2021-02-05,2021-02-05,70517972
2021-02-06,2021-02-06,70526049
2021-02-07,2021-02-07,70409047
2021-02-08,2021-02-08,70418228
2021-02-09,2021-02-09,70703192
2021-02-10,2021-02-10,70923649
2021-02-11,2021-02-11,71175130
2021-02-12,2021-02-12,71424272
2021-02-13,2021-02-13,71414889
2021-02-14,2021-02-14,71311785
2021-02-15,2021-02-15,71333909
2021-02-16,2021-02-16,71545444
2021-02-17,2021-02-17,71743737
2021-02-18,2021-02-18,71938081
2021-02-19,2021-02-19,72116589
2021-02-20,2021-02-20,72250740
2021-02-21,2021-02-21,72205021
2021-02-22,2021-02-22,72317134
2021-02-23,2021-02-23,72552349
2021-02-24,2021-02-24,72701055
2021-02-25,2021-02-25,72783643
2021-02-26,2021-02-26,72985034
2021-02-27,2021-02-27,72974111
2021-02-28,2021-02-28,72891958
2021-03-01,2021-03-01,73021058
2021-03-02,2021-03-02,73172265
2021-03-03,2021-03-03,73291494
2021-03-04,2021-03-04,73469306
2021-03-05,2021-03-05,73579210
2021-03-06,2021-03-06,73459165
2021-03-07,2021-03-07,73314031
2021-03-08,2021-03-08,73212351
2021-03-09,2021-03-09,73350459
2021-03-10,2021-03-10,73492569
2021-03-11,2021-03-11,73661414
2021-03-12,2021-03-12,73784829
2021-03-13,2021-03-13,73823668
2021-03-14,2021-03-14,73740307
2021-03-15,2021-03-15,73782447
2021-03-16,2021-03-16,73919672
2021-03-17,2021-03-17,74116505
2021-03-18,2021-03-18,74340339
2021-03-19,2021-03-19,74494979
2021-03-20,2021-03-20,74458210
2021-03-21,2021-03-21,74081023
2021-03-22,2021-03-22,74111020
2021-03-23,2021-03-23,74102467
2021-03-24,2021-03-24,74108048
2021-03-25,2021-03-25,74230367
2021-03-26,2021-03-26,74407989
2021-03-27,2021-03-27,74303904
2021-03-28,2021-03-28,74040695
2021-03-29,2021-03-29,74086954
2021-03-30,2021-03-30,74240478
2021-03-31,2021-03-31,74410959
2021-04-01,2021-04-01,74547030
2021-04-02,2021-04-02,74705735
2021-04-03,2021-04-03,74786825
2021-04-04,2021-04-04,74610223
2021-04-05,2021-04-05,74519055
2021-04-06,2021-04-06,74710748
2021-04-07,2021-04-07,74830465
2021-04-08,2021-04-08,74967111
2021-04-09,2021-04-09,75108947
2021-04-10,2021-04-10,75082516
2021-04-11,2021-04-11,74927353
2021-04-12,2021-04-12,74980668
2021-04-13,2021-04-13,75165377
2021-04-14,2021-04-14,75420109
2021-04-15,2021-04-15,75537624
2021-04-16,2021-04-16,75850255
2021-04-17,2021-04-17,76039912
2021-04-18,2021-04-18,76219335
2021-04-19,2021-04-19,76482462
2021-04-20,2021-04-20,76730557
2021-04-21,2021-04-21,77016871
2021-04-22,2021-04-22,77062366
2021-04-23,2021-04-23,77207216
2021-04-24,2021-04-24,77160017
2021-04-25,2021-04-25,76943809
2021-04-26,2021-04-26,77074112
2021-04-27,2021-04-27,77104378
2021-04-28,2021-04-28,77101880
2021-04-29,2021-04-29,77211083
2021-04-30,2021-04-30,77203417
2021-05-01,2021-05-01,77144143
2021-05-02,2021-05-02,76524176
