start_time,datetime,utxo_count
2021-01-01 00:00:00,2021-01-01 00:00:00,68580264
2021-01-01 01:00:00,2021-01-01 01:00:00,68560142
2021-01-01 02:00:00,2021-01-01 02:00:00,68545618
2021-01-01 03:00:00,2021-01-01 03:00:00,68542881
2021-01-01 04:00:00,2021-01-01 04:00:00,68538836
2021-01-01 05:00:00,2021-01-01 05:00:00,68521419
2021-01-01 06:00:00,2021-01-01 06:00:00,68486111
2021-01-01 07:00:00,2021-01-01 07:00:00,68480348
2021-01-01 08:00:00,2021-01-01 08:00:00,68453344
2021-01-01 09:00:00,2021-01-01 09:00:00,68451025
2021-01-01 10:00:00,2021-01-01 10:00:00,68402531
2021-01-01 11:00:00,2021-01-01 11:00:00,68400528
2021-01-01 12:00:00,2021-01-01 12:00:00,68389093
2021-01-01 13:00:00,2021-01-01 13:00:00,68389499
2021-01-01 14:00:00,2021-01-01 14:00:00,68384742
2021-01-01 15:00:00,2021-01-01 15:00:00,68373708
2021-01-01 16:00:00,2021-01-01 16:00:00,68370660
2021-01-01 17:00:00,2021-01-01 17:00:00,68369171
2021-01-01 18:00:00,2021-01-01 18:00:00,68357982
2021-01-01 19:00:00,2021-01-01 19:00:00,68363154
2021-01-01 20:00:00,2021-01-01 20:00:00,68374192
2021-01-01 21:00:00,2021-01-01 21:00:00,68380439
2021-01-01 22:00:00,2021-01-01 22:00:00,68384575
2021-01-01 23:00:00,2021-01-01 23:00:00,68389406
2021-01-02 00:00:00,2021-01-02 00:00:00,68389889
2021-01-02 01:00:00,2021-01-02 01:00:00,68373775
2021-01-02 02:00:00,2021-01-02 02:00:00,68372801
2021-01-02 03:00:00,2021-01-02 03:00:00,68379218
2021-01-02 04:00:00,2021-01-02 04:00:00,68346414
2021-01-02 05:00:00,2021-01-02 05:00:00,68341645
2021-01-02 06:00:00,2021-01-02 06:00:00,68319196
2021-01-02 07:00:00,2021-01-02 07:00:00,68297234
2021-01-02 08:00:00,2021-01-02 08:00:00,68225752
2021-01-02 09:00:00,2021-01-02 09:00:00,68218263
2021-01-02 10:00:00,2021-01-02 10:00:00,68203075
2021-01-02 11:00:00,2021-01-02 11:00:00,68208037
2021-01-02 12:00:00,2021-01-02 12:00:00,68209898
2021-01-02 13:00:00,2021-01-02 13:00:00,68218363
2021-01-02 14:00:00,2021-01-02 14:00:00,68218653
2021-01-02 15:00:00,2021-01-02 15:00:00,68220633
2021-01-02 16:00:00,2021-01-02 16:00:00,68235477
2021-01-02 17:00:00,2021-01-02 17:00:00,68248718
2021-01-02 18:00:00,2021-01-02 18:00:00,68242408
2021-01-02 19:00:00,2021-01-02 19:00:00,68252838
2021-01-02 20:00:00,2021-01-02 20:00:00,68254102
2021-01-02 21:00:00,2021-01-02 21:00:00,68257768
2021-01-02 22:00:00,2021-01-02 22:00:00,68273030
2021-01-02 23:00:00,2021-01-02 23:00:00,68282829
2021-01-03 00:00:00,2021-01-03 00:00:00,68287537
2021-01-03 01:00:00,2021-01-03 01:00:00,68295612
2021-01-03 02:00:00,2021-01-03 02:00:00,68293573
2021-01-03 03:00:00,2021-01-03 03:00:00,68294306
2021-01-03 04:00:00,2021-01-03 04:00:00,68293449
2021-01-03 05:00:00,2021-01-03 05:00:00,68281754
2021-01-03 06:00:00,2021-01-03 06:00:00,68288179
2021-01-03 07:00:00,2021-01-03 07:00:00,68278403
2021-01-03 08:00:00,2021-01-03 08:00:00,68275754
2021-01-03 09:00:00,2021-01-03 09:00:00,68269333
2021-01-03 10:00:00,2021-01-03 10:00:00,68278020
2021-01-03 11:00:00,2021-01-03 11:00:00,68280035
2021-01-03 12:00:00,2021-01-03 12:00:00,68279110
2021-01-03 13:00:00,2021-01-03 13:00:00,68283998
2021-01-03 14:00:00,2021-01-03 14:00:00,68282290
2021-01-03 15:00:00,2021-01-03 15:00:00,68292563
2021-01-03 16:00:00,2021-01-03 16:00:00,68292877
2021-01-03 17:00:00,2021-01-03 17:00:00,68300040
2021-01-03 18:00:00,2021-01-03 18:00:00,68301754
2021-01-03 19:00:00,2021-01-03 19:00:00,68304227
2021-01-03 20:00:00,2021-01-03 20:00:00,68314361
2021-01-03 21:00:00,2021-01-03 21:00:00,68320944
2021-01-03 22:00:00,2021-01-03 22:00:00,68311756
2021-01-03 23:00:00,2021-01-03 23:00:00,68319564
2021-01-04 00:00:00,2021-01-04 00:00:00,68303168
2021-01-04 01:00:00,2021-01-04 01:00:00,68299029
2021-01-04 02:00:00,2021-01-04 02:00:00,68307920
2021-01-04 03:00:00,2021-01-04 03:00:00,68269921
2021-01-04 04:00:00,2021-01-04 04:00:00,68274665
2021-01-04 05:00:00,2021-01-04 05:00:00,68282400
2021-01-04 06:00:00,2021-01-04 06:00:00,68282474
2021-01-04 07:00:00,2021-01-04 07:00:00,68272434
2021-01-04 08:00:00,2021-01-04 08:00:00,68241000
2021-01-04 09:00:00,2021-01-04 09:00:00,68227820
2021-01-04 10:00:00,2021-01-04 10:00:00,68228408
2021-01-04 11:00:00,2021-01-04 11:00:00,68232165
2021-01-04 12:00:00,2021-01-04 12:00:00,68233260
2021-01-04 13:00:00,2021-01-04 13:00:00,68245464
2021-01-04 14:00:00,2021-01-04 14:00:00,68256240
2021-01-04 15:00:00,2021-01-04 15:00:00,68262224
2021-01-04 16:00:00,2021-01-04 16:00:00,68272045
2021-01-04 17:00:00,2021-01-04 17:00:00,68284584
2021-01-04 18:00:00,2021-01-04 18:00:00,68302885
2021-01-04 19:00:00,2021-01-04 19:00:00,68302378
2021-01-04 20:00:00,2021-01-04 20:00:00,68297865
