start_time,datetime,velocity_supply_total
2021-01-01 00:00:00,2021-01-01 00:00:00,28.84033188
2021-01-01 01:00:00,2021-01-01 01:00:00,28.84417017
2021-01-01 02:00:00,2021-01-01 02:00:00,28.84887496
2021-01-01 03:00:00,2021-01-01 03:00:00,28.85124037
2021-01-01 04:00:00,2021-01-01 04:00:00,28.85203825
2021-01-01 05:00:00,2021-01-01 05:00:00,28.85395501
2021-01-01 06:00:00,2021-01-01 06:00:00,28.85481813
2021-01-01 07:00:00,2021-01-01 07:00:00,28.85650443
2021-01-01 08:00:00,2021-01-01 08:00:00,28.85792094
2021-01-01 09:00:00,2021-01-01 09:00:00,28.86112542
2021-01-01 10:00:00,2021-01-01 10:00:00,28.86930062
2021-01-01 11:00:00,2021-01-01 11:00:00,28.86983786
2021-01-01 12:00:00,2021-01-01 12:00:00,28.87090793
2021-01-01 13:00:00,2021-01-01 13:00:00,28.87151756
2021-01-01 14:00:00,2021-01-01 14:00:00,28.87146214
2021-01-01 15:00:00,2021-01-01 15:00:00,28.87396971
2021-01-01 16:00:00,2021-01-01 16:00:00,28.87470032
2021-01-01 17:00:00,2021-01-01 17:00:00,28.87540403
2021-01-01 18:00:00,2021-01-01 18:00:00,28.87617419
2021-01-01 19:00:00,2021-01-01 19:00:00,28.87639675
2021-01-01 20:00:00,2021-01-01 20:00:00,28.87731842
2021-01-01 21:00:00,2021-01-01 21:00:00,28.88098038
2021-01-01 22:00:00,2021-01-01 22:00:00,28.88197206
2021-01-01 23:00:00,2021-01-01 23:00:00,28.88497274
2021-01-02 00:00:00,2021-01-02 00:00:00,28.88508101
2021-01-02 01:00:00,2021-01-02 01:00:00,28.88900682
2021-01-02 02:00:00,2021-01-02 02:00:00,28.88850693
2021-01-02 03:00:00,2021-01-02 03:00:00,28.89070344
2021-01-02 04:00:00,2021-01-02 04:00:00,28.89554471
2021-01-02 05:00:00,2021-01-02 05:00:00,28.89576187
2021-01-02 06:00:00,2021-01-02 06:00:00,28.89731588
2021-01-02 07:00:00,2021-01-02 07:00:00,28.89824005
2021-01-02 08:00:00,2021-01-02 08:00:00,28.90090736
2021-01-02 09:00:00,2021-01-02 09:00:00,28.89237011
2021-01-02 10:00:00,2021-01-02 10:00:00,28.89102762
2021-01-02 11:00:00,2021-01-02 11:00:00,28.89323396
2021-01-02 12:00:00,2021-01-02 12:00:00,28.8941914
2021-01-02 13:00:00,2021-01-02 13:00:00,28.89738729
2021-01-02 14:00:00,2021-01-02 14:00:00,28.90020675
2021-01-02 15:00:00,2021-01-02 15:00:00,28.9055529
2021-01-02 16:00:00,2021-01-02 16:00:00,28.90771425
2021-01-02 17:00:00,2021-01-02 17:00:00,28.91034978
2021-01-02 18:00:00,2021-01-02 18:00:00,28.91528048
2021-01-02 19:00:00,2021-01-02 19:00:00,28.91987611
2021-01-02 20:00:00,2021-01-02 20:00:00,28.92764918
2021-01-02 21:00:00,2021-01-02 21:00:00,28.93361893
2021-01-02 22:00:00,2021-01-02 22:00:00,28.94089883
2021-01-02 23:00:00,2021-01-02 23:00:00,28.94519923
2021-01-03 00:00:00,2021-01-03 00:00:00,28.94933605
2021-01-03 01:00:00,2021-01-03 01:00:00,28.95633983
2021-01-03 02:00:00,2021-01-03 02:00:00,28.95710694
2021-01-03 03:00:00,2021-01-03 03:00:00,28.95902828
2021-01-03 04:00:00,2021-01-03 04:00:00,28.96388378
2021-01-03 05:00:00,2021-01-03 05:00:00,28.96631794
2021-01-03 06:00:00,2021-01-03 06:00:00,28.96995457
2021-01-03 07:00:00,2021-01-03 07:00:00,28.97480164
2021-01-03 08:00:00,2021-01-03 08:00:00,28.98137189
2021-01-03 09:00:00,2021-01-03 09:00:00,28.98286157
2021-01-03 10:00:00,2021-01-03 10:00:00,28.98591321
2021-01-03 11:00:00,2021-01-03 11:00:00,28.9879426
2021-01-03 12:00:00,2021-01-03 12:00:00,28.99307751
2021-01-03 13:00:00,2021-01-03 13:00:00,28.99645091
2021-01-03 14:00:00,2021-01-03 14:00:00,28.99683958
2021-01-03 15:00:00,2021-01-03 15:00:00,28.99925505
2021-01-03 16:00:00,2021-01-03 16:00:00,29.00040933
2021-01-03 17:00:00,2021-01-03 17:00:00,29.00421887
2021-01-03 18:00:00,2021-01-03 18:00:00,29.00543608
2021-01-03 19:00:00,2021-01-03 19:00:00,29.01113373
2021-01-03 20:00:00,2021-01-03 20:00:00,29.0149409
2021-01-03 21:00:00,2021-01-03 21:00:00,29.01621505
2021-01-03 22:00:00,2021-01-03 22:00:00,29.02435174
2021-01-03 23:00:00,2021-01-03 23:00:00,29.02734772
2021-01-04 00:00:00,2021-01-04 00:00:00,29.03468641
2021-01-04 01:00:00,2021-01-04 01:00:00,29.03655124
2021-01-04 02:00:00,2021-01-04 02:00:00,29.03750649
2021-01-04 03:00:00,2021-01-04 03:00:00,29.03946832
2021-01-04 04:00:00,2021-01-04 04:00:00,29.03883816
2021-01-04 05:00:00,2021-01-04 05:00:00,29.04065952
2021-01-04 06:00:00,2021-01-04 06:00:00,29.04403785
2021-01-04 07:00:00,2021-01-04 07:00:00,29.04604227
2021-01-04 08:00:00,2021-01-04 08:00:00,29.05212823
2021-01-04 09:00:00,2021-01-04 09:00:00,29.0545902
2021-01-04 10:00:00,2021-01-04 10:00:00,29.05775558
2021-01-04 11:00:00,2021-01-04 11:00:00,29.0602384
2021-01-04 12:00:00,2021-01-04 12:00:00,29.06235103
2021-01-04 13:00:00,2021-01-04 13:00:00,29.0640845
2021-01-04 14:00:00,2021-01-04 14:00:00,29.06939746
2021-01-04 15:00:00,2021-01-04 15:00:00,29.07309646
2021-01-04 16:00:00,2021-01-04 16:00:00,29.07517693
2021-01-04 17:00:00,2021-01-04 17:00:00,29.07742826
2021-01-04 18:00:00,2021-01-04 18:00:00,29.08449831
2021-01-04 19:00:00,2021-01-04 19:00:00,29.08625489
2021-01-04 20:00:00,2021-01-04 20:00:00,29.09156413
2021-01-04 21:00:00,2021-01-04 21:00:00,29.09285428
2021-01-04 22:00:00,2021-01-04 22:00:00,29.09495695
2021-01-04 23:00:00,2021-01-04 23:00:00,29.09858699
2021-01-05 00:00:00,2021-01-05 00:00:00,29.1021797
2021-01-05 01:00:00,2021-01-05 01:00:00,29.10714614
2021-01-05 02:00:00,2021-01-05 02:00:00,29.10872935
2021-01-05 03:00:00,2021-01-05 03:00:00,29.10945471
2021-01-05 04:00:00,2021-01-05 04:00:00,29.11374632
2021-01-05 05:00:00,2021-01-05 05:00:00,29.11665148
2021-01-05 06:00:00,2021-01-05 06:00:00,29.11933497
2021-01-05 07:00:00,2021-01-05 07:00:00,29.12133272
2021-01-05 08:00:00,2021-01-05 08:00:00,29.12365382
2021-01-05 09:00:00,2021-01-05 09:00:00,29.12923547
2021-01-05 10:00:00,2021-01-05 10:00:00,29.13279771
2021-01-05 11:00:00,2021-01-05 11:00:00,29.13562274
2021-01-05 12:00:00,2021-01-05 12:00:00,29.13396472
2021-01-05 13:00:00,2021-01-05 13:00:00,29.13892848
