start_time,date,mca,mcda
2021-01-01,2021-01-01,1118.18331516,2479412.61512363
2021-01-02,2021-01-02,1116.08310081,2469001.53387265
2021-01-03,2021-01-03,1115.06366396,2464190.23303712
2021-01-04,2021-01-04,1113.01938841,2461164.6554957
2021-01-05,2021-01-05,1112.77658206,2459961.65099262
2021-01-06,2021-01-06,1112.34860585,2458664.72355381
2021-01-07,2021-01-07,1111.19504426,2450744.63389821
2021-01-08,2021-01-08,1110.38648348,2445146.05916185
2021-01-09,2021-01-09,1109.81255763,2443214.37886944
2021-01-10,2021-01-10,1109.57723051,2445904.5717673
2021-01-11,2021-01-11,1109.15503121,2444610.65947963
2021-01-12,2021-01-12,1109.26386427,2447452.73471564
2021-01-13,2021-01-13,1109.37762047,2452089.39479913
2021-01-14,2021-01-14,1109.49530437,2455614.50381175
2021-01-15,2021-01-15,1109.41971581,2457747.860288
2021-01-16,2021-01-16,1109.80558263,2464471.53504137
2021-01-17,2021-01-17,1110.24758542,2471326.43547002
2021-01-18,2021-01-18,1110.46013529,2476574.15011591
2021-01-19,2021-01-19,1110.67249965,2479457.44193824
2021-01-20,2021-01-20,1111.05127424,2485595.99000873
2021-01-21,2021-01-21,1111.45179153,2490989.23634928
2021-01-22,2021-01-22,1111.7440767,2496739.95504052
2021-01-23,2021-01-23,1112.39610925,2505070.5616944
2021-01-24,2021-01-24,1113.04997106,2513746.85861547
2021-01-25,2021-01-25,1113.4445279,2521493.39685444
2021-01-26,2021-01-26,1113.96884746,2529231.47103029
2021-01-27,2021-01-27,1112.83213281,2524516.6782823
2021-01-28,2021-01-28,1113.03676889,2528333.30252919
2021-01-29,2021-01-29,1113.01979359,2529411.42971443
2021-01-30,2021-01-30,1113.41653694,2536110.84432124
2021-01-31,2021-01-31,1113.33154509,2540932.76416214
2021-02-01,2021-02-01,1113.84011419,2547569.11783471
2021-02-02,2021-02-02,1114.37755414,2554220.89050135
2021-02-03,2021-02-03,1114.74706189,2559847.26582455
2021-02-04,2021-02-04,1114.84083972,2561883.12662893
2021-02-05,2021-02-05,1114.70324533,2563170.01046465
2021-02-06,2021-02-06,1115.11588954,2569952.7720335
2021-02-07,2021-02-07,1114.64366993,2577131.27079736
2021-02-08,2021-02-08,1114.58214459,2580259.09570752
2021-02-09,2021-02-09,1114.13800977,2574182.76000088
2021-02-10,2021-02-10,1114.16224783,2575778.05267268
2021-02-11,2021-02-11,1114.4096171,2580939.3884853
2021-02-12,2021-02-12,1114.53667079,2585272.1867234
2021-02-13,2021-02-13,1115.07000895,2593942.40019386
2021-02-14,2021-02-14,1115.42500783,2602298.65576814
2021-02-15,2021-02-15,1115.64166469,2604918.52952626
2021-02-16,2021-02-16,1115.76271254,2610587.08488273
2021-02-17,2021-02-17,1115.83053231,2613554.93784276
2021-02-18,2021-02-18,1115.66451545,2615998.3493765
2021-02-19,2021-02-19,1115.36094073,2615649.08072717
2021-02-20,2021-02-20,1115.18415519,2617356.04662581
2021-02-21,2021-02-21,1115.33903292,2623614.44305403
2021-02-22,2021-02-22,1115.48129499,2628763.64179623
2021-02-23,2021-02-23,1114.64847872,2624059.95881102
2021-02-24,2021-02-24,1113.89915007,2627019.86721123
2021-02-25,2021-02-25,1113.86086833,2632161.54178231
2021-02-26,2021-02-26,1113.71995321,2633826.99595998
2021-02-27,2021-02-27,1114.10969916,2642134.62563707
2021-02-28,2021-02-28,1114.48314814,2653184.24737538
2021-03-01,2021-03-01,1114.99142786,2661283.05538501
2021-03-02,2021-03-02,1114.96377185,2667863.23293966
2021-03-03,2021-03-03,1115.48249788,2677464.0077627
2021-03-04,2021-03-04,1115.88151571,2685775.37080046
2021-03-05,2021-03-05,1115.92877105,2692478.3624515
2021-03-06,2021-03-06,1116.49806165,2703970.26606709
2021-03-07,2021-03-07,1117.19332669,2716097.27801006
2021-03-08,2021-03-08,1116.92586497,2723117.94805233
2021-03-09,2021-03-09,1117.35338841,2731706.23487774
2021-03-10,2021-03-10,1117.76481094,2739717.55261563
2021-03-11,2021-03-11,1116.63281299,2744231.42327491
2021-03-12,2021-03-12,1116.64312111,2748214.61610656
2021-03-13,2021-03-13,1117.05453579,2756897.01427066
2021-03-14,2021-03-14,1116.95740886,2758956.15063645
2021-03-15,2021-03-15,1117.32456638,2767856.74316915
2021-03-16,2021-03-16,1117.35262077,2767818.25298716
2021-03-17,2021-03-17,1117.56684382,2776419.65774846
2021-03-18,2021-03-18,1118.1226931,2787427.21896145
2021-03-19,2021-03-19,1118.72725634,2799757.83281858
2021-03-20,2021-03-20,1118.95615745,2807676.27299661
2021-03-21,2021-03-21,1119.50174734,2817812.5962547
2021-03-22,2021-03-22,1119.7042742,2826321.59816145
2021-03-23,2021-03-23,1119.49253795,2829339.35010349
2021-03-24,2021-03-24,1119.86007351,2836492.50311361
2021-03-25,2021-03-25,1119.4893131,2840362.73649189
2021-03-26,2021-03-26,1119.82946859,2849275.346239
2021-03-27,2021-03-27,1120.09561784,2857016.49962057
2021-03-28,2021-03-28,1120.61347068,2869643.28408465
2021-03-29,2021-03-29,1121.17168036,2880132.73607161
2021-03-30,2021-03-30,1121.5288071,2889796.63777687
2021-03-31,2021-03-31,1121.67025942,2898316.33843877
2021-04-01,2021-04-01,1121.12011403,2896402.75730768
2021-04-02,2021-04-02,1120.91776016,2904641.26110979
2021-04-03,2021-04-03,1121.61757262,2919047.29545695
2021-04-04,2021-04-04,1122.2670411,2932082.6800831
2021-04-05,2021-04-05,1122.78072017,2944026.14483006
2021-04-06,2021-04-06,1121.67066491,2935798.88123925
2021-04-07,2021-04-07,1122.13828035,2946812.41734305
