start_time,date,nrpl
2021-01-01,2021-01-01,1890077056.171835
2021-01-02,2021-01-02,2991779883.461275
2021-01-03,2021-01-03,3124216421.440317
2021-01-04,2021-01-04,2678476865.323674
2021-01-05,2021-01-05,2647468843.604923
2021-01-06,2021-01-06,3198175638.3440466
2021-01-07,2021-01-07,5582526003.462316
2021-01-08,2021-01-08,5076369285.3150425
2021-01-09,2021-01-09,3407575478.164597
2021-01-10,2021-01-10,1723423047.2965426
2021-01-11,2021-01-11,1055826304.1017526
2021-01-12,2021-01-12,1344937002.6682355
2021-01-13,2021-01-13,1117785512.235547
2021-01-14,2021-01-14,2230246104.9304285
2021-01-15,2021-01-15,1205667003.6262338
2021-01-16,2021-01-16,756994082.4793428
2021-01-17,2021-01-17,512971681.9848896
2021-01-18,2021-01-18,1193503000.419567
2021-01-19,2021-01-19,1012047227.7356232
2021-01-20,2021-01-20,387057902.8428865
2021-01-21,2021-01-21,107648560.88811186
2021-01-22,2021-01-22,145633190.52628252
2021-01-23,2021-01-23,295936432.7990949
2021-01-24,2021-01-24,176315081.41706628
2021-01-25,2021-01-25,487296485.1995666
2021-01-26,2021-01-26,149042158.2867436
2021-01-27,2021-01-27,1206942542.9003415
2021-01-28,2021-01-28,903570183.0132812
2021-01-29,2021-01-29,2043950520.741024
2021-01-30,2021-01-30,533083147.79795927
2021-01-31,2021-01-31,643500762.9352206
2021-02-01,2021-02-01,419377502.15034515
2021-02-02,2021-02-02,1001552906.9762534
2021-02-03,2021-02-03,976964267.928864
2021-02-04,2021-02-04,1488951460.0432386
2021-02-05,2021-02-05,1879511644.61134
2021-02-06,2021-02-06,1237927466.0704494
2021-02-07,2021-02-07,1017542994.7171133
2021-02-08,2021-02-08,2652581643.25563
2021-02-09,2021-02-09,5193138541.558998
2021-02-10,2021-02-10,2716726801.4990687
2021-02-11,2021-02-11,2231809307.7098045
2021-02-12,2021-02-12,2298547848.7886276
2021-02-13,2021-02-13,1036581554.28753
2021-02-14,2021-02-14,969559944.3380208
2021-02-15,2021-02-15,2740623623.513178
2021-02-16,2021-02-16,1650216123.3042843
2021-02-17,2021-02-17,2781460067.072556
2021-02-18,2021-02-18,3087475394.6099997
2021-02-19,2021-02-19,4949588187.4471245
2021-02-20,2021-02-20,3690009530.4112735
2021-02-21,2021-02-21,2296040874.242572
2021-02-22,2021-02-22,2002874980.3229427
2021-02-23,2021-02-23,2608047070.36494
2021-02-24,2021-02-24,2270822349.7946324
2021-02-25,2021-02-25,1779504900.1785636
2021-02-26,2021-02-26,2235289647.4692006
2021-02-27,2021-02-27,-237543269.78578755
2021-02-28,2021-02-28,258541266.14304507
2021-03-01,2021-03-01,1286814665.9578354
2021-03-02,2021-03-02,1396091391.5644605
2021-03-03,2021-03-03,1144029605.8947308
2021-03-04,2021-03-04,827659216.0001456
2021-03-05,2021-03-05,820225031.6380029
2021-03-06,2021-03-06,488429956.824457
2021-03-07,2021-03-07,618568141.5279049
2021-03-08,2021-03-08,1557152125.5614743
2021-03-09,2021-03-09,1733489201.556047
2021-03-10,2021-03-10,1923961261.4338903
2021-03-11,2021-03-11,3145801689.8572464
2021-03-12,2021-03-12,2435530915.351405
2021-03-13,2021-03-13,1848052111.9530168
2021-03-14,2021-03-14,1810806110.523618
2021-03-15,2021-03-15,1068138878.3929156
2021-03-16,2021-03-16,1847211361.5755231
2021-03-17,2021-03-17,1562452435.7395782
2021-03-18,2021-03-18,1075559272.2287934
2021-03-19,2021-03-19,878007542.1118394
2021-03-20,2021-03-20,987339598.644298
2021-03-21,2021-03-21,757365039.4135559
2021-03-22,2021-03-22,1206708527.4348538
2021-03-23,2021-03-23,1806643501.4847531
2021-03-24,2021-03-24,1340942485.3568406
2021-03-25,2021-03-25,1221571719.2398546
2021-03-26,2021-03-26,1032597214.2207172
2021-03-27,2021-03-27,1501154011.4597423
2021-03-28,2021-03-28,623594526.9540488
2021-03-29,2021-03-29,1382275574.5090816
2021-03-30,2021-03-30,1577038044.8390336
2021-03-31,2021-03-31,1568465340.0313556
2021-04-01,2021-04-01,2007478458.8067243
2021-04-02,2021-04-02,1331347093.2221074
2021-04-03,2021-04-03,390471303.51615065
2021-04-04,2021-04-04,507206687.9820504
2021-04-05,2021-04-05,827075389.824898
2021-04-06,2021-04-06,5476999126.178066
2021-04-07,2021-04-07,699474722.3078487
2021-04-08,2021-04-08,878202127.2794359
2021-04-09,2021-04-09,786166590.5409925
2021-04-10,2021-04-10,1105395356.9854758
2021-04-11,2021-04-11,1242125926.0001774
2021-04-12,2021-04-12,1588734748.4423242
2021-04-13,2021-04-13,2414126607.6416674
2021-04-14,2021-04-14,2905854406.47596
2021-04-15,2021-04-15,2083082428.1445384
2021-04-16,2021-04-16,972598282.1219412
2021-04-17,2021-04-17,927741892.3570118
2021-04-18,2021-04-18,3897727078.927443
2021-04-19,2021-04-19,235175090.8858114
2021-04-20,2021-04-20,653496077.9208524
2021-04-21,2021-04-21,307983093.25174135
2021-04-22,2021-04-22,1079823981.796402
2021-04-23,2021-04-23,-187427309.01116684
2021-04-24,2021-04-24,642817213.0472759
2021-04-25,2021-04-25,15415995.64903118
2021-04-26,2021-04-26,1093335971.0001314
2021-04-27,2021-04-27,1614299575.6483953
2021-04-28,2021-04-28,670884628.6720792
2021-04-29,2021-04-29,1238058301.988347
2021-04-30,2021-04-30,1651245058.6307385
2021-05-01,2021-05-01,648781566.342632
2021-05-02,2021-05-02,521124307.0032015
2021-05-03,2021-05-03,1060214020.2283412
2021-05-04,2021-05-04,597709435.4988853
2021-05-05,2021-05-05,1031945540.8623676
2021-05-06,2021-05-06,1238652815.8515365
2021-05-07,2021-05-07,2579642479.0922294
2021-05-08,2021-05-08,837398246.8469042
2021-05-09,2021-05-09,786772037.4785408
2021-05-10,2021-05-10,827470370.5411476
2021-05-11,2021-05-11,315268948.3658132
2021-05-12,2021-05-12,1635753816.32872
2021-05-13,2021-05-13,-334651994.2381811
2021-05-14,2021-05-14,94432504.94186722
2021-05-15,2021-05-15,34706374.39771154
2021-05-16,2021-05-16,-202826102.6156479
2021-05-17,2021-05-17,-958713300.445527
2021-05-18,2021-05-18,-319248791.35029376
2021-05-19,2021-05-19,-2665965676.1754475
2021-05-20,2021-05-20,-1442256003.7757182
2021-05-21,2021-05-21,-700060360.7791308
2021-05-22,2021-05-22,-703960008.936995
2021-05-23,2021-05-23,-627765064.9011024
2021-05-24,2021-05-24,819589399.3415567
2021-05-25,2021-05-25,-552370159.0560232
2021-05-26,2021-05-26,276106060.27354544
2021-05-27,2021-05-27,-301991271.58013105
2021-05-28,2021-05-28,-660286443.3082025
2021-05-29,2021-05-29,-418287645.8472323
2021-05-30,2021-05-30,299805725.4325501
2021-05-31,2021-05-31,-96875143.52238658
2021-06-01,2021-06-01,240698398.73381823
2021-06-02,2021-06-02,-12159403.01472482
2021-06-03,2021-06-03,287592013.3179301
2021-06-04,2021-06-04,-550320578.4958464
2021-06-05,2021-06-05,-237194068.406292
2021-06-06,2021-06-06,-184649245.7266726
2021-06-07,2021-06-07,-356637708.2744668
2021-06-08,2021-06-08,-1345015571.43901
2021-06-09,2021-06-09,472004324.2260864
2021-06-10,2021-06-10,115485407.37397853
2021-06-11,2021-06-11,199304164.62721944
2021-06-12,2021-06-12,-219212075.88375333
2021-06-13,2021-06-13,111563345.98173933
2021-06-14,2021-06-14,702843466.2705395
2021-06-15,2021-06-15,339928996.84164584
2021-06-16,2021-06-16,63573583.18004098
2021-06-17,2021-06-17,-394641810.8571507
2021-06-18,2021-06-18,-268020259.5641045
2021-06-19,2021-06-19,-143998643.15830782
2021-06-20,2021-06-20,-148069202.96998104
2021-06-21,2021-06-21,-910557711.2084466
2021-06-22,2021-06-22,-605872338.8444104
2021-06-23,2021-06-23,-19723032.89649157
2021-06-24,2021-06-24,-58760657.71676422
2021-06-25,2021-06-25,-3448028508.27391
2021-06-26,2021-06-26,-509770966.2395648
