start_time,date,nul,nup,nupl
2021-01-01,2021-01-01,9.95e-06,0.68348719,0.68363813
2021-01-02,2021-01-02,8.443e-05,0.707238,0.7054091
2021-01-03,2021-01-03,0.00012686,0.71857308,0.70864371
2021-01-04,2021-01-04,0.00076484,0.69325823,0.6945197
2021-01-05,2021-01-05,2.27e-05,0.70915955,0.70845181
2021-01-06,2021-01-06,1.4e-07,0.71405024,0.72602097
2021-01-07,2021-01-07,8.106e-05,0.73463692,0.73659221
2021-01-08,2021-01-08,0.00010018,0.74069967,0.7369958
2021-01-09,2021-01-09,0.00018588,0.73517259,0.73014587
2021-01-10,2021-01-10,0.00163699,0.72273088,0.71313788
2021-01-11,2021-01-11,0.0050671,0.69371916,0.68936259
2021-01-12,2021-01-12,0.00759531,0.67538878,0.67472535
2021-01-13,2021-01-13,0.00234829,0.7017464,0.70181088
2021-01-14,2021-01-14,0.00070295,0.71685244,0.71199632
2021-01-15,2021-01-15,0.00385867,0.68863824,0.69161212
2021-01-16,2021-01-16,0.00406379,0.69858546,0.68417469
2021-01-17,2021-01-17,0.0049769,0.68451392,0.68193681
2021-01-18,2021-01-18,0.00321618,0.69465403,0.68709835
2021-01-19,2021-01-19,0.00389321,0.69417806,0.679117
2021-01-20,2021-01-20,0.00505077,0.68207797,0.67477506
2021-01-21,2021-01-21,0.01877589,0.65497849,0.62581624
2021-01-22,2021-01-22,0.01124915,0.65972471,0.64972681
2021-01-23,2021-01-23,0.01420772,0.65228864,0.63944604
2021-01-24,2021-01-24,0.01310327,0.65497368,0.6413617
2021-01-25,2021-01-25,0.01275941,0.65885106,0.63999022
2021-01-26,2021-01-26,0.01192737,0.65673645,0.64245189
2021-01-27,2021-01-27,0.02059614,0.63692565,0.61574781
2021-01-28,2021-01-28,0.00891165,0.65915078,0.6489097
2021-01-29,2021-01-29,0.00709907,0.66416222,0.65422564
2021-01-30,2021-01-30,0.00685106,0.66234844,0.65379093
2021-01-31,2021-01-31,0.01031174,0.65149665,0.64031279
2021-02-01,2021-02-01,0.00874788,0.65377607,0.64420238
2021-02-02,2021-02-02,0.00431118,0.66792549,0.66245807
2021-02-03,2021-02-03,0.00167772,0.67978277,0.68011115
2021-02-04,2021-02-04,0.00243941,0.67521589,0.67200052
2021-02-05,2021-02-05,0.00141903,0.67083391,0.68075956
2021-02-06,2021-02-06,0.00065598,0.68965968,0.68657478
2021-02-07,2021-02-07,0.00088343,0.6850957,0.68200889
2021-02-08,2021-02-08,0.0,0.7298297,0.73083671
2021-02-09,2021-02-09,0.00012766,0.72678004,0.72513905
2021-02-10,2021-02-10,0.00077936,0.71841027,0.71176137
2021-02-11,2021-02-11,8.4e-07,0.72885949,0.72819291
2021-02-12,2021-02-12,6.642e-05,0.72712753,0.72196433
2021-02-13,2021-02-13,0.00024089,0.71763138,0.71979371
2021-02-14,2021-02-14,6.34e-06,0.73652874,0.72687376
2021-02-15,2021-02-15,0.00012738,0.72094104,0.71971368
2021-02-16,2021-02-16,1.602e-05,0.72530465,0.72490073
2021-02-17,2021-02-17,3.56e-06,0.73896358,0.73778421
2021-02-18,2021-02-18,0.00012314,0.73142423,0.73160868
2021-02-19,2021-02-19,3.96e-06,0.74551976,0.74771251
2021-02-20,2021-02-20,6.98e-05,0.74677472,0.74382926
2021-02-21,2021-02-21,3.239e-05,0.74790715,0.74881985
2021-02-22,2021-02-22,0.00149083,0.72004708,0.73120498
2021-02-23,2021-02-23,0.00546821,0.70237268,0.69969248
2021-02-24,2021-02-24,0.00418914,0.70635149,0.70211407
2021-02-25,2021-02-25,0.0080936,0.69484549,0.6835339
2021-02-26,2021-02-26,0.00968372,0.68322667,0.6754155
2021-02-27,2021-02-27,0.00855162,0.68508216,0.67483352
2021-02-28,2021-02-28,0.01136031,0.67387602,0.66776174
2021-03-01,2021-03-01,0.00324166,0.69937898,0.69562837
2021-03-02,2021-03-02,0.00461478,0.68889867,0.68695805
2021-03-03,2021-03-03,0.00249041,0.70272057,0.69751602
2021-03-04,2021-03-04,0.00470604,0.69213749,0.68392297
2021-03-05,2021-03-05,0.00390085,0.69259096,0.68562808
2021-03-06,2021-03-06,0.00390776,0.68949484,0.68579203
2021-03-07,2021-03-07,0.00175812,0.70517988,0.69807137
2021-03-08,2021-03-08,0.00117279,0.70386402,0.7045756
2021-03-09,2021-03-09,0.00038565,0.7111021,0.71644491
2021-03-10,2021-03-10,0.00017048,0.72335922,0.7193881
2021-03-11,2021-03-11,2.36e-06,0.72861971,0.72588751
2021-03-12,2021-03-12,3.88e-05,0.72313659,0.72074511
2021-03-13,2021-03-13,1.52e-06,0.73973564,0.73706207
2021-03-14,2021-03-14,0.00020954,0.73530495,0.72557788
2021-03-15,2021-03-15,0.00149325,0.71180909,0.70802574
2021-03-16,2021-03-16,0.00092215,0.70352243,0.71277761
2021-03-17,2021-03-17,0.0002277,0.71838699,0.72103623
2021-03-18,2021-03-18,0.00043795,0.71948876,0.71390846
2021-03-19,2021-03-19,0.00040255,0.71693897,0.7150317
2021-03-20,2021-03-20,0.00046595,0.71443117,0.71430383
2021-03-21,2021-03-21,0.00067618,0.71256012,0.70995706
2021-03-22,2021-03-22,0.00322613,0.70466172,0.69120833
2021-03-23,2021-03-23,0.00302077,0.6996781,0.69080951
2021-03-24,2021-03-24,0.00661565,0.68712311,0.67738407
2021-03-25,2021-03-25,0.00810427,0.68029529,0.66984024
2021-03-26,2021-03-26,0.002324,0.69175642,0.69105791
2021-03-27,2021-03-27,0.00142343,0.69574801,0.69405342
2021-03-28,2021-03-28,0.00147432,0.69466183,0.69307363
2021-03-29,2021-03-29,0.00040667,0.70467972,0.70166376
2021-03-30,2021-03-30,0.00020172,0.70563987,0.70610259
2021-03-31,2021-03-31,0.00025238,0.70368015,0.70452089
2021-04-01,2021-04-01,0.00024108,0.70328964,0.70234649
2021-04-02,2021-04-02,0.00018269,0.70372737,0.70239331
2021-04-03,2021-04-03,0.00145304,0.69466904,0.6920498
2021-04-04,2021-04-04,0.00055144,0.69827837,0.69765991
2021-04-05,2021-04-05,0.00017615,0.69934246,0.70155268
2021-04-06,2021-04-06,0.00068468,0.69202493,0.69066101
2021-04-07,2021-04-07,0.00289791,0.68402699,0.67855105
2021-04-08,2021-04-08,0.00068613,0.68823025,0.68955849
2021-04-09,2021-04-09,0.00058003,0.68984925,0.68896064
2021-04-10,2021-04-10,0.00013261,0.69599018,0.69671649
2021-04-11,2021-04-11,8.451e-05,0.69642482,0.69654687
2021-04-12,2021-04-12,0.00012483,0.695334,0.69443734
2021-04-13,2021-04-13,2.17e-06,0.70691737,0.71019056
2021-04-14,2021-04-14,0.0001636,0.70101949,0.70480344
2021-04-15,2021-04-15,5.535e-05,0.70421252,0.70427943
2021-04-16,2021-04-16,0.00046034,0.69771597,0.69467704
2021-04-17,2021-04-17,0.00113518,0.69044009,0.68690647
2021-04-18,2021-04-18,0.00522406,0.67101178,0.66196293
2021-04-19,2021-04-19,0.00617808,0.66754337,0.6582839
2021-04-20,2021-04-20,0.0045634,0.667161,0.66250537
2021-04-21,2021-04-21,0.00994775,0.66105185,0.64536609
2021-04-22,2021-04-22,0.01627522,0.65024624,0.62984804
2021-04-23,2021-04-23,0.01802957,0.64334263,0.62610392
2021-04-24,2021-04-24,0.02149665,0.63852747,0.61732833
2021-04-25,2021-04-25,0.02522475,0.63212125,0.60976145
2021-04-26,2021-04-26,0.00891051,0.65300064,0.64424095
