start_time,date,nvt_golden_cross
2021-01-01,2021-01-01,1.0449468570101037
2021-01-02,2021-01-02,1.232057912483686
2021-01-03,2021-01-03,1.3762968014463968
2021-01-04,2021-01-04,1.603958404477153
2021-01-05,2021-01-05,1.7405831842928488
2021-01-06,2021-01-06,2.1063864433072856
2021-01-07,2021-01-07,2.0755672932465377
2021-01-08,2021-01-08,2.0029728879247326
2021-01-09,2021-01-09,2.0364813695522095
2021-01-10,2021-01-10,2.286045049496954
2021-01-11,2021-01-11,1.9974373866022337
2021-01-12,2021-01-12,1.9737819557539316
2021-01-13,2021-01-13,2.1604317001924818
2021-01-14,2021-01-14,2.1836239541331013
2021-01-15,2021-01-15,2.314657438247204
2021-01-16,2021-01-16,2.324051057965219
2021-01-17,2021-01-17,2.755274180530481
2021-01-18,2021-01-18,2.9243055425070517
2021-01-19,2021-01-19,2.6358723667076505
2021-01-20,2021-01-20,2.2375032003689586
2021-01-21,2021-01-21,2.1297976165393533
2021-01-22,2021-01-22,2.07993075772094
2021-01-23,2021-01-23,1.759071885507654
2021-01-24,2021-01-24,1.6055374849574822
2021-01-25,2021-01-25,1.036656981782587
2021-01-26,2021-01-26,0.6583215726473147
2021-01-27,2021-01-27,-0.13178987402788866
2021-01-28,2021-01-28,-0.5349484394255178
2021-01-29,2021-01-29,-0.7093054811057212
2021-01-30,2021-01-30,-0.7769658734401369
2021-01-31,2021-01-31,-0.5326341103889047
2021-02-01,2021-02-01,-0.5025661753361025
2021-02-02,2021-02-02,-0.7028805440719609
2021-02-03,2021-02-03,-0.972998254263345
2021-02-04,2021-02-04,-0.7846129562536739
2021-02-05,2021-02-05,-0.8052646212185548
2021-02-06,2021-02-06,-0.6804181462127867
2021-02-07,2021-02-07,-0.4788123113766817
2021-02-08,2021-02-08,0.03964561132048803
2021-02-09,2021-02-09,-0.06273236196261905
2021-02-10,2021-02-10,0.09038849884477076
2021-02-11,2021-02-11,0.1404341592922846
2021-02-12,2021-02-12,0.4239756969820403
2021-02-13,2021-02-13,1.1136259783991511
2021-02-14,2021-02-14,1.6598752509513248
2021-02-15,2021-02-15,1.7275114788727406
2021-02-16,2021-02-16,1.9586765086791929
2021-02-17,2021-02-17,2.2855388572627873
2021-02-18,2021-02-18,2.3252521726936597
2021-02-19,2021-02-19,2.8762592868513943
2021-02-20,2021-02-20,2.9077063619544132
2021-02-21,2021-02-21,3.34581202789569
2021-02-22,2021-02-22,3.467020957375099
2021-02-23,2021-02-23,2.8185811820025353
2021-02-24,2021-02-24,2.420965747620406
2021-02-25,2021-02-25,2.3872961538123985
2021-02-26,2021-02-26,2.400746109268006
