start_time,date,loss_amount,loss_percent,profit_amount,profit_percent
2021-01-01,2021-01-01,56291,0.04872852,115458060,99.94671814
2021-01-02,2021-01-02,174026,0.15077294,115239838,99.84168434
2021-01-03,2021-01-03,335864,0.29087329,115123502,99.70211608
2021-01-04,2021-01-04,747193,0.64710275,114716856,99.34995703
2021-01-05,2021-01-05,138232,0.11960199,115434489,99.87698123
2021-01-06,2021-01-06,12664,0.01095069,115625247,99.98233743
2021-01-07,2021-01-07,126380,0.10910598,115696208,99.882481
2021-01-08,2021-01-08,243108,0.20949166,115795680,99.78375502
2021-01-09,2021-01-09,594296,0.51155226,115570119,99.4793098
2021-01-10,2021-01-10,1414986,1.21843266,114713627,98.77894876
2021-01-11,2021-01-11,1884212,1.62161631,114305289,98.37498161
2021-01-12,2021-01-12,2821020,2.42624028,113444834,97.56911541
2021-01-13,2021-01-13,1374480,1.18188235,114915632,98.81319314
2021-01-14,2021-01-14,987185,0.84806684,115410867,99.14669451
2021-01-15,2021-01-15,2160574,1.85499153,114304876,98.13807643
2021-01-16,2021-01-16,2458858,2.11064659,114032068,97.88340566
2021-01-17,2021-01-17,2731027,2.34514645,113717788,97.65002935
2021-01-18,2021-01-18,1904433,1.63529048,114549528,98.36090473
2021-01-19,2021-01-19,2699520,2.31699965,113803741,97.67781965
2021-01-20,2021-01-20,3137895,2.69072161,113473622,97.30278632
2021-01-21,2021-01-21,5420066,4.64239239,111322257,95.34968737
2021-01-22,2021-01-22,4528376,3.87405504,112357074,96.12220554
2021-01-23,2021-01-23,5064502,4.33527023,111753082,95.66188525
2021-01-24,2021-01-24,4610733,3.95104848,112075440,96.04015176
2021-01-25,2021-01-25,4683312,4.01210435,112035169,95.97839934
2021-01-26,2021-01-26,4248861,3.64148136,112424624,96.35339264
2021-01-27,2021-01-27,6030635,5.16267719,110778003,94.83430343
2021-01-28,2021-01-28,3382665,2.89401472,113499087,97.10332796
2021-01-29,2021-01-29,3236850,2.76443558,113845724,97.23007544
2021-01-30,2021-01-30,3223304,2.75001001,113981442,97.24497168
2021-01-31,2021-01-31,4378035,3.73604629,112800502,96.25959986
2021-02-01,2021-02-01,4272094,3.63992519,113086420,96.35230606
2021-02-02,2021-02-02,2272961,1.9335365,115275777,98.06148114
2021-02-03,2021-02-03,972151,0.82600794,116714461,99.16882352
2021-02-04,2021-02-04,1944554,1.64987503,115910560,98.34539905
2021-02-05,2021-02-05,1155227,0.97977428,116745531,99.01453905
2021-02-06,2021-02-06,934131,0.79215701,116982318,99.20274897
2021-02-07,2021-02-07,1117378,0.94843436,116690825,99.04758135
2021-02-08,2021-02-08,0,0.0,117817514,99.98978609
2021-02-09,2021-02-09,405218,0.34305037,117711048,99.65208517
2021-02-10,2021-02-10,1004453,0.84871652,117342154,99.14871482
