start_time,date,sca,scda
2021-01-01,2021-01-01,20784633289.18383,46086970963896.016
2021-01-02,2021-01-02,20746648105.39067,45895781378559.875
2021-01-03,2021-01-03,20728799120.23874,45808778445062.76
2021-01-04,2021-01-04,20691999919.61271,45755194729034.695
2021-01-05,2021-01-05,20688577851.013702,45735243666484.95
2021-01-06,2021-01-06,20681851515.0622,45713851278736.13
2021-01-07,2021-01-07,20661570148.622643,45569166665497.92
2021-01-08,2021-01-08,20647562869.57853,45467328478129.7
2021-01-09,2021-01-09,20637854905.647247,45433531552647.805
2021-01-10,2021-01-10,20634581451.04608,45485988464610.35
2021-01-11,2021-01-11,20627797460.239834,45464278783267.97
2021-01-12,2021-01-12,20630847578.695538,45519398902583.49
2021-01-13,2021-01-13,20634017203.11539,45607964161344.555
2021-01-14,2021-01-14,20637225429.824333,45675785994089.0
2021-01-15,2021-01-15,20636894192.35076,45717848548701.75
2021-01-16,2021-01-16,20645091534.16274,45845183355171.125
2021-01-17,2021-01-17,20654236758.216877,45974755518753.96
2021-01-18,2021-01-18,20659197235.348663,46074624571451.016
2021-01-19,2021-01-19,20664182414.253696,46130574840754.09
2021-01-20,2021-01-20,20672208670.217957,46246973624622.23
2021-01-21,2021-01-21,20680556798.77715,46349328670890.336
2021-01-22,2021-01-22,20686975013.383545,46458531371827.445
2021-01-23,2021-01-23,20700192410.566116,46615987055311.48
2021-01-24,2021-01-24,20713326861.29889,46779625068825.07
2021-01-25,2021-01-25,20721643638.730804,46925990741303.06
2021-01-26,2021-01-26,20732522365.07643,47072544406464.875
2021-01-27,2021-01-27,20712354149.989044,46987036010532.41
2021-01-28,2021-01-28,20717171583.869476,47060363425258.75
2021-01-29,2021-01-29,20717912989.721264,47082833762376.92
2021-01-30,2021-01-30,20726244432.351337,47209693338547.63
2021-01-31,2021-01-31,20725664307.749737,47301740196768.52
2021-02-01,2021-02-01,20735960195.69392,47427176620889.03
2021-02-02,2021-02-02,20747031144.54478,47553452749139.55
2021-02-03,2021-02-03,20754955566.70949,47660602190420.87
2021-02-04,2021-02-04,20757816411.54246,47701068812402.27
2021-02-05,2021-02-05,20756431875.148563,47727737341207.17
2021-02-06,2021-02-06,20765223700.00978,47856590252382.03
2021-02-07,2021-02-07,20757516999.25919,47992777966760.18
2021-02-08,2021-02-08,20757499756.009617,48053638584961.71
2021-02-09,2021-02-09,20750224140.08974,47942776190261.37
2021-02-10,2021-02-10,20751671342.48285,47974789761790.266
2021-02-11,2021-02-11,20757177177.706795,48073002377001.47
2021-02-12,2021-02-12,20760532851.277794,48156000218482.0
2021-02-13,2021-02-13,20771561532.42265,48320046046138.06
2021-02-14,2021-02-14,20779206230.68912,48478113779345.18
2021-02-15,2021-02-15,20784302182.98325,48529393974276.14
2021-02-16,2021-02-16,20787401088.706127,48636972897998.2
2021-02-17,2021-02-17,20789627019.477127,48694520161578.24
2021-02-18,2021-02-18,20787489158.83642,48742284597337.68
2021-02-19,2021-02-19,20782899402.33442,48738278105026.41
2021-02-20,2021-02-20,20780622902.673157,48772472917337.33
2021-02-21,2021-02-21,20784491827.328693,48891405519094.914
2021-02-22,2021-02-22,20788070142.310753,48989546681502.56
2021-02-23,2021-02-23,20773434560.88469,48903971860764.56
2021-02-24,2021-02-24,20760576440.06617,48961745557619.94
2021-02-25,2021-02-25,20760948969.909763,49060141174856.18
