start_time,datetime,stock_to_flow,stock_to_flow_reversion
2021-01-01 00:00:00,2021-01-01 00:00:00,424843.06120409,0.0683341
2021-01-01 01:00:00,2021-01-01 01:00:00,371738.67855358,0.07919042
2021-01-01 02:00:00,2021-01-01 02:00:00,424845.20406123,0.06880769
2021-01-01 03:00:00,2021-01-01 03:00:00,594784.28568573,0.04932728
2021-01-01 04:00:00,2021-01-01 04:00:00,594785.28568573,0.04920694
2021-01-01 05:00:00,2021-01-01 05:00:00,743482.60710716,0.03931292
2021-01-01 06:00:00,2021-01-01 06:00:00,330437.71426985,0.08842033
2021-01-01 07:00:00,2021-01-01 07:00:00,594788.88568573,0.048979
2021-01-01 08:00:00,2021-01-01 08:00:00,424850.20406123,0.06833723
2021-01-01 09:00:00,2021-01-01 09:00:00,594791.28568573,0.04916886
2021-01-01 10:00:00,2021-01-01 10:00:00,297396.64284286,0.09841379
2021-01-01 11:00:00,2021-01-01 11:00:00,594794.28568573,0.04937757
2021-01-01 12:00:00,2021-01-01 12:00:00,424854.06120409,0.06889243
2021-01-01 13:00:00,2021-01-01 13:00:00,495664.07140477,0.05954255
2021-01-01 14:00:00,2021-01-01 14:00:00,743497.10710716,0.03951292
2021-01-01 15:00:00,2021-01-01 15:00:00,371749.55355358,0.07866011
2021-01-01 16:00:00,2021-01-01 16:00:00,424857.63263266,0.06909799
2021-01-01 17:00:00,2021-01-01 17:00:00,424858.63263266,0.06856837
2021-01-01 18:00:00,2021-01-01 18:00:00,371752.30355358,0.07831393
2021-01-01 19:00:00,2021-01-01 19:00:00,1487010.21421432,0.01956752
2021-01-01 20:00:00,2021-01-01 20:00:00,424861.06120409,0.06889448
2021-01-01 21:00:00,2021-01-01 21:00:00,495672.23807144,0.05899096
2021-01-01 22:00:00,2021-01-01 22:00:00,594807.68568573,0.04932554
2021-01-01 23:00:00,2021-01-01 23:00:00,594808.68568573,0.0494231
2021-01-02 00:00:00,2021-01-02 00:00:00,594809.68568573,0.04914669
2021-01-02 01:00:00,2021-01-02 01:00:00,424865.06120409,0.06925883
2021-01-02 02:00:00,2021-01-02 02:00:00,2974056.42842864,0.0098873
2021-01-02 03:00:00,2021-01-02 03:00:00,424866.20406123,0.06921023
2021-01-02 04:00:00,2021-01-02 04:00:00,297407.34284286,0.09886972
2021-01-02 05:00:00,2021-01-02 05:00:00,743519.35710716,0.03989522
2021-01-02 06:00:00,2021-01-02 06:00:00,371760.67855358,0.08004333
2021-01-02 07:00:00,2021-01-02 07:00:00,495681.90473811,0.06013804
2021-01-02 08:00:00,2021-01-02 08:00:00,228777.26372528,0.13055893
2021-01-02 09:00:00,2021-01-02 09:00:00,594821.88568573,0.04982976
2021-01-02 10:00:00,2021-01-02 10:00:00,424873.77548981,0.06992674
2021-01-02 11:00:00,2021-01-02 11:00:00,743530.10710716,0.0400868
2021-01-02 12:00:00,2021-01-02 12:00:00,594825.08568573,0.05152252
2021-01-02 13:00:00,2021-01-02 13:00:00,594826.08568573,0.05307327
2021-01-02 14:00:00,2021-01-02 14:00:00,424876.77548981,0.07373924
2021-01-02 15:00:00,2021-01-02 15:00:00,743535.35710716,0.04271654
2021-01-02 16:00:00,2021-01-02 16:00:00,594829.28568573,0.05466205
2021-01-02 17:00:00,2021-01-02 17:00:00,495692.07140477,0.06638182
2021-01-02 18:00:00,2021-01-02 18:00:00,330462.38093652,0.09986585
2021-01-02 19:00:00,2021-01-02 19:00:00,594833.28568573,0.05556035
2021-01-02 20:00:00,2021-01-02 20:00:00,330463.93649207,0.09306913
2021-01-02 21:00:00,2021-01-02 21:00:00,424883.20406123,0.07461655
2021-01-02 22:00:00,2021-01-02 22:00:00,594837.48568573,0.05408953
2021-01-02 23:00:00,2021-01-02 23:00:00,424884.91834695,0.07559679
2021-01-03 00:00:00,2021-01-03 00:00:00,743549.60710716,0.04366278
2021-01-03 01:00:00,2021-01-03 01:00:00,371775.80355358,0.08768057
2021-01-03 02:00:00,2021-01-03 02:00:00,743552.60710716,0.0440744
2021-01-03 03:00:00,2021-01-03 03:00:00,495702.73807144,0.0657795
2021-01-03 04:00:00,2021-01-03 04:00:00,371778.05355358,0.08936875
2021-01-03 05:00:00,2021-01-03 05:00:00,330470.38093652,0.10215509
2021-01-03 06:00:00,2021-01-03 06:00:00,991412.14280955,0.03427204
2021-01-03 07:00:00,2021-01-03 07:00:00,330471.71426985,0.10436738
2021-01-03 08:00:00,2021-01-03 08:00:00,594850.08568573,0.05780392
2021-01-03 09:00:00,2021-01-03 09:00:00,424893.91834695,0.08050299
