start_time,date,range_001_01,range_001_01_percent,range_01_1,range_01_1_percent,range_0_001,range_0_001_percent,range_100_1k,range_100_1k_percent,range_10_100,range_10_100_percent,range_10k_inf,range_10k_inf_percent,range_1_10,range_1_10_percent,range_1k_10k,range_1k_10k_percent
2021-01-01,2021-01-01,8160006,7.06374089,2913189,2.52181337,103471445,89.5704583,20766,0.01797617,147035,0.12728142,50,4.328e-05,805172,0.69700027,1948,0.00168629
2021-01-02,2021-01-02,8155556,7.0658243,2912476,2.52331585,103379004,89.56567507,20566,0.01781801,146697,0.12709559,50,4.332e-05,806273,0.69854016,1948,0.00168771
2021-01-03,2021-01-03,8145991,7.05479356,2910334,2.52047977,103435075,89.57941407,20609,0.01784832,146191,0.12660796,50,4.33e-05,807256,0.6991199,1955,0.00169312
2021-01-04,2021-01-04,8139538,7.04920601,2909755,2.5199787,103441750,89.5852081,20701,0.017928,145963,0.12641052,50,4.33e-05,807729,0.69952964,1958,0.00169572
2021-01-05,2021-01-05,8160191,7.06041366,2914912,2.52205917,103525899,89.57335334,20673,0.01788683,145550,0.12593372,50,4.326e-05,807405,0.69858822,1990,0.0017218
2021-01-06,2021-01-06,8147056,7.04484291,2911177,2.51732462,103611843,89.59422373,20667,0.01787097,145737,0.12602028,50,4.324e-05,807140,0.69794224,2003,0.00173201
2021-01-07,2021-01-07,8164439,7.04849742,2913020,2.51485913,103779815,89.59485863,20683,0.01785598,145210,0.12536223,50,4.317e-05,807087,0.69677177,2029,0.00175167
2021-01-08,2021-01-08,8189072,7.05670846,2918400,2.51485125,103963440,89.58764634,20704,0.0178411,145323,0.12522811,50,4.309e-05,807584,0.69591339,2052,0.00176825
2021-01-09,2021-01-09,8198081,7.05666349,2920848,2.5141788,104080110,89.58905292,20706,0.01782311,145158,0.12494767,49,4.218e-05,808014,0.69551434,2065,0.00177749
2021-01-10,2021-01-10,8186181,7.04905228,2921457,2.51564229,104046368,89.59346088,20747,0.01786507,145393,0.1251967,49,4.219e-05,809389,0.69695813,2070,0.00178246
2021-01-11,2021-01-11,8187877,7.04676272,2918950,2.51214668,104110746,89.60121454,20792,0.0178943,144963,0.12476004,49,4.217e-05,807998,0.69539029,2079,0.00178926
2021-01-12,2021-01-12,8192386,7.04592556,2911214,2.50381234,104193306,89.6122665,20824,0.01790984,145054,0.12475483,50,4.3e-05,806351,0.69350847,2069,0.00177946
2021-01-13,2021-01-13,8204036,7.0544536,2912581,2.50445848,104204225,89.60271141,20820,0.01790262,145044,0.12471985,50,4.299e-05,807015,0.69393282,2068,0.00177822
2021-01-14,2021-01-14,8206026,7.04959918,2915746,2.50484712,104310444,89.61058863,20872,0.01793063,143602,0.12336502,51,4.381e-05,805325,0.6918353,2084,0.00179031
2021-01-15,2021-01-15,8214562,7.052729,2919051,2.50619274,104367873,89.60652122,20990,0.01802126,143644,0.1233276,52,4.465e-05,805267,0.69137343,2085,0.00179011
2021-01-16,2021-01-16,8215116,7.05173155,2921577,2.50783759,104388308,89.60534767,20967,0.01799776,143520,0.1231954,52,4.464e-05,806232,0.69205738,2083,0.00178802
2021-01-17,2021-01-17,8207286,7.04763725,2921017,2.50829181,104352604,89.60809933,20983,0.01801821,143445,0.12317693,52,4.465e-05,806962,0.69294228,2084,0.00178954
