start_time,datetime,range_0d_1d_percent,range_0d_1d_usd,range_10y_inf_percent,range_10y_inf_usd,range_12m_18m_percent,range_12m_18m_usd,range_18m_2y_percent,range_18m_2y_usd,range_1d_1w_percent,range_1d_1w_usd,range_1m_3m_percent,range_1m_3m_usd,range_1w_1m_percent,range_1w_1m_usd,range_2y_3y_percent,range_2y_3y_usd,range_3m_6m_percent,range_3m_6m_usd,range_3y_5y_percent,range_3y_5y_usd,range_5y_7y_percent,range_5y_7y_usd,range_6m_12m_percent,range_6m_12m_usd,range_7y_10y_percent,range_7y_10y_usd
2021-01-01 00:00:00,2021-01-01 00:00:00,5.79233565,9903309386.609917,2.059e-05,35205.26614538,6.20920192,10616036673.875303,3.97404607,6794531615.167774,14.41228791,24641069637.070015,17.46975561,29868502991.545204,20.51364174,35072715579.64435,9.81750595,16785249458.563211,7.61652689,13022177365.676653,6.28964732,10753576285.048002,0.22258825,380565023.7317944,7.577363,12955217832.569183,0.10507909,179656499.51128188
2021-01-01 01:00:00,2021-01-01 01:00:00,6.41618644,10993971425.721497,2.055e-05,35205.32892488,6.19218759,10610155120.855265,3.96815709,6799335721.494056,14.06004717,24091531361.157993,17.4260372,29859069227.95266,20.48254716,35096320910.3095,9.79163606,16777718063.765997,7.49793175,12847514358.521252,6.27857488,10758177545.914274,0.22209964,380562047.9105942,7.55971795,12953383428.882824,0.10485654,179669002.74087265
2021-01-01 02:00:00,2021-01-01 02:00:00,6.41934589,11001764139.125896,2.054e-05,35205.34387238,6.19050021,10609558098.09278,3.96738319,6799480023.444052,14.05639201,24090477783.73293,17.42496158,29863684039.487404,20.49359242,35122841792.623245,9.78635383,16772294005.671284,7.49614794,12847235986.40372,6.28023181,10763344156.772,0.2220523,380563225.36954,7.55818873,12953564294.823032,0.10482956,179661629.69511223
2021-01-01 03:00:00,2021-01-01 03:00:00,6.45800203,11070011808.00898,2.054e-05,35205.35881988,6.18916269,10609179698.978905,3.96644198,6799093489.736745,14.0095447,24014520983.83598,17.42532017,29869687129.0586,20.50928288,35156075009.10158,9.78236431,16768481639.174149,7.49590059,12849130068.598862,6.28138161,10767257167.444187,0.22200762,380555311.271636,7.55575748,12951734007.118296,0.10481341,179666352.75146145
2021-01-01 04:00:00,2021-01-01 04:00:00,6.35179589,10889085657.7699,2.054e-05,35205.95373038,6.18828368,10608771478.121628,3.96619193,6799368938.455744,14.10693063,24183959704.664593,17.43380762,29887330720.402576,20.51214478,35164621987.29114,9.77542846,16758327819.002213,7.49705811,12852445095.795576,6.28669831,10777486804.425682,0.22196832,380527348.16085565,7.55484388,12951509078.668056,0.10482783,179709687.5060495
2021-01-01 05:00:00,2021-01-01 05:00:00,6.32493184,10843680170.513472,2.054e-05,35205.96867788,6.18773409,10608463641.569094,3.96599866,6799444174.387366,14.14271031,24246747814.962128,17.45610883,29927351932.89249,20.4835217,35117652417.920525,9.77436456,16757505978.342413,7.49632782,12851961617.645449,6.28683062,10778358133.304884,0.22195046,380519480.6240965,7.55467663,12951996821.053053,0.10482395,179713777.72410196
2021-01-01 06:00:00,2021-01-01 06:00:00,6.30388322,10808818089.695662,2.054e-05,35220.91617788,6.18844337,10610881631.003212,3.96588596,6800021264.120093,14.17442846,24303879607.843628,17.55612208,30102228010.77413,20.3787191,34941933434.93097,9.75890487,16732896835.379765,7.49160327,12845316802.19922,6.30007404,10802286766.280895,0.2219004,380476752.4910087,7.55517746,12954322923.853771,0.10483723,179756905.4342843
2021-01-01 07:00:00,2021-01-01 07:00:00,6.2679269,10748092241.40569,2.055e-05,35235.86367788,6.18788267,10610834306.531515,3.96578175,6800428400.652878,14.21125136,24369116444.008778,17.56269295,30116088917.966827,20.37155897,34932665683.458115,9.75753935,16731996825.849373,7.49309199,12848976248.137691,6.2997516,10802664492.322268,0.22188336,380480324.7895291,7.55578802,12956485926.69705,0.10483053,179760903.92318398
2021-01-01 08:00:00,2021-01-01 08:00:00,6.22239992,10670782536.091389,2.056e-05,35265.77362538,6.16729972,10576291301.637575,3.98563746,6834962583.694099,14.24957667,24436573639.578083,17.57384043,30137347648.125854,20.37041347,34933185765.694855,9.75465527,16728240949.479897,7.49304319,12849806410.673662,6.30138193,10806228642.864525,0.22186616,380477888.25574666,7.55503958,12956123918.119583,0.10482562,179765276.33816317
2021-01-01 09:00:00,2021-01-01 09:00:00,6.1397925,10531350849.963154,2.057e-05,35280.72112538,6.16480067,10574246398.806007,3.98540018,6836004240.783488,14.33574302,24589550766.242214,17.57738378,30149812959.062206,20.37355066,34945970877.19926,9.74972104,16723322957.081676,7.49059834,12848336341.364346,6.30189855,10809405144.030916,0.22181619,380472820.7388414,7.55446542,12957885103.821651,0.10480906,179774965.80375105
2021-01-01 10:00:00,2021-01-01 10:00:00,6.14879715,10555529332.092932,2.055e-05,35281.09182338,6.15970253,10574250392.414215,3.98222377,6836211830.419533,14.48140645,24859969649.82083,17.56952989,30161295537.90441,20.26329038,34785625672.05481,9.74103,16722250778.044998,7.48295129,12845847712.083649,6.29698681,10809923856.64647,0.22162624,380461775.8105619,7.54770416,12957007807.4442,0.10473078,179789436.11899737
2021-01-01 11:00:00,2021-01-01 11:00:00,6.18096069,10613331079.285034,2.055e-05,35281.10677088,6.15757543,10573176232.556374,3.98136327,6836401110.367704,14.47357043,24852575934.409386,17.56483161,30160582247.855103,20.25525415,34780308313.3555,9.73190645,16710662049.334024,7.48053886,12844837490.270332,6.30201679,10821196586.569244,0.22156468,380448840.01284266,7.5456821,12956694990.276133,0.10471499,179806170.1000324
2021-01-01 12:00:00,2021-01-01 12:00:00,6.21645747,10676748449.046068,2.055e-05,35296.08416588,6.15529643,10571704543.94693,3.98100197,6837359830.905264,14.45584157,24827867783.664543,17.56925372,30175144511.44292,20.24275948,34766883239.99574,9.72838439,16708473197.999683,7.47901444,12845186546.676346,6.30176479,10823263544.657543,0.22148761,380404361.95699173,7.54399649,12956793034.079102,0.10472111,179858214.38450155
2021-01-01 13:00:00,2021-01-01 13:00:00,6.27698472,10786295533.427132,2.054e-05,35296.41002138,6.15117733,10570109615.209805,3.97963723,6838561053.706035,14.42110284,24781050781.702396,17.59019132,30226774547.15228,20.23000636,34763001155.61312,9.70443443,16675984151.853231,7.47752152,12849283621.121037,6.31623413,10853741248.231602,0.22129367,380268392.2537677,7.52665232,12933709389.280891,0.10474358,179990116.56962213
2021-01-01 14:00:00,2021-01-01 14:00:00,6.16413011,10596887125.473225,2.053e-05,35296.92720488,6.14786732,10568929411.706274,3.97845669,6839449484.477438,14.56847668,25044977983.684853,17.58509505,30230910757.33514,20.23450633,34785570018.97567,9.67853414,16638573806.750237,7.46541812,12833958996.357582,6.32895709,10880244680.51664,0.22119459,380260323.1561729,7.52263914,12932328874.15684,0.10470421,179999239.97642878
2021-01-01 15:00:00,2021-01-01 15:00:00,6.06103746,10420866431.747433,2.054e-05,35311.88606128,6.1455605,10566188626.453932,3.9787327,6840716999.962701,14.66501883,25213868647.36675,17.66401812,30370109843.084564,20.16525539,34670538554.299736,9.6695327,16625026554.307152,7.46798812,12839865645.737358,6.33530146,10892414175.214165,0.22115904,380243294.6079038,7.52166667,12932156294.244614,0.10470846,180027414.4868964
2021-01-01 16:00:00,2021-01-01 16:00:00,6.07296819,10460540095.775492,2.051e-05,35326.84850878,6.13383335,10565378850.056885,3.95164851,6806618507.528763,14.83523292,25553328107.65037,17.6440491,30391445711.920357,20.11890744,34654329053.56345,9.6197889,16569852560.848495,7.45416076,12839610718.587622,6.33778575,10916681901.581709,0.22071241,380171759.44495785,7.50632936,12929469866.92744,0.10456282,180106907.30107474
2021-01-01 17:00:00,2021-01-01 17:00:00,5.90380257,10173063024.030832,2.051e-05,35341.82590378,6.13072604,10564083353.130064,3.95010886,6806580321.212556,14.99692579,25841763753.748535,17.63918071,30394732033.845062,20.15704261,34733354055.62451,9.60621832,16552834085.311989,7.44920499,12836003745.38675,6.34430224,10932104480.954058,0.22068976,380278773.87359434,7.49724295,12918779751.268332,0.10453465,180127570.83127886
2021-01-01 18:00:00,2021-01-01 18:00:00,5.92550358,10212716528.766651,2.051e-05,35341.85579878,6.14038778,10583073476.368889,3.94922918,6806570529.508859,14.99141288,25837981183.01119,17.63654538,30396916637.770058,20.15697875,34740930816.66843,9.60202916,16549277286.193274,7.44595838,12833248880.923649,6.34368734,10933464074.36743,0.22058712,380186034.6292424,7.48309906,12897261532.2029,0.10456088,180212629.13214803
2021-01-01 19:00:00,2021-01-01 19:00:00,5.84144119,10068606850.033438,2.05e-05,35341.87074628,6.13972841,10582749963.71483,3.94865186,6806098337.063516,15.07607959,25985901990.860035,17.65199868,30425887890.495037,20.14564544,34724065009.42101,9.59950026,16546189704.180511,7.44440275,12831553384.921732,6.34502942,10936617282.75233,0.22056382,380175082.176872,7.48237848,12897010296.368984,0.10455959,180224264.99078915
2021-01-01 20:00:00,2021-01-01 20:00:00,5.79202429,9985049521.398487,2.05e-05,35342.53740478,6.13779666,10581137185.829256,3.94776705,6805677513.019681,15.13592485,26093288217.15128,17.67013075,30462084026.07228,20.1252974,34694621613.38893,9.59279265,16537311451.66263,7.44350546,12832088907.905048,6.34887763,10945026187.33352,0.22046806,380071695.58943206,7.48079169,12896367784.355228,0.10460301,180328361.2358681
2021-01-01 21:00:00,2021-01-01 21:00:00,5.65551842,9751759816.776709,2.05e-05,35342.58224728,6.13503639,10578588351.157364,3.94628483,6804543614.869401,15.2947706,26372636097.807552,17.67795045,30481931785.138393,20.10777437,34671655435.488266,9.58735041,16531382530.027737,7.44143319,12831196666.584782,6.3502796,10949730296.653574,0.22036006,379964878.9481294,7.47855188,12895200096.071388,0.1046693,180480331.46385947
2021-01-01 22:00:00,2021-01-01 22:00:00,5.68527231,9808528284.129135,2.049e-05,35358.78533728,6.13209555,10579411025.30457,3.94476812,6805719678.921246,15.35566471,26492393552.683067,17.62180095,30402049974.60616,20.09571778,34670180311.00264,9.57803946,16524533174.869184,7.43811018,12832615575.6981,6.35059482,10956377364.666967,0.22012622,379773230.9395225,7.47306164,12892915662.554152,0.10472778,180681836.1408995
