start_time,datetime,range_0_1_percent,range_0_1_usd,range_100_1k_percent,range_100_1k_usd,range_100k_1M_percent,range_100k_1M_usd,range_10_100_percent,range_10_100_usd,range_10k_100k_percent,range_10k_100k_usd,range_1M_inf_percent,range_1M_inf_usd,range_1_10_percent,range_1_10_usd,range_1k_10k_percent,range_1k_10k_usd
2021-01-01 00:00:00,2021-01-01 00:00:00,0.00308689,5277734.52918424,1.21614237,2079270764.920119,18.04819094,30857469164.744587,0.2975002,508643951.7344758,10.64723215,18203854278.32754,65.23446778,111533094072.26668,0.02785034,47616462.5594113,4.52552933,7737417125.194033
2021-01-01 01:00:00,2021-01-01 01:00:00,0.00307953,5276700.45144812,1.21135339,2075623056.8555632,17.97261677,30795619346.358814,0.29676485,508498984.9492204,10.63082995,18215655331.75504,65.34261773,111962904952.45212,0.02778385,47606918.56846416,4.51495393,7736258129.162455
2021-01-01 02:00:00,2021-01-01 02:00:00,0.00307821,5275573.02069002,1.21121201,2075829693.6023817,18.01996343,30883425017.7789,0.29658107,508293999.935499,10.63128198,18220369923.00129,65.29715108,111909198749.61617,0.02775838,47573565.68951526,4.51297385,7734537857.937587
2021-01-01 03:00:00,2021-01-01 03:00:00,0.00307742,5275175.6307992,1.2114825,2076667918.9066217,18.01242549,30876076231.647503,0.2964515,508163603.6884344,10.63479287,18229675700.84411,65.30124602,111936410275.83656,0.02774452,47558394.96872679,4.51277966,7735600568.9126835
2021-01-01 04:00:00,2021-01-01 04:00:00,0.0030772,5275341.50808712,1.21086811,2075829700.9577403,18.11299644,31051685701.905895,0.29644248,508200774.9272398,10.63620269,18233980449.095978,65.20034787,111775029419.7282,0.02773502,47547026.31722949,4.51233019,7735631111.77483
2021-01-01 05:00:00,2021-01-01 05:00:00,0.00307698,5275280.41061744,1.20949726,2073603604.273247,18.1303257,31083252456.328175,0.29613804,507709222.855771,10.6371324,18236664760.935955,65.18399222,111753672839.826,0.02773153,47543886.65993977,4.51210587,7735709115.615472
2021-01-01 06:00:00,2021-01-01 06:00:00,0.00307629,5274695.0275422,1.20852124,2072165018.2117028,18.1332396,31091770185.91315,0.29569563,507008164.60782605,10.63860431,18241254599.523537,65.18168919,111762384723.26991,0.02770443,47502803.03934146,4.51146931,7735494055.327265
2021-01-01 07:00:00,2021-01-01 07:00:00,0.00307601,5274663.70967175,1.2082431,2071866575.2654855,18.106585,31048742100.03722,0.29551897,506748905.61947256,10.6406386,18246314465.687405,65.20711743,111815616921.9048,0.02770138,47501663.50045067,4.51111952,7735560655.879653
2021-01-01 08:00:00,2021-01-01 08:00:00,0.00307578,5274641.64788461,1.20772324,2071122440.8827808,18.1080275,31053424088.24818,0.29495311,505814559.75236446,10.64311016,18251850645.73017,65.20407669,111818354932.21255,0.02769065,47486638.88610133,4.51134289,7736493878.964495
2021-01-01 09:00:00,2021-01-01 09:00:00,0.00307499,5274407.22525909,1.20725118,2070751691.213135,18.09958814,31045530082.203163,0.29486879,505777134.7032997,10.6462594,18261120865.82909,65.21057262,111853196806.70268,0.02768357,47484562.10570344,4.51070132,7737033155.633791
