start_time,datetime,range_001_01,range_001_01_percent,range_01_1,range_01_1_percent,range_0_001,range_0_001_percent,range_100_1k,range_100_1k_percent,range_10_100,range_10_100_percent,range_10k_inf,range_10k_inf_percent,range_1_10,range_1_10_percent,range_1k_10k,range_1k_10k_percent
2021-01-01 00:00:00,2021-01-01 00:00:00,254185.38269631,1.36754602,893677.3166471,4.80808473,59643.12430089,0.32088673,5035971.66146206,27.09409537,4719381.06591169,25.39080227,1389458.44228987,7.47544309,2065292.84765727,11.11150839,4169361.20400577,22.43163339
2021-01-01 01:00:00,2021-01-01 01:00:00,254032.32508715,1.36671888,893611.5858435,4.80771816,59598.12365859,0.32064376,5038180.13088889,27.10590427,4716793.7224958,25.37681381,1389454.37301969,7.47540109,2065811.30936334,11.11426788,4169539.474614,22.43253217
2021-01-01 02:00:00,2021-01-01 02:00:00,253991.83714428,1.36649783,893534.77105352,4.80729357,59586.03222725,0.32057796,5036667.46909723,27.09770222,4719845.46466461,25.39317271,1389441.0185605,7.47531164,2065477.17158667,11.11244403,4168521.0306369,22.42700005
2021-01-01 03:00:00,2021-01-01 03:00:00,254004.69702555,1.36656472,893621.65905778,4.80775295,59594.61225964,0.32062358,5029700.62236293,27.06017449,4718959.02650941,25.38836091,1389444.60815875,7.47531839,2065332.80359005,11.11164863,4176438.01600685,22.46955633
2021-01-01 04:00:00,2021-01-01 04:00:00,253966.04548759,1.36635447,893622.04793258,4.80774696,59582.39683298,0.32055732,5031770.49566445,27.07126505,4724989.87231453,25.42076458,1389446.01915875,7.47531341,2065229.38694318,11.11107356,4168521.0306369,22.42692464
2021-01-01 05:00:00,2021-01-01 05:00:00,253901.00044764,1.36600269,893667.8208131,4.80798676,59506.94673339,0.32015096,5030869.94656422,27.06638363,4725578.95034376,25.42389967,1389447.89997784,7.47531347,2065658.69945411,11.11336835,4168521.0306369,22.42689447
2021-01-01 06:00:00,2021-01-01 06:00:00,253836.72998228,1.36565278,893673.04975604,4.80800034,59455.21031315,0.31987165,5030809.91034682,27.06597872,4725749.07388413,25.424738,1389452.38162674,7.47531496,2065711.1584249,11.11361694,4168521.0306369,22.4268266
2021-01-01 07:00:00,2021-01-01 07:00:00,253797.35061602,1.36543862,893704.67213887,4.80816238,59444.68776007,0.3198145,5032219.81039522,27.07351853,4724520.06918861,25.41808317,1389453.32212674,7.47530746,2065578.85210853,11.11288645,4168521.0306369,22.4267889
2021-01-01 08:00:00,2021-01-01 08:00:00,253773.52354935,1.36530722,893770.66403576,4.80850611,59398.72597622,0.31956647,5032352.81851404,27.07417039,4723938.63811562,25.41489522,1389458.75057652,7.47531907,2066069.39356655,11.11549941,4168521.0306369,22.42673611
2021-01-01 09:00:00,2021-01-01 09:00:00,253729.42703364,1.36506768,893799.96812059,4.80865568,59399.28530829,0.31956894,5032143.67664204,27.07299969,4724224.86388892,25.41639239,1389483.38260817,7.47543902,2066369.76362885,11.11709672,4168164.42774046,22.42477988
2021-01-01 10:00:00,2021-01-01 10:00:00,253660.20546754,1.36469068,893806.28081333,4.80867347,59328.83983682,0.31918887,5032164.14474436,27.07301877,4725241.13876359,25.42177449,1384974.39537768,7.45115555,2066204.59624864,11.11617074,4171997.693719,22.44532743
2021-01-01 11:00:00,2021-01-01 11:00:00,253650.20458119,1.36463458,893863.02708719,4.80897068,59322.17941511,0.3191525,5031443.83786126,27.06909802,4724483.41227,25.41765519,1384978.39437768,7.45116454,2066759.10868457,11.11913532,4172908.38069396,22.45018917
2021-01-01 12:00:00,2021-01-01 12:00:00,253539.25989459,1.36403449,893821.0772572,4.80873367,59299.36895573,0.31902903,5032351.74849745,27.07391884,4723929.29189835,25.41461421,1384982.66146374,7.45116996,2066642.94470658,11.11848419,4172885.94229732,22.45001561
2021-01-01 13:00:00,2021-01-01 13:00:00,253540.25256551,1.36403708,893958.45568871,4.80946306,59292.60814315,0.31899201,5033815.56311748,27.08173949,4724553.11786346,25.41791909,1384983.66046374,7.4511603,2066768.29219559,11.11913612,4170577.84493332,22.43755284
2021-01-01 14:00:00,2021-01-01 14:00:00,253487.23444347,1.36375001,893917.52990052,4.80923641,59282.43442717,0.31893685,5034978.48677707,27.08795954,4724797.34726968,25.41919885,1384977.9314403,7.45111946,2066618.44879712,11.11831502,4169455.38191563,22.43148386
2021-01-01 15:00:00,2021-01-01 15:00:00,253411.34255832,1.36333805,894063.9091418,4.81001099,59256.51284931,0.31879654,5035451.36007304,27.0904307,4725455.21018763,25.42266974,1384988.61904131,7.45115691,2066721.65526459,11.11884035,4168216.18585496,22.42475672
2021-01-01 16:00:00,2021-01-01 16:00:00,253407.08424102,1.36331193,894162.25694044,4.81052877,59263.21214444,0.31883183,5044110.31165339,27.13695148,4716851.95066111,25.37632498,1384988.61904131,7.45113937,2066641.74628609,11.11838428,4168183.36400316,22.42452736
2021-01-01 17:00:00,2021-01-01 17:00:00,253383.40665336,1.36318133,894263.72108861,4.81106332,59266.16234052,0.31884695,5043088.36334861,27.13138961,4716972.11063023,25.3769117,1384986.95557171,7.45111289,2066546.45657973,11.11784546,4169145.11875819,22.42964874
