start_time,datetime,phase0_success_rate
2021-01-01 00:00:00,2021-01-01 00:00:00,414.08
2021-01-01 01:00:00,2021-01-01 01:00:00,414.17
2021-01-01 02:00:00,2021-01-01 02:00:00,414.22
2021-01-01 03:00:00,2021-01-01 03:00:00,414.27
2021-01-01 04:00:00,2021-01-01 04:00:00,414.32
2021-01-01 05:00:00,2021-01-01 05:00:00,414.33
2021-01-01 06:00:00,2021-01-01 06:00:00,414.51
2021-01-01 07:00:00,2021-01-01 07:00:00,414.64
2021-01-01 08:00:00,2021-01-01 08:00:00,414.64
2021-01-01 09:00:00,2021-01-01 09:00:00,414.74
2021-01-01 10:00:00,2021-01-01 10:00:00,414.75
2021-01-01 11:00:00,2021-01-01 11:00:00,414.93
2021-01-01 12:00:00,2021-01-01 12:00:00,415.08
2021-01-01 13:00:00,2021-01-01 13:00:00,415.12
2021-01-01 14:00:00,2021-01-01 14:00:00,415.19
2021-01-01 15:00:00,2021-01-01 15:00:00,415.25
2021-01-01 16:00:00,2021-01-01 16:00:00,415.46
2021-01-01 17:00:00,2021-01-01 17:00:00,415.6
2021-01-01 18:00:00,2021-01-01 18:00:00,415.92
2021-01-01 19:00:00,2021-01-01 19:00:00,416.41
2021-01-01 20:00:00,2021-01-01 20:00:00,416.44
2021-01-01 21:00:00,2021-01-01 21:00:00,416.49
2021-01-01 22:00:00,2021-01-01 22:00:00,416.53
2021-01-01 23:00:00,2021-01-01 23:00:00,416.55
2021-01-02 00:00:00,2021-01-02 00:00:00,417.32
2021-01-02 01:00:00,2021-01-02 01:00:00,417.35
2021-01-02 02:00:00,2021-01-02 02:00:00,417.38
2021-01-02 03:00:00,2021-01-02 03:00:00,417.46
2021-01-02 04:00:00,2021-01-02 04:00:00,417.48
2021-01-02 05:00:00,2021-01-02 05:00:00,417.51
2021-01-02 06:00:00,2021-01-02 06:00:00,417.55
2021-01-02 07:00:00,2021-01-02 07:00:00,417.58
2021-01-02 08:00:00,2021-01-02 08:00:00,417.63
2021-01-02 09:00:00,2021-01-02 09:00:00,417.72
2021-01-02 10:00:00,2021-01-02 10:00:00,417.83
2021-01-02 11:00:00,2021-01-02 11:00:00,417.87
2021-01-02 12:00:00,2021-01-02 12:00:00,417.87
2021-01-02 13:00:00,2021-01-02 13:00:00,417.99
2021-01-02 14:00:00,2021-01-02 14:00:00,418.04
2021-01-02 15:00:00,2021-01-02 15:00:00,418.1
2021-01-02 16:00:00,2021-01-02 16:00:00,418.49
2021-01-02 17:00:00,2021-01-02 17:00:00,418.55
2021-01-02 18:00:00,2021-01-02 18:00:00,418.59
2021-01-02 19:00:00,2021-01-02 19:00:00,418.67
2021-01-02 20:00:00,2021-01-02 20:00:00,418.81
2021-01-02 21:00:00,2021-01-02 21:00:00,418.86
2021-01-02 22:00:00,2021-01-02 22:00:00,418.95
2021-01-02 23:00:00,2021-01-02 23:00:00,418.99
2021-01-03 00:00:00,2021-01-03 00:00:00,419.03
2021-01-03 01:00:00,2021-01-03 01:00:00,419.06
2021-01-03 02:00:00,2021-01-03 02:00:00,419.08
2021-01-03 03:00:00,2021-01-03 03:00:00,419.09
2021-01-03 04:00:00,2021-01-03 04:00:00,419.13
2021-01-03 05:00:00,2021-01-03 05:00:00,419.17
2021-01-03 06:00:00,2021-01-03 06:00:00,419.2
2021-01-03 07:00:00,2021-01-03 07:00:00,419.24
2021-01-03 08:00:00,2021-01-03 08:00:00,419.31
2021-01-03 09:00:00,2021-01-03 09:00:00,419.4
2021-01-03 10:00:00,2021-01-03 10:00:00,419.47
2021-01-03 11:00:00,2021-01-03 11:00:00,419.52
2021-01-03 12:00:00,2021-01-03 12:00:00,419.72
2021-01-03 13:00:00,2021-01-03 13:00:00,419.8
2021-01-03 14:00:00,2021-01-03 14:00:00,419.87
2021-01-03 15:00:00,2021-01-03 15:00:00,419.93
2021-01-03 16:00:00,2021-01-03 16:00:00,420.07
2021-01-03 17:00:00,2021-01-03 17:00:00,420.17
2021-01-03 18:00:00,2021-01-03 18:00:00,420.23
2021-01-03 19:00:00,2021-01-03 19:00:00,420.34
2021-01-03 20:00:00,2021-01-03 20:00:00,420.47
2021-01-03 21:00:00,2021-01-03 21:00:00,420.5
2021-01-03 22:00:00,2021-01-03 22:00:00,420.56
2021-01-03 23:00:00,2021-01-03 23:00:00,420.58
2021-01-04 00:00:00,2021-01-04 00:00:00,420.82
2021-01-04 01:00:00,2021-01-04 01:00:00,420.87
2021-01-04 02:00:00,2021-01-04 02:00:00,420.93
2021-01-04 03:00:00,2021-01-04 03:00:00,420.97
2021-01-04 04:00:00,2021-01-04 04:00:00,421.04
2021-01-04 05:00:00,2021-01-04 05:00:00,421.06
2021-01-04 06:00:00,2021-01-04 06:00:00,421.11
2021-01-04 07:00:00,2021-01-04 07:00:00,421.34
2021-01-04 08:00:00,2021-01-04 08:00:00,421.42
2021-01-04 09:00:00,2021-01-04 09:00:00,421.47
2021-01-04 10:00:00,2021-01-04 10:00:00,421.5
2021-01-04 11:00:00,2021-01-04 11:00:00,421.68
2021-01-04 12:00:00,2021-01-04 12:00:00,421.7
2021-01-04 13:00:00,2021-01-04 13:00:00,421.81
2021-01-04 14:00:00,2021-01-04 14:00:00,421.85
2021-01-04 15:00:00,2021-01-04 15:00:00,423.77
2021-01-04 16:00:00,2021-01-04 16:00:00,425.34
2021-01-04 17:00:00,2021-01-04 17:00:00,425.57
2021-01-04 18:00:00,2021-01-04 18:00:00,426.83
2021-01-04 19:00:00,2021-01-04 19:00:00,426.94
2021-01-04 20:00:00,2021-01-04 20:00:00,426.98
2021-01-04 21:00:00,2021-01-04 21:00:00,427.16
2021-01-04 22:00:00,2021-01-04 22:00:00,427.37
2021-01-04 23:00:00,2021-01-04 23:00:00,427.56
2021-01-05 00:00:00,2021-01-05 00:00:00,427.59
2021-01-05 01:00:00,2021-01-05 01:00:00,427.66
2021-01-05 02:00:00,2021-01-05 02:00:00,427.68
2021-01-05 03:00:00,2021-01-05 03:00:00,427.73
2021-01-05 04:00:00,2021-01-05 04:00:00,427.76
2021-01-05 05:00:00,2021-01-05 05:00:00,427.95
2021-01-05 06:00:00,2021-01-05 06:00:00,427.97
2021-01-05 07:00:00,2021-01-05 07:00:00,428.07
2021-01-05 08:00:00,2021-01-05 08:00:00,428.1
2021-01-05 09:00:00,2021-01-05 09:00:00,428.13
2021-01-05 10:00:00,2021-01-05 10:00:00,428.31
2021-01-05 11:00:00,2021-01-05 11:00:00,428.76
2021-01-05 12:00:00,2021-01-05 12:00:00,429.03
2021-01-05 13:00:00,2021-01-05 13:00:00,429.08
2021-01-05 14:00:00,2021-01-05 14:00:00,429.13
2021-01-05 15:00:00,2021-01-05 15:00:00,429.25
2021-01-05 16:00:00,2021-01-05 16:00:00,429.32
2021-01-05 17:00:00,2021-01-05 17:00:00,429.59
2021-01-05 18:00:00,2021-01-05 18:00:00,430.38
2021-01-05 19:00:00,2021-01-05 19:00:00,430.43
2021-01-05 20:00:00,2021-01-05 20:00:00,430.56
2021-01-05 21:00:00,2021-01-05 21:00:00,430.66
2021-01-05 22:00:00,2021-01-05 22:00:00,431.09
2021-01-05 23:00:00,2021-01-05 23:00:00,431.42
2021-01-06 00:00:00,2021-01-06 00:00:00,431.51
2021-01-06 01:00:00,2021-01-06 01:00:00,433.4
2021-01-06 02:00:00,2021-01-06 02:00:00,433.45
2021-01-06 03:00:00,2021-01-06 03:00:00,433.55
2021-01-06 04:00:00,2021-01-06 04:00:00,433.56
2021-01-06 05:00:00,2021-01-06 05:00:00,433.73
2021-01-06 06:00:00,2021-01-06 06:00:00,433.98
2021-01-06 07:00:00,2021-01-06 07:00:00,434.34
2021-01-06 08:00:00,2021-01-06 08:00:00,434.45
2021-01-06 09:00:00,2021-01-06 09:00:00,434.52
2021-01-06 10:00:00,2021-01-06 10:00:00,434.85
2021-01-06 11:00:00,2021-01-06 11:00:00,434.94
2021-01-06 12:00:00,2021-01-06 12:00:00,434.99
2021-01-06 13:00:00,2021-01-06 13:00:00,435.04
2021-01-06 14:00:00,2021-01-06 14:00:00,435.08
2021-01-06 15:00:00,2021-01-06 15:00:00,435.32
2021-01-06 16:00:00,2021-01-06 16:00:00,435.45
2021-01-06 17:00:00,2021-01-06 17:00:00,435.6
2021-01-06 18:00:00,2021-01-06 18:00:00,435.72
2021-01-06 19:00:00,2021-01-06 19:00:00,435.87
2021-01-06 20:00:00,2021-01-06 20:00:00,436.06
2021-01-06 21:00:00,2021-01-06 21:00:00,436.11
2021-01-06 22:00:00,2021-01-06 22:00:00,436.15
2021-01-06 23:00:00,2021-01-06 23:00:00,436.17
2021-01-07 00:00:00,2021-01-07 00:00:00,437.07
2021-01-07 01:00:00,2021-01-07 01:00:00,438.32
2021-01-07 02:00:00,2021-01-07 02:00:00,438.39
2021-01-07 03:00:00,2021-01-07 03:00:00,438.43
2021-01-07 04:00:00,2021-01-07 04:00:00,438.48
2021-01-07 05:00:00,2021-01-07 05:00:00,438.55
2021-01-07 06:00:00,2021-01-07 06:00:00,438.65
2021-01-07 07:00:00,2021-01-07 07:00:00,438.66
2021-01-07 08:00:00,2021-01-07 08:00:00,438.72
2021-01-07 09:00:00,2021-01-07 09:00:00,438.78
2021-01-07 10:00:00,2021-01-07 10:00:00,438.82
2021-01-07 11:00:00,2021-01-07 11:00:00,438.91
2021-01-07 12:00:00,2021-01-07 12:00:00,438.98
2021-01-07 13:00:00,2021-01-07 13:00:00,439.08
2021-01-07 14:00:00,2021-01-07 14:00:00,439.11
2021-01-07 15:00:00,2021-01-07 15:00:00,439.19
2021-01-07 16:00:00,2021-01-07 16:00:00,439.28
2021-01-07 17:00:00,2021-01-07 17:00:00,439.33
