start_time,datetime,staking_validator_total
2021-01-01 00:00:00,2021-01-01 00:00:00,67864
2021-01-01 01:00:00,2021-01-01 01:00:00,67880
2021-01-01 02:00:00,2021-01-01 02:00:00,67888
2021-01-01 03:00:00,2021-01-01 03:00:00,67896
2021-01-01 04:00:00,2021-01-01 04:00:00,67904
2021-01-01 05:00:00,2021-01-01 05:00:00,67906
2021-01-01 06:00:00,2021-01-01 06:00:00,67936
2021-01-01 07:00:00,2021-01-01 07:00:00,67956
2021-01-01 08:00:00,2021-01-01 08:00:00,67957
2021-01-01 09:00:00,2021-01-01 09:00:00,67973
2021-01-01 10:00:00,2021-01-01 10:00:00,67974
2021-01-01 11:00:00,2021-01-01 11:00:00,68004
2021-01-01 12:00:00,2021-01-01 12:00:00,68028
2021-01-01 13:00:00,2021-01-01 13:00:00,68036
2021-01-01 14:00:00,2021-01-01 14:00:00,68047
2021-01-01 15:00:00,2021-01-01 15:00:00,68056
2021-01-01 16:00:00,2021-01-01 16:00:00,68091
2021-01-01 17:00:00,2021-01-01 17:00:00,68114
2021-01-01 18:00:00,2021-01-01 18:00:00,68167
2021-01-01 19:00:00,2021-01-01 19:00:00,68246
2021-01-01 20:00:00,2021-01-01 20:00:00,68251
2021-01-01 21:00:00,2021-01-01 21:00:00,68259
2021-01-01 22:00:00,2021-01-01 22:00:00,68267
2021-01-01 23:00:00,2021-01-01 23:00:00,68270
2021-01-02 00:00:00,2021-01-02 00:00:00,68396
2021-01-02 01:00:00,2021-01-02 01:00:00,68400
2021-01-02 02:00:00,2021-01-02 02:00:00,68406
2021-01-02 03:00:00,2021-01-02 03:00:00,68418
2021-01-02 04:00:00,2021-01-02 04:00:00,68422
2021-01-02 05:00:00,2021-01-02 05:00:00,68427
2021-01-02 06:00:00,2021-01-02 06:00:00,68433
2021-01-02 07:00:00,2021-01-02 07:00:00,68438
2021-01-02 08:00:00,2021-01-02 08:00:00,68447
2021-01-02 09:00:00,2021-01-02 09:00:00,68461
2021-01-02 10:00:00,2021-01-02 10:00:00,68479
2021-01-02 11:00:00,2021-01-02 11:00:00,68485
2021-01-02 12:00:00,2021-01-02 12:00:00,68486
2021-01-02 13:00:00,2021-01-02 13:00:00,68505
2021-01-02 14:00:00,2021-01-02 14:00:00,68514
2021-01-02 15:00:00,2021-01-02 15:00:00,68523
2021-01-02 16:00:00,2021-01-02 16:00:00,68588
2021-01-02 17:00:00,2021-01-02 17:00:00,68597
2021-01-02 18:00:00,2021-01-02 18:00:00,68604
2021-01-02 19:00:00,2021-01-02 19:00:00,68617
2021-01-02 20:00:00,2021-01-02 20:00:00,68639
2021-01-02 21:00:00,2021-01-02 21:00:00,68648
2021-01-02 22:00:00,2021-01-02 22:00:00,68662
2021-01-02 23:00:00,2021-01-02 23:00:00,68669
2021-01-03 00:00:00,2021-01-03 00:00:00,68675
2021-01-03 01:00:00,2021-01-03 01:00:00,68680
2021-01-03 02:00:00,2021-01-03 02:00:00,68684
2021-01-03 03:00:00,2021-01-03 03:00:00,68686
2021-01-03 04:00:00,2021-01-03 04:00:00,68693
2021-01-03 05:00:00,2021-01-03 05:00:00,68698
2021-01-03 06:00:00,2021-01-03 06:00:00,68704
2021-01-03 07:00:00,2021-01-03 07:00:00,68711
2021-01-03 08:00:00,2021-01-03 08:00:00,68722
2021-01-03 09:00:00,2021-01-03 09:00:00,68736
2021-01-03 10:00:00,2021-01-03 10:00:00,68748
2021-01-03 11:00:00,2021-01-03 11:00:00,68756
2021-01-03 12:00:00,2021-01-03 12:00:00,68789
2021-01-03 13:00:00,2021-01-03 13:00:00,68802
2021-01-03 14:00:00,2021-01-03 14:00:00,68814
2021-01-03 15:00:00,2021-01-03 15:00:00,68823
2021-01-03 16:00:00,2021-01-03 16:00:00,68846
2021-01-03 17:00:00,2021-01-03 17:00:00,68862
2021-01-03 18:00:00,2021-01-03 18:00:00,68872
2021-01-03 19:00:00,2021-01-03 19:00:00,68890
2021-01-03 20:00:00,2021-01-03 20:00:00,68912
2021-01-03 21:00:00,2021-01-03 21:00:00,68917
2021-01-03 22:00:00,2021-01-03 22:00:00,68926
2021-01-03 23:00:00,2021-01-03 23:00:00,68929
2021-01-04 00:00:00,2021-01-04 00:00:00,68969
2021-01-04 01:00:00,2021-01-04 01:00:00,68978
2021-01-04 02:00:00,2021-01-04 02:00:00,68987
2021-01-04 03:00:00,2021-01-04 03:00:00,68993
2021-01-04 04:00:00,2021-01-04 04:00:00,69005
2021-01-04 05:00:00,2021-01-04 05:00:00,69009
2021-01-04 06:00:00,2021-01-04 06:00:00,69017
2021-01-04 07:00:00,2021-01-04 07:00:00,69054
2021-01-04 08:00:00,2021-01-04 08:00:00,69067
2021-01-04 09:00:00,2021-01-04 09:00:00,69076
2021-01-04 10:00:00,2021-01-04 10:00:00,69080
2021-01-04 11:00:00,2021-01-04 11:00:00,69110
2021-01-04 12:00:00,2021-01-04 12:00:00,69113
2021-01-04 13:00:00,2021-01-04 13:00:00,69132
2021-01-04 14:00:00,2021-01-04 14:00:00,69138
2021-01-04 15:00:00,2021-01-04 15:00:00,69453
2021-01-04 16:00:00,2021-01-04 16:00:00,69709
2021-01-04 17:00:00,2021-01-04 17:00:00,69747
2021-01-04 18:00:00,2021-01-04 18:00:00,69953
2021-01-04 19:00:00,2021-01-04 19:00:00,69971
2021-01-04 20:00:00,2021-01-04 20:00:00,69979
2021-01-04 21:00:00,2021-01-04 21:00:00,70008
2021-01-04 22:00:00,2021-01-04 22:00:00,70042
2021-01-04 23:00:00,2021-01-04 23:00:00,70074
2021-01-05 00:00:00,2021-01-05 00:00:00,70078
2021-01-05 01:00:00,2021-01-05 01:00:00,70090
2021-01-05 02:00:00,2021-01-05 02:00:00,70093
2021-01-05 03:00:00,2021-01-05 03:00:00,70101
2021-01-05 04:00:00,2021-01-05 04:00:00,70106
2021-01-05 05:00:00,2021-01-05 05:00:00,70138
2021-01-05 06:00:00,2021-01-05 06:00:00,70141
2021-01-05 07:00:00,2021-01-05 07:00:00,70157
2021-01-05 08:00:00,2021-01-05 08:00:00,70162
2021-01-05 09:00:00,2021-01-05 09:00:00,70167
2021-01-05 10:00:00,2021-01-05 10:00:00,70196
2021-01-05 11:00:00,2021-01-05 11:00:00,70270
2021-01-05 12:00:00,2021-01-05 12:00:00,70315
2021-01-05 13:00:00,2021-01-05 13:00:00,70322
2021-01-05 14:00:00,2021-01-05 14:00:00,70331
2021-01-05 15:00:00,2021-01-05 15:00:00,70351
2021-01-05 16:00:00,2021-01-05 16:00:00,70362
