start_time,datetime,total_value_staked
2021-01-01 00:00:00,2021-01-01 00:00:00,2168405.747378638
2021-01-01 01:00:00,2021-01-01 01:00:00,2177645.980240152
2021-01-01 02:00:00,2021-01-01 02:00:00,2177667.894952362
2021-01-01 03:00:00,2021-01-01 03:00:00,2177689.756937462
2021-01-01 04:00:00,2021-01-01 04:00:00,2177713.918168149
2021-01-01 05:00:00,2021-01-01 05:00:00,2177735.850706722
2021-01-01 06:00:00,2021-01-01 06:00:00,2177760.210718599
2021-01-01 07:00:00,2021-01-01 07:00:00,2177782.113678191
2021-01-01 08:00:00,2021-01-01 08:00:00,2184171.891794595
2021-01-01 09:00:00,2021-01-01 09:00:00,2184196.32912605
2021-01-01 10:00:00,2021-01-01 10:00:00,2184218.108106775
2021-01-01 11:00:00,2021-01-01 11:00:00,2184239.651387167
2021-01-01 12:00:00,2021-01-01 12:00:00,2184264.39889113
2021-01-01 13:00:00,2021-01-01 13:00:00,2184286.152303341
2021-01-01 14:00:00,2021-01-01 14:00:00,2184310.532824288
2021-01-01 15:00:00,2021-01-01 15:00:00,2186316.477069128
2021-01-01 16:00:00,2021-01-01 16:00:00,2186338.520005613
2021-01-01 17:00:00,2021-01-01 17:00:00,2186362.510965355
2021-01-01 18:00:00,2021-01-01 18:00:00,2186384.367940409
2021-01-01 19:00:00,2021-01-01 19:00:00,2186406.332577488
2021-01-01 20:00:00,2021-01-01 20:00:00,2186430.775815659
2021-01-01 21:00:00,2021-01-01 21:00:00,2186452.934356805
2021-01-01 22:00:00,2021-01-01 22:00:00,2188813.73600565
2021-01-01 23:00:00,2021-01-01 23:00:00,2188835.839896394
2021-01-02 00:00:00,2021-01-02 00:00:00,2188857.905126595
2021-01-02 01:00:00,2021-01-02 01:00:00,2188882.36924355
2021-01-02 02:00:00,2021-01-02 02:00:00,2188904.203401392
2021-01-02 03:00:00,2021-01-02 03:00:00,2188926.48593464
2021-01-02 04:00:00,2021-01-02 04:00:00,2188950.970411012
2021-01-02 05:00:00,2021-01-02 05:00:00,2193261.016892132
2021-01-02 06:00:00,2021-01-02 06:00:00,2193285.63508309
2021-01-02 07:00:00,2021-01-02 07:00:00,2193307.736226607
2021-01-02 08:00:00,2021-01-02 08:00:00,2193329.912781858
2021-01-02 09:00:00,2021-01-02 09:00:00,2193354.307169351
2021-01-02 10:00:00,2021-01-02 10:00:00,2193376.503218468
2021-01-02 11:00:00,2021-01-02 11:00:00,2193398.468302911
2021-01-02 12:00:00,2021-01-02 12:00:00,2198830.832988247
2021-01-02 13:00:00,2021-01-02 13:00:00,2198853.316995781
2021-01-02 14:00:00,2021-01-02 14:00:00,2198877.982986987
2021-01-02 15:00:00,2021-01-02 15:00:00,2198900.212859729
2021-01-02 16:00:00,2021-01-02 16:00:00,2198922.462949292
2021-01-02 17:00:00,2021-01-02 17:00:00,2198947.150890908
2021-01-02 18:00:00,2021-01-02 18:00:00,2204025.339087141
2021-01-02 19:00:00,2021-01-02 19:00:00,2204047.286992742
2021-01-02 20:00:00,2021-01-02 20:00:00,2204071.843969722
