start_time,datetime,reserve,reserve_usd
2021-01-01 00:00:00,2021-01-01 00:00:00,3436930.727410553,2534030085.0132093
2021-01-01 01:00:00,2021-01-01 01:00:00,3439519.9143306687,2528804952.147363
2021-01-01 02:00:00,2021-01-01 02:00:00,3443861.385200651,2580892382.094113
2021-01-01 03:00:00,2021-01-01 03:00:00,3448907.769826245,2574130916.979193
2021-01-01 04:00:00,2021-01-01 04:00:00,3450374.121349079,2577874059.8769393
2021-01-01 05:00:00,2021-01-01 05:00:00,3450425.9623189676,2566897080.770196
2021-01-01 06:00:00,2021-01-01 06:00:00,3451003.0703528672,2562533410.7730865
2021-01-01 07:00:00,2021-01-01 07:00:00,3448371.916623394,2553590012.9160857
2021-01-01 08:00:00,2021-01-01 08:00:00,3448909.204300873,2548102838.0148525
2021-01-01 09:00:00,2021-01-01 09:00:00,3444860.8222732693,2516706333.172306
2021-01-01 10:00:00,2021-01-01 10:00:00,3440549.025588364,2527786186.133799
2021-01-01 11:00:00,2021-01-01 11:00:00,3441272.4150157548,2538160752.844731
2021-01-01 12:00:00,2021-01-01 12:00:00,3439093.67503083,2543726045.6447916
2021-01-01 13:00:00,2021-01-01 13:00:00,3434659.6922210497,2520998913.578275
2021-01-01 14:00:00,2021-01-01 14:00:00,3432522.5065597454,2543556741.0721335
2021-01-01 15:00:00,2021-01-01 15:00:00,3432671.1163607803,2538885256.3657837
2021-01-01 16:00:00,2021-01-01 16:00:00,3427203.428152943,2528101089.1540174
2021-01-01 17:00:00,2021-01-01 17:00:00,3424845.1047776495,2519903073.895062
2021-01-01 18:00:00,2021-01-01 18:00:00,3422445.0072589465,2490595835.915031
2021-01-01 19:00:00,2021-01-01 19:00:00,3422139.255226674,2480777185.5794454
2021-01-01 20:00:00,2021-01-01 20:00:00,3436986.262191991,2488134958.3320465
2021-01-01 21:00:00,2021-01-01 21:00:00,3466171.4363605403,2534893749.8253803
2021-01-01 22:00:00,2021-01-01 22:00:00,3464072.832143097,2521314608.1642265
2021-01-01 23:00:00,2021-01-01 23:00:00,3464760.440947166,2528367798.9767823
2021-01-02 00:00:00,2021-01-02 00:00:00,3463766.0073793856,2530570029.0518384
2021-01-02 01:00:00,2021-01-02 01:00:00,3458871.988464521,2488676786.0037546
2021-01-02 02:00:00,2021-01-02 02:00:00,3461124.904987142,2532038257.005687
2021-01-02 03:00:00,2021-01-02 03:00:00,3463624.45737642,2534806418.0244355
2021-01-02 04:00:00,2021-01-02 04:00:00,3469915.120305062,2536134520.9206467
2021-01-02 05:00:00,2021-01-02 05:00:00,3469148.903954624,2536233664.753197
2021-01-02 06:00:00,2021-01-02 06:00:00,3469759.350643739,2545271351.9214115
2021-01-02 07:00:00,2021-01-02 07:00:00,3474997.6409195834,2570073608.594145
2021-01-02 08:00:00,2021-01-02 08:00:00,3470989.6769088255,2563213641.529446
2021-01-02 09:00:00,2021-01-02 09:00:00,3469930.551899817,2551436012.7494326
2021-01-02 10:00:00,2021-01-02 10:00:00,3468424.2184403897,2522639826.9141674
2021-01-02 11:00:00,2021-01-02 11:00:00,3465991.69568635,2529927482.1340895
2021-01-02 12:00:00,2021-01-02 12:00:00,3464047.1087037963,2531769351.8181863
2021-01-02 13:00:00,2021-01-02 13:00:00,3473559.571609954,2619243919.4213405
2021-01-02 14:00:00,2021-01-02 14:00:00,3484000.577752443,2681433190.639989
2021-01-02 15:00:00,2021-01-02 15:00:00,3484843.632829086,2663304949.277307
2021-01-02 16:00:00,2021-01-02 16:00:00,3483964.4823051505,2685705143.9624033
2021-01-02 17:00:00,2021-01-02 17:00:00,3493643.2890694733,2738215938.1054
2021-01-02 18:00:00,2021-01-02 18:00:00,3501297.606127547,2732109029.3072453
2021-01-02 19:00:00,2021-01-02 19:00:00,3505470.1278937706,2729587087.483431
2021-01-02 20:00:00,2021-01-02 20:00:00,3499749.8135534055,2745498485.496817
2021-01-02 21:00:00,2021-01-02 21:00:00,3493755.5735162026,2638361273.64332
2021-01-02 22:00:00,2021-01-02 22:00:00,3490159.6201909394,2684453055.7575746
2021-01-02 23:00:00,2021-01-02 23:00:00,3475935.698275585,2682059144.1520576
2021-01-03 00:00:00,2021-01-03 00:00:00,3476397.5069986973,2695012995.2971835
2021-01-03 01:00:00,2021-01-03 01:00:00,3472828.8398928144,2691041151.948463
2021-01-03 02:00:00,2021-01-03 02:00:00,3472218.146506746,2702965700.8151526
2021-01-03 03:00:00,2021-01-03 03:00:00,3488778.634993751,2718075109.768505
2021-01-03 04:00:00,2021-01-03 04:00:00,3462495.6266788393,2677563676.757779
2021-01-03 05:00:00,2021-01-03 05:00:00,3452633.8825983647,2686604385.5707345
2021-01-03 06:00:00,2021-01-03 06:00:00,3443822.855998695,2702813675.0092025
2021-01-03 07:00:00,2021-01-03 07:00:00,3434381.217600235,2740631408.903261
2021-01-03 08:00:00,2021-01-03 08:00:00,3438131.156089321,2754045883.104061
2021-01-03 09:00:00,2021-01-03 09:00:00,3453553.305962991,2833866785.3873806
2021-01-03 10:00:00,2021-01-03 10:00:00,3468366.4439660404,2850084006.044285
2021-01-03 11:00:00,2021-01-03 11:00:00,3473628.887351718,2868655752.687055
2021-01-03 12:00:00,2021-01-03 12:00:00,3458821.536800194,2866678224.014594
2021-01-03 13:00:00,2021-01-03 13:00:00,3464809.6308037248,2891460543.1715493
2021-01-03 14:00:00,2021-01-03 14:00:00,3471446.663467224,3018786780.7090287
2021-01-03 15:00:00,2021-01-03 15:00:00,3492916.981293061,3210320431.5826902
2021-01-03 16:00:00,2021-01-03 16:00:00,3508051.903951338,3263871837.8210964
2021-01-03 17:00:00,2021-01-03 17:00:00,3499529.1921117343,3268961717.388167
2021-01-03 18:00:00,2021-01-03 18:00:00,3545549.1274981587,3341015511.5286236
2021-01-03 19:00:00,2021-01-03 19:00:00,3554609.04926873,3243636390.643946
2021-01-03 20:00:00,2021-01-03 20:00:00,3565149.195508942,3289285173.9309874
2021-01-03 21:00:00,2021-01-03 21:00:00,3569985.0925547495,3379108233.085473
2021-01-03 22:00:00,2021-01-03 22:00:00,3559847.763816009,3373112210.385737
2021-01-03 23:00:00,2021-01-03 23:00:00,3570276.4968754463,3551392875.550454
2021-01-04 00:00:00,2021-01-04 00:00:00,3570501.4372309702,3519863265.4410243
2021-01-04 01:00:00,2021-01-04 01:00:00,3568229.4720230773,3478897760.772152
2021-01-04 02:00:00,2021-01-04 02:00:00,3566642.7486919537,3437381110.850311
2021-01-04 03:00:00,2021-01-04 03:00:00,3571563.8646338955,3503639416.682236
2021-01-04 04:00:00,2021-01-04 04:00:00,3580802.1674272767,3677706450.6849666
2021-01-04 05:00:00,2021-01-04 05:00:00,3592090.7934382716,3681979077.720243
2021-01-04 06:00:00,2021-01-04 06:00:00,3611787.352444614,3929220041.0810695
2021-01-04 07:00:00,2021-01-04 07:00:00,3584766.406893068,3986824066.347828
2021-01-04 08:00:00,2021-01-04 08:00:00,3635015.664933587,3865147762.7745767
2021-01-04 09:00:00,2021-01-04 09:00:00,3619621.526520244,3686988946.123718
2021-01-04 10:00:00,2021-01-04 10:00:00,3601158.2743711993,3532034077.4862847
2021-01-04 11:00:00,2021-01-04 11:00:00,3649824.048128188,3504908017.849499
2021-01-04 12:00:00,2021-01-04 12:00:00,3676446.5267381854,3585520886.0535364
2021-01-04 13:00:00,2021-01-04 13:00:00,3682298.275946099,3722423958.86809
2021-01-04 14:00:00,2021-01-04 14:00:00,3689716.341844683,3761355938.20693
2021-01-04 15:00:00,2021-01-04 15:00:00,3708206.895897739,3883442827.81228
2021-01-04 16:00:00,2021-01-04 16:00:00,3704082.774866813,3878493870.841537
2021-01-04 17:00:00,2021-01-04 17:00:00,3701524.0099501302,3774079657.9578586
2021-01-04 18:00:00,2021-01-04 18:00:00,3702674.8570524296,3712475629.4938536
2021-01-04 19:00:00,2021-01-04 19:00:00,3700142.62618143,3775146268.5286345
2021-01-04 20:00:00,2021-01-04 20:00:00,3702737.4014988183,3877621794.3076463
2021-01-04 21:00:00,2021-01-04 21:00:00,3695230.6520603662,3794112657.403412
2021-01-04 22:00:00,2021-01-04 22:00:00,3693805.1172002647,3714112966.402066
2021-01-04 23:00:00,2021-01-04 23:00:00,3694702.658485773,3744171917.298473
2021-01-05 00:00:00,2021-01-05 00:00:00,3691368.231139728,3879659986.297746
2021-01-05 01:00:00,2021-01-05 01:00:00,3703550.0568061494,4086490142.34028
2021-01-05 02:00:00,2021-01-05 02:00:00,3703059.3521126783,4107674798.142433
2021-01-05 03:00:00,2021-01-05 03:00:00,3683467.638259536,3958990140.1625233
2021-01-05 04:00:00,2021-01-05 04:00:00,3678124.7505077575,3731737327.5999246
2021-01-05 05:00:00,2021-01-05 05:00:00,3685706.9186450234,3706293311.425933
2021-01-05 06:00:00,2021-01-05 06:00:00,3690236.970782272,3655630071.2086415
2021-01-05 07:00:00,2021-01-05 07:00:00,3702262.678350388,3777753426.512235
2021-01-05 08:00:00,2021-01-05 08:00:00,3705856.568602303,3735736999.697122
2021-01-05 09:00:00,2021-01-05 09:00:00,3705770.9259756817,3819472994.644086
2021-01-05 10:00:00,2021-01-05 10:00:00,3707119.6870239144,3860370388.2755065
2021-01-05 11:00:00,2021-01-05 11:00:00,3710644.697429308,3817335719.2353263
2021-01-05 12:00:00,2021-01-05 12:00:00,3703523.5045886296,3878172713.4268966
2021-01-05 13:00:00,2021-01-05 13:00:00,3706749.8853905103,3824418209.488005
2021-01-05 14:00:00,2021-01-05 14:00:00,3705496.744867374,3789839365.745471
2021-01-05 15:00:00,2021-01-05 15:00:00,3698316.769882577,3868938091.2670503
2021-01-05 16:00:00,2021-01-05 16:00:00,3698657.7791853608,3897547089.6476326
2021-01-05 17:00:00,2021-01-05 17:00:00,3699730.8311642,3948429854.3993015
2021-01-05 18:00:00,2021-01-05 18:00:00,3707951.909264448,4031767043.149525
2021-01-05 19:00:00,2021-01-05 19:00:00,3724533.519169413,4023160467.382595
2021-01-05 20:00:00,2021-01-05 20:00:00,3715729.7269065497,4059871665.212003
2021-01-05 21:00:00,2021-01-05 21:00:00,3717488.5884863287,4099640934.614948
2021-01-05 22:00:00,2021-01-05 22:00:00,3716291.347349017,4052902321.6966
2021-01-05 23:00:00,2021-01-05 23:00:00,3713794.0194375,4142262442.437048
2021-01-06 00:00:00,2021-01-06 00:00:00,3712970.48610675,4120721559.0387945
2021-01-06 01:00:00,2021-01-06 01:00:00,3711318.159167058,4024319085.1474094
2021-01-06 02:00:00,2021-01-06 02:00:00,3707945.500607312,3990092182.576201
2021-01-06 03:00:00,2021-01-06 03:00:00,3706544.008300763,4009352991.703098
2021-01-06 04:00:00,2021-01-06 04:00:00,3699802.594808919,3993479014.7110314
2021-01-06 05:00:00,2021-01-06 05:00:00,3703330.547345428,4163816545.166985
2021-01-06 06:00:00,2021-01-06 06:00:00,3704947.91297953,4084277592.427399
2021-01-06 07:00:00,2021-01-06 07:00:00,3699912.21006633,4119817376.419226
2021-01-06 08:00:00,2021-01-06 08:00:00,3702301.5988019025,4115523266.665744
2021-01-06 09:00:00,2021-01-06 09:00:00,3724288.1358357784,4127597260.91144
