start_time,datetime,exchange_supply_ratio
2021-01-01 00:00:00,2021-01-01 00:00:00,0.03010977
2021-01-01 01:00:00,2021-01-01 01:00:00,0.03013231
2021-01-01 02:00:00,2021-01-01 02:00:00,0.03017021
2021-01-01 03:00:00,2021-01-01 03:00:00,0.0302143
2021-01-01 04:00:00,2021-01-01 04:00:00,0.030227
2021-01-01 05:00:00,2021-01-01 05:00:00,0.0302273
2021-01-01 06:00:00,2021-01-01 06:00:00,0.03023222
2021-01-01 07:00:00,2021-01-01 07:00:00,0.03020903
2021-01-01 08:00:00,2021-01-01 08:00:00,0.0302136
2021-01-01 09:00:00,2021-01-01 09:00:00,0.03017797
2021-01-01 10:00:00,2021-01-01 10:00:00,0.03014001
2021-01-01 11:00:00,2021-01-01 11:00:00,0.0301462
2021-01-01 12:00:00,2021-01-01 12:00:00,0.03012694
2021-01-01 13:00:00,2021-01-01 13:00:00,0.03008792
2021-01-01 14:00:00,2021-01-01 14:00:00,0.03006903
2021-01-01 15:00:00,2021-01-01 15:00:00,0.03007017
2021-01-01 16:00:00,2021-01-01 16:00:00,0.03002208
2021-01-01 17:00:00,2021-01-01 17:00:00,0.03000127
2021-01-01 18:00:00,2021-01-01 18:00:00,0.02998009
2021-01-01 19:00:00,2021-01-01 19:00:00,0.02997727
2021-01-01 20:00:00,2021-01-01 20:00:00,0.03010726
2021-01-01 21:00:00,2021-01-01 21:00:00,0.03036295
2021-01-01 22:00:00,2021-01-01 22:00:00,0.03034442
2021-01-01 23:00:00,2021-01-01 23:00:00,0.03035029
2021-01-02 00:00:00,2021-01-02 00:00:00,0.03034143
2021-01-02 01:00:00,2021-01-02 01:00:00,0.03029838
2021-01-02 02:00:00,2021-01-02 02:00:00,0.03031797
2021-01-02 03:00:00,2021-01-02 03:00:00,0.03033972
2021-01-02 04:00:00,2021-01-02 04:00:00,0.0303947
2021-01-02 05:00:00,2021-01-02 05:00:00,0.03038784
2021-01-02 06:00:00,2021-01-02 06:00:00,0.03039305
2021-01-02 07:00:00,2021-01-02 07:00:00,0.03043881
2021-01-02 08:00:00,2021-01-02 08:00:00,0.03040353
2021-01-02 09:00:00,2021-01-02 09:00:00,0.03039409
2021-01-02 10:00:00,2021-01-02 10:00:00,0.03038074
2021-01-02 11:00:00,2021-01-02 11:00:00,0.03035927
2021-01-02 12:00:00,2021-01-02 12:00:00,0.03034206
2021-01-02 13:00:00,2021-01-02 13:00:00,0.0304253
2021-01-02 14:00:00,2021-01-02 14:00:00,0.03051667
2021-01-02 15:00:00,2021-01-02 15:00:00,0.03052392
2021-01-02 16:00:00,2021-01-02 16:00:00,0.03051606
2021-01-02 17:00:00,2021-01-02 17:00:00,0.03060074
2021-01-02 18:00:00,2021-01-02 18:00:00,0.03066767
2021-01-02 19:00:00,2021-01-02 19:00:00,0.03070409
2021-01-02 20:00:00,2021-01-02 20:00:00,0.0306538
2021-01-02 21:00:00,2021-01-02 21:00:00,0.0306011
2021-01-02 22:00:00,2021-01-02 22:00:00,0.03056944
2021-01-02 23:00:00,2021-01-02 23:00:00,0.03044461
2021-01-03 00:00:00,2021-01-03 00:00:00,0.03044852
2021-01-03 01:00:00,2021-01-03 01:00:00,0.0304171
2021-01-03 02:00:00,2021-01-03 02:00:00,0.0304116
2021-01-03 03:00:00,2021-01-03 03:00:00,0.03055659
2021-01-03 04:00:00,2021-01-03 04:00:00,0.0303261
2021-01-03 05:00:00,2021-01-03 05:00:00,0.03023952
2021-01-03 06:00:00,2021-01-03 06:00:00,0.03016214
2021-01-03 07:00:00,2021-01-03 07:00:00,0.03007925
2021-01-03 08:00:00,2021-01-03 08:00:00,0.03011196
2021-01-03 09:00:00,2021-01-03 09:00:00,0.03024697
