start_time,coinbase_premium_gap,coinbase_premium_index,datetime
2021-01-01 00:00:00,1.62,0.2206874,2021-01-01 00:00:00
2021-01-01 01:00:00,1.46,0.19511413,2021-01-01 01:00:00
2021-01-01 02:00:00,1.48,0.19890869,2021-01-01 02:00:00
2021-01-01 03:00:00,1.35,0.18125185,2021-01-01 03:00:00
2021-01-01 04:00:00,1.28,0.17243934,2021-01-01 04:00:00
2021-01-01 05:00:00,1.37,0.18497266,2021-01-01 05:00:00
2021-01-01 06:00:00,1.09,0.14730327,2021-01-01 06:00:00
2021-01-01 07:00:00,1.06,0.1437522,2021-01-01 07:00:00
2021-01-01 08:00:00,1.5,0.20545975,2021-01-01 08:00:00
2021-01-01 09:00:00,1.52,0.20717479,2021-01-01 09:00:00
2021-01-01 10:00:00,1.45,0.19679429,2021-01-01 10:00:00
2021-01-01 11:00:00,1.86,0.25174257,2021-01-01 11:00:00
2021-01-01 12:00:00,1.6,0.21822447,2021-01-01 12:00:00
2021-01-01 13:00:00,2.17,0.29321154,2021-01-01 13:00:00
2021-01-01 14:00:00,1.86,0.25203252,2021-01-01 14:00:00
2021-01-01 15:00:00,1.88,0.25564666,2021-01-01 15:00:00
2021-01-01 16:00:00,1.82,0.24733974,2021-01-01 16:00:00
2021-01-01 17:00:00,2.32,0.31870759,2021-01-01 17:00:00
2021-01-01 18:00:00,1.39,0.19182998,2021-01-01 18:00:00
2021-01-01 19:00:00,2.11,0.29089806,2021-01-01 19:00:00
2021-01-01 20:00:00,2.39,0.32763064,2021-01-01 20:00:00
2021-01-01 21:00:00,1.95,0.26777254,2021-01-01 21:00:00
2021-01-01 22:00:00,2.07,0.28398957,2021-01-01 22:00:00
2021-01-01 23:00:00,2.08,0.28535759,2021-01-01 23:00:00
2021-01-02 00:00:00,1.9,0.26392555,2021-01-02 00:00:00
2021-01-02 01:00:00,1.83,0.25089802,2021-01-02 01:00:00
2021-01-02 02:00:00,2.21,0.30297214,2021-01-02 02:00:00
2021-01-02 03:00:00,1.91,0.26150413,2021-01-02 03:00:00
2021-01-02 04:00:00,2.25,0.30845157,2021-01-02 04:00:00
2021-01-02 05:00:00,2.63,0.35929453,2021-01-02 05:00:00
2021-01-02 06:00:00,1.5,0.20351677,2021-01-02 06:00:00
2021-01-02 07:00:00,2.01,0.27342475,2021-01-02 07:00:00
2021-01-02 08:00:00,2.08,0.28344053,2021-01-02 08:00:00
2021-01-02 09:00:00,1.68,0.23159317,2021-01-02 09:00:00
2021-01-02 10:00:00,1.6,0.21963842,2021-01-02 10:00:00
2021-01-02 11:00:00,1.9,0.26038098,2021-01-02 11:00:00
