start_time,datetime,open_interest
2021-01-01 00:00:00,2021-01-01 00:00:00,425832355.42563
2021-01-01 01:00:00,2021-01-01 01:00:00,437225515.92584
2021-01-01 02:00:00,2021-01-01 02:00:00,433365302.3715
2021-01-01 03:00:00,2021-01-01 03:00:00,426573670.50312
2021-01-01 04:00:00,2021-01-01 04:00:00,425193759.9026
2021-01-01 05:00:00,2021-01-01 05:00:00,425855010.93117
2021-01-01 06:00:00,2021-01-01 06:00:00,422360868.97676
2021-01-01 07:00:00,2021-01-01 07:00:00,413534816.89694
2021-01-01 08:00:00,2021-01-01 08:00:00,423238582.52106
2021-01-01 09:00:00,2021-01-01 09:00:00,427541983.21082
2021-01-01 10:00:00,2021-01-01 10:00:00,431037568.7883
2021-01-01 11:00:00,2021-01-01 11:00:00,430980954.01731
2021-01-01 12:00:00,2021-01-01 12:00:00,434386414.655
2021-01-01 13:00:00,2021-01-01 13:00:00,430977181.19228
2021-01-01 14:00:00,2021-01-01 14:00:00,430416432.44813
2021-01-01 15:00:00,2021-01-01 15:00:00,429259050.77788
2021-01-01 16:00:00,2021-01-01 16:00:00,428469207.97393
2021-01-01 17:00:00,2021-01-01 17:00:00,428115131.26616
2021-01-01 18:00:00,2021-01-01 18:00:00,427246043.12124
2021-01-01 19:00:00,2021-01-01 19:00:00,435642202.71298
2021-01-01 20:00:00,2021-01-01 20:00:00,439032154.08906
2021-01-01 21:00:00,2021-01-01 21:00:00,436110042.5218
2021-01-01 22:00:00,2021-01-01 22:00:00,431446683.0416001
2021-01-01 23:00:00,2021-01-01 23:00:00,430143618.05942
2021-01-02 00:00:00,2021-01-02 00:00:00,432592534.42439
2021-01-02 01:00:00,2021-01-02 01:00:00,446004712.14875
2021-01-02 02:00:00,2021-01-02 02:00:00,444248267.82064
2021-01-02 03:00:00,2021-01-02 03:00:00,445236281.85884
2021-01-02 04:00:00,2021-01-02 04:00:00,442271396.3042401
2021-01-02 05:00:00,2021-01-02 05:00:00,440751838.60492
2021-01-02 06:00:00,2021-01-02 06:00:00,450259170.8142
2021-01-02 07:00:00,2021-01-02 07:00:00,438180207.34935
2021-01-02 08:00:00,2021-01-02 08:00:00,430492213.51712
2021-01-02 09:00:00,2021-01-02 09:00:00,430325459.63753
2021-01-02 10:00:00,2021-01-02 10:00:00,429093164.32088006
2021-01-02 11:00:00,2021-01-02 11:00:00,428830164.7862
2021-01-02 12:00:00,2021-01-02 12:00:00,456907101.312
2021-01-02 13:00:00,2021-01-02 13:00:00,473967827.3347001
2021-01-02 14:00:00,2021-01-02 14:00:00,474053819.31592
2021-01-02 15:00:00,2021-01-02 15:00:00,474993118.17636
2021-01-02 16:00:00,2021-01-02 16:00:00,477787904.5492
2021-01-02 17:00:00,2021-01-02 17:00:00,489657652.1232
2021-01-02 18:00:00,2021-01-02 18:00:00,486281845.99927
2021-01-02 19:00:00,2021-01-02 19:00:00,484211193.06614
2021-01-02 20:00:00,2021-01-02 20:00:00,455493413.34484
2021-01-02 21:00:00,2021-01-02 21:00:00,455799926.71528
2021-01-02 22:00:00,2021-01-02 22:00:00,451231008.10644
2021-01-02 23:00:00,2021-01-02 23:00:00,450506462.59621
2021-01-03 00:00:00,2021-01-03 00:00:00,443708827.23776
2021-01-03 01:00:00,2021-01-03 01:00:00,434912489.25573
2021-01-03 02:00:00,2021-01-03 02:00:00,437522061.1072
2021-01-03 03:00:00,2021-01-03 03:00:00,434673442.09384006
2021-01-03 04:00:00,2021-01-03 04:00:00,433826755.29256
2021-01-03 05:00:00,2021-01-03 05:00:00,447025105.29005
2021-01-03 06:00:00,2021-01-03 06:00:00,458310219.0684
2021-01-03 07:00:00,2021-01-03 07:00:00,462035981.0708
2021-01-03 08:00:00,2021-01-03 08:00:00,472738208.83
2021-01-03 09:00:00,2021-01-03 09:00:00,470213796.93215
2021-01-03 10:00:00,2021-01-03 10:00:00,479895523.04409
2021-01-03 11:00:00,2021-01-03 11:00:00,476398305.5135
2021-01-03 12:00:00,2021-01-03 12:00:00,478361120.06847
2021-01-03 13:00:00,2021-01-03 13:00:00,502313025.27296
2021-01-03 14:00:00,2021-01-03 14:00:00,518210249.79758
2021-01-03 15:00:00,2021-01-03 15:00:00,525441388.63834
2021-01-03 16:00:00,2021-01-03 16:00:00,567799432.4590001
2021-01-03 17:00:00,2021-01-03 17:00:00,564103096.98366
2021-01-03 18:00:00,2021-01-03 18:00:00,548966910.31148
2021-01-03 19:00:00,2021-01-03 19:00:00,546315671.85496
2021-01-03 20:00:00,2021-01-03 20:00:00,556035637.60854
2021-01-03 21:00:00,2021-01-03 21:00:00,554184483.2831001
