start_time,datetime,estimated_leverage_ratio
2021-01-01 00:00:00,2021-01-01 00:00:00,0.168713
2021-01-01 01:00:00,2021-01-01 01:00:00,0.16985397
2021-01-01 02:00:00,2021-01-01 02:00:00,0.16898916
2021-01-01 03:00:00,2021-01-01 03:00:00,0.16590083
2021-01-01 04:00:00,2021-01-01 04:00:00,0.16590099
2021-01-01 05:00:00,2021-01-01 05:00:00,0.16652863
2021-01-01 06:00:00,2021-01-01 06:00:00,0.16532938
2021-01-01 07:00:00,2021-01-01 07:00:00,0.16255324
2021-01-01 08:00:00,2021-01-01 08:00:00,0.16806275
2021-01-01 09:00:00,2021-01-01 09:00:00,0.16907615
2021-01-01 10:00:00,2021-01-01 10:00:00,0.16996305
2021-01-01 11:00:00,2021-01-01 11:00:00,0.16932875
2021-01-01 12:00:00,2021-01-01 12:00:00,0.17225234
2021-01-01 13:00:00,2021-01-01 13:00:00,0.16935512
2021-01-01 14:00:00,2021-01-01 14:00:00,0.16972407
2021-01-01 15:00:00,2021-01-01 15:00:00,0.16988481
2021-01-01 16:00:00,2021-01-01 16:00:00,0.16967277
2021-01-01 17:00:00,2021-01-01 17:00:00,0.17150458
2021-01-01 18:00:00,2021-01-01 18:00:00,0.17216605
2021-01-01 19:00:00,2021-01-01 19:00:00,0.17524487
2021-01-01 20:00:00,2021-01-01 20:00:00,0.17481008
2021-01-01 21:00:00,2021-01-01 21:00:00,0.17255537
2021-01-01 22:00:00,2021-01-01 22:00:00,0.17058228
2021-01-01 23:00:00,2021-01-01 23:00:00,0.1700446
2021-01-02 00:00:00,2021-01-02 00:00:00,0.17347804
2021-01-02 01:00:00,2021-01-02 01:00:00,0.17656427
2021-01-02 02:00:00,2021-01-02 02:00:00,0.17560398
2021-01-02 03:00:00,2021-01-02 03:00:00,0.17576955
2021-01-02 04:00:00,2021-01-02 04:00:00,0.17446629
2021-01-02 05:00:00,2021-01-02 05:00:00,0.1731318
2021-01-02 06:00:00,2021-01-02 06:00:00,0.17589707
2021-01-02 07:00:00,2021-01-02 07:00:00,0.17133669
2021-01-02 08:00:00,2021-01-02 08:00:00,0.16898674
2021-01-02 09:00:00,2021-01-02 09:00:00,0.17097771
2021-01-02 10:00:00,2021-01-02 10:00:00,0.16983612
