start_time,addresses_count_active,addresses_count_receiver,addresses_count_sender,datetime
2021-01-01 00:00:00,13873,9042,8052,2021-01-01 00:00:00
2021-01-01 01:00:00,15513,9923,8905,2021-01-01 01:00:00
2021-01-01 02:00:00,17850,12031,9308,2021-01-01 02:00:00
2021-01-01 03:00:00,20713,12355,11612,2021-01-01 03:00:00
2021-01-01 04:00:00,22729,9844,16143,2021-01-01 04:00:00
2021-01-01 05:00:00,19754,8925,13509,2021-01-01 05:00:00
2021-01-01 06:00:00,13661,8894,7305,2021-01-01 06:00:00
2021-01-01 07:00:00,18524,13635,8190,2021-01-01 07:00:00
2021-01-01 08:00:00,20490,12779,10580,2021-01-01 08:00:00
2021-01-01 09:00:00,19198,9277,12421,2021-01-01 09:00:00
2021-01-01 10:00:00,17506,10560,9892,2021-01-01 10:00:00
2021-01-01 11:00:00,18874,10927,10857,2021-01-01 11:00:00
2021-01-01 12:00:00,18801,10786,11054,2021-01-01 12:00:00
2021-01-01 13:00:00,19393,11301,11507,2021-01-01 13:00:00
2021-01-01 14:00:00,20280,12291,11653,2021-01-01 14:00:00
2021-01-01 15:00:00,19749,13178,10278,2021-01-01 15:00:00
2021-01-01 16:00:00,19406,11799,11274,2021-01-01 16:00:00
2021-01-01 17:00:00,16404,10493,9453,2021-01-01 17:00:00
2021-01-01 18:00:00,19583,10989,12433,2021-01-01 18:00:00
2021-01-01 19:00:00,20597,10998,13313,2021-01-01 19:00:00
2021-01-01 20:00:00,18122,11268,10578,2021-01-01 20:00:00
2021-01-01 21:00:00,17723,10788,10447,2021-01-01 21:00:00
2021-01-01 22:00:00,15645,10152,8874,2021-01-01 22:00:00
2021-01-01 23:00:00,14730,8972,9044,2021-01-01 23:00:00
2021-01-02 00:00:00,13161,9211,6934,2021-01-02 00:00:00
2021-01-02 01:00:00,13882,9343,7508,2021-01-02 01:00:00
2021-01-02 02:00:00,15409,10884,7984,2021-01-02 02:00:00
2021-01-02 03:00:00,17742,12746,8398,2021-01-02 03:00:00
2021-01-02 04:00:00,18469,12352,9288,2021-01-02 04:00:00
2021-01-02 05:00:00,15526,9560,9059,2021-01-02 05:00:00
2021-01-02 06:00:00,14462,9509,7536,2021-01-02 06:00:00
2021-01-02 07:00:00,19678,14839,8262,2021-01-02 07:00:00
2021-01-02 08:00:00,19523,13679,9041,2021-01-02 08:00:00
2021-01-02 09:00:00,15473,9679,8713,2021-01-02 09:00:00
2021-01-02 10:00:00,15726,9584,9056,2021-01-02 10:00:00
2021-01-02 11:00:00,16976,10910,9165,2021-01-02 11:00:00
2021-01-02 12:00:00,14537,9859,7201,2021-01-02 12:00:00
2021-01-02 13:00:00,18216,12542,9335,2021-01-02 13:00:00
2021-01-02 14:00:00,20691,14380,10424,2021-01-02 14:00:00
2021-01-02 15:00:00,19755,13668,10171,2021-01-02 15:00:00
2021-01-02 16:00:00,22417,15156,11858,2021-01-02 16:00:00
2021-01-02 17:00:00,22194,14869,11887,2021-01-02 17:00:00
2021-01-02 18:00:00,20330,13162,11308,2021-01-02 18:00:00
2021-01-02 19:00:00,21355,13236,12219,2021-01-02 19:00:00
2021-01-02 20:00:00,22050,14832,11872,2021-01-02 20:00:00
2021-01-02 21:00:00,20100,13706,10997,2021-01-02 21:00:00
2021-01-02 22:00:00,17899,11533,10040,2021-01-02 22:00:00
2021-01-02 23:00:00,18091,11458,10572,2021-01-02 23:00:00
2021-01-03 00:00:00,16853,11919,8570,2021-01-03 00:00:00
2021-01-03 01:00:00,15812,10107,9099,2021-01-03 01:00:00
2021-01-03 02:00:00,18443,12347,9844,2021-01-03 02:00:00
2021-01-03 03:00:00,18950,13344,8983,2021-01-03 03:00:00
2021-01-03 04:00:00,14538,9517,7900,2021-01-03 04:00:00
2021-01-03 05:00:00,15871,10555,8421,2021-01-03 05:00:00
2021-01-03 06:00:00,19819,12678,10828,2021-01-03 06:00:00
2021-01-03 07:00:00,22982,16595,10362,2021-01-03 07:00:00
2021-01-03 08:00:00,25360,17320,12104,2021-01-03 08:00:00
2021-01-03 09:00:00,21326,13743,11714,2021-01-03 09:00:00
2021-01-03 10:00:00,20734,13275,11407,2021-01-03 10:00:00
2021-01-03 11:00:00,21102,13281,11625,2021-01-03 11:00:00
2021-01-03 12:00:00,21411,14341,10933,2021-01-03 12:00:00
2021-01-03 13:00:00,19449,13354,9507,2021-01-03 13:00:00
2021-01-03 14:00:00,25046,17175,12779,2021-01-03 14:00:00
2021-01-03 15:00:00,31295,21138,16435,2021-01-03 15:00:00
2021-01-03 16:00:00,27449,18631,13989,2021-01-03 16:00:00
2021-01-03 17:00:00,29897,19564,16066,2021-01-03 17:00:00
2021-01-03 18:00:00,27744,17154,16175,2021-01-03 18:00:00
2021-01-03 19:00:00,23941,14662,14093,2021-01-03 19:00:00
2021-01-03 20:00:00,26425,14628,16528,2021-01-03 20:00:00
2021-01-03 21:00:00,24529,15317,13951,2021-01-03 21:00:00
2021-01-03 22:00:00,22596,15533,11878,2021-01-03 22:00:00
2021-01-03 23:00:00,22203,14819,12276,2021-01-03 23:00:00
2021-01-04 00:00:00,19912,13125,11168,2021-01-04 00:00:00
2021-01-04 01:00:00,22437,14926,11805,2021-01-04 01:00:00
2021-01-04 02:00:00,21949,15131,11083,2021-01-04 02:00:00
2021-01-04 03:00:00,25719,18378,11848,2021-01-04 03:00:00
2021-01-04 04:00:00,21851,14706,11570,2021-01-04 04:00:00
2021-01-04 05:00:00,21495,14620,10927,2021-01-04 05:00:00
2021-01-04 06:00:00,22957,15459,11658,2021-01-04 06:00:00
2021-01-04 07:00:00,31692,23108,13822,2021-01-04 07:00:00
2021-01-04 08:00:00,28961,20550,12554,2021-01-04 08:00:00
2021-01-04 09:00:00,27551,19600,11931,2021-01-04 09:00:00
2021-01-04 10:00:00,23357,16803,10290,2021-01-04 10:00:00
2021-01-04 11:00:00,25340,16473,12856,2021-01-04 11:00:00
2021-01-04 12:00:00,23246,15735,11543,2021-01-04 12:00:00
2021-01-04 13:00:00,26500,17761,13270,2021-01-04 13:00:00
2021-01-04 14:00:00,25171,17235,12266,2021-01-04 14:00:00
2021-01-04 15:00:00,27200,17289,14582,2021-01-04 15:00:00
2021-01-04 16:00:00,25504,16935,13178,2021-01-04 16:00:00
2021-01-04 17:00:00,23604,15810,12355,2021-01-04 17:00:00
2021-01-04 18:00:00,23245,14834,13050,2021-01-04 18:00:00
2021-01-04 19:00:00,22047,13393,12852,2021-01-04 19:00:00
2021-01-04 20:00:00,23125,14501,13095,2021-01-04 20:00:00
2021-01-04 21:00:00,21286,13650,11890,2021-01-04 21:00:00
2021-01-04 22:00:00,20848,12785,12129,2021-01-04 22:00:00
2021-01-04 23:00:00,19998,11934,12073,2021-01-04 23:00:00
2021-01-05 00:00:00,17994,12378,9584,2021-01-05 00:00:00
2021-01-05 01:00:00,21361,14582,11132,2021-01-05 01:00:00
2021-01-05 02:00:00,21422,15289,10375,2021-01-05 02:00:00
2021-01-05 03:00:00,22328,16345,9848,2021-01-05 03:00:00
2021-01-05 04:00:00,21017,13442,11451,2021-01-05 04:00:00
