start_time,contract_calls_count_mean,contract_calls_count_total,datetime
2021-01-01 00:00:00,105.9047619,28912,2021-01-01 00:00:00
2021-01-01 01:00:00,108.38356164,31648,2021-01-01 01:00:00
2021-01-01 02:00:00,111.84067797,32993,2021-01-01 02:00:00
2021-01-01 03:00:00,116.4,31428,2021-01-01 03:00:00
2021-01-01 04:00:00,108.9566787,30181,2021-01-01 04:00:00
2021-01-01 05:00:00,104.91901408,29797,2021-01-01 05:00:00
2021-01-01 06:00:00,114.224,28556,2021-01-01 06:00:00
2021-01-01 07:00:00,115.79835391,28139,2021-01-01 07:00:00
2021-01-01 08:00:00,111.012,27753,2021-01-01 08:00:00
2021-01-01 09:00:00,110.97580645,27522,2021-01-01 09:00:00
2021-01-01 10:00:00,101.91304348,30472,2021-01-01 10:00:00
2021-01-01 11:00:00,111.63703704,30142,2021-01-01 11:00:00
2021-01-01 12:00:00,113.7716263,32880,2021-01-01 12:00:00
2021-01-01 13:00:00,113.38970588,30842,2021-01-01 13:00:00
2021-01-01 14:00:00,122.17770035,35065,2021-01-01 14:00:00
2021-01-01 15:00:00,128.24662162,37961,2021-01-01 15:00:00
2021-01-01 16:00:00,115.86062718,33252,2021-01-01 16:00:00
2021-01-01 17:00:00,106.89112903,26509,2021-01-01 17:00:00
2021-01-01 18:00:00,99.01090909,27228,2021-01-01 18:00:00
2021-01-01 19:00:00,104.29166667,27533,2021-01-01 19:00:00
2021-01-01 20:00:00,98.3057554,27329,2021-01-01 20:00:00
2021-01-01 21:00:00,96.80524345,25847,2021-01-01 21:00:00
2021-01-01 22:00:00,99.99215686,25498,2021-01-01 22:00:00
2021-01-01 23:00:00,106.75724638,29465,2021-01-01 23:00:00
2021-01-02 00:00:00,108.28888889,29238,2021-01-02 00:00:00
2021-01-02 01:00:00,110.45149254,29601,2021-01-02 01:00:00
2021-01-02 02:00:00,116.13651877,34028,2021-01-02 02:00:00
2021-01-02 03:00:00,112.55670103,32754,2021-01-02 03:00:00
2021-01-02 04:00:00,108.0866426,29940,2021-01-02 04:00:00
2021-01-02 05:00:00,122.25093633,32641,2021-01-02 05:00:00
2021-01-02 06:00:00,117.23106061,30949,2021-01-02 06:00:00
2021-01-02 07:00:00,112.11808118,30384,2021-01-02 07:00:00
2021-01-02 08:00:00,126.61111111,34185,2021-01-02 08:00:00
2021-01-02 09:00:00,114.55518395,34252,2021-01-02 09:00:00
2021-01-02 10:00:00,113.95785441,29743,2021-01-02 10:00:00
2021-01-02 11:00:00,117.81886792,31222,2021-01-02 11:00:00
2021-01-02 12:00:00,120.5625,34722,2021-01-02 12:00:00
2021-01-02 13:00:00,123.47014925,33090,2021-01-02 13:00:00
2021-01-02 14:00:00,127.37777778,34392,2021-01-02 14:00:00
2021-01-02 15:00:00,120.32520325,29600,2021-01-02 15:00:00
2021-01-02 16:00:00,120.68055556,34756,2021-01-02 16:00:00
2021-01-02 17:00:00,116.11567164,31119,2021-01-02 17:00:00
2021-01-02 18:00:00,108.75838926,32410,2021-01-02 18:00:00
2021-01-02 19:00:00,107.91636364,29677,2021-01-02 19:00:00
2021-01-02 20:00:00,111.24723247,30148,2021-01-02 20:00:00
2021-01-02 21:00:00,113.53873239,32245,2021-01-02 21:00:00
2021-01-02 22:00:00,106.33461538,27647,2021-01-02 22:00:00
2021-01-02 23:00:00,105.73356401,30557,2021-01-02 23:00:00
2021-01-03 00:00:00,109.80737705,26793,2021-01-03 00:00:00
2021-01-03 01:00:00,115.91570881,30254,2021-01-03 01:00:00
2021-01-03 02:00:00,119.93214286,33581,2021-01-03 02:00:00
2021-01-03 03:00:00,116.30072464,32099,2021-01-03 03:00:00
2021-01-03 04:00:00,121.87341772,28884,2021-01-03 04:00:00
2021-01-03 05:00:00,120.015625,30724,2021-01-03 05:00:00
2021-01-03 06:00:00,120.63468635,32692,2021-01-03 06:00:00
2021-01-03 07:00:00,117.86259542,30880,2021-01-03 07:00:00
2021-01-03 08:00:00,120.67944251,34635,2021-01-03 08:00:00
2021-01-03 09:00:00,123.35191638,35402,2021-01-03 09:00:00
2021-01-03 10:00:00,119.68,32912,2021-01-03 10:00:00
2021-01-03 11:00:00,121.4965035,34748,2021-01-03 11:00:00
2021-01-03 12:00:00,121.56,33429,2021-01-03 12:00:00
2021-01-03 13:00:00,117.59315589,30927,2021-01-03 13:00:00
2021-01-03 14:00:00,116.84172662,32482,2021-01-03 14:00:00
2021-01-03 15:00:00,121.2877193,34567,2021-01-03 15:00:00
2021-01-03 16:00:00,112.73228346,28634,2021-01-03 16:00:00
2021-01-03 17:00:00,112.02536232,30919,2021-01-03 17:00:00
2021-01-03 18:00:00,104.80496454,29555,2021-01-03 18:00:00
2021-01-03 19:00:00,103.15503876,26614,2021-01-03 19:00:00
2021-01-03 20:00:00,95.89735099,28961,2021-01-03 20:00:00
2021-01-03 21:00:00,100.36111111,25291,2021-01-03 21:00:00
2021-01-03 22:00:00,97.75862069,25515,2021-01-03 22:00:00
2021-01-03 23:00:00,104.64552239,28045,2021-01-03 23:00:00
2021-01-04 00:00:00,107.63953488,27771,2021-01-04 00:00:00
2021-01-04 01:00:00,119.40977444,31763,2021-01-04 01:00:00
2021-01-04 02:00:00,117.04074074,31601,2021-01-04 02:00:00
2021-01-04 03:00:00,114.02020202,33864,2021-01-04 03:00:00
2021-01-04 04:00:00,121.45038168,31820,2021-01-04 04:00:00
2021-01-04 05:00:00,123.48854962,32354,2021-01-04 05:00:00
2021-01-04 06:00:00,116.41960784,29687,2021-01-04 06:00:00
2021-01-04 07:00:00,121.21052632,34545,2021-01-04 07:00:00
2021-01-04 08:00:00,123.93145161,30735,2021-01-04 08:00:00
2021-01-04 09:00:00,120.93014706,32893,2021-01-04 09:00:00
2021-01-04 10:00:00,123.78810409,33299,2021-01-04 10:00:00
2021-01-04 11:00:00,127.28518519,34367,2021-01-04 11:00:00
2021-01-04 12:00:00,125.21235521,32430,2021-01-04 12:00:00
2021-01-04 13:00:00,124.82156134,33577,2021-01-04 13:00:00
2021-01-04 14:00:00,121.73913043,33600,2021-01-04 14:00:00
2021-01-04 15:00:00,118.34385965,33728,2021-01-04 15:00:00
2021-01-04 16:00:00,112.47619048,30706,2021-01-04 16:00:00
2021-01-04 17:00:00,111.13684211,31674,2021-01-04 17:00:00
2021-01-04 18:00:00,102.14130435,28191,2021-01-04 18:00:00
2021-01-04 19:00:00,100.60483871,24950,2021-01-04 19:00:00
2021-01-04 20:00:00,96.74410774,28733,2021-01-04 20:00:00
2021-01-04 21:00:00,98.86551724,28671,2021-01-04 21:00:00
2021-01-04 22:00:00,103.51764706,26397,2021-01-04 22:00:00
2021-01-04 23:00:00,99.87241379,28963,2021-01-04 23:00:00
2021-01-05 00:00:00,103.72137405,27175,2021-01-05 00:00:00
2021-01-05 01:00:00,116.58974359,31829,2021-01-05 01:00:00
2021-01-05 02:00:00,117.51639344,28674,2021-01-05 02:00:00
2021-01-05 03:00:00,118.98785425,29390,2021-01-05 03:00:00
2021-01-05 04:00:00,117.24381625,33180,2021-01-05 04:00:00
2021-01-05 05:00:00,111.82565789,33995,2021-01-05 05:00:00
2021-01-05 06:00:00,126.92692308,33001,2021-01-05 06:00:00
2021-01-05 07:00:00,121.39416058,33262,2021-01-05 07:00:00
2021-01-05 08:00:00,124.26241135,35042,2021-01-05 08:00:00
2021-01-05 09:00:00,128.65,33449,2021-01-05 09:00:00
2021-01-05 10:00:00,125.33085502,33714,2021-01-05 10:00:00
2021-01-05 11:00:00,128.48770492,31351,2021-01-05 11:00:00
2021-01-05 12:00:00,126.05555556,36304,2021-01-05 12:00:00
2021-01-05 13:00:00,125.33876221,38479,2021-01-05 13:00:00
2021-01-05 14:00:00,128.28793774,32970,2021-01-05 14:00:00
2021-01-05 15:00:00,119.3618677,30676,2021-01-05 15:00:00
2021-01-05 16:00:00,115.692607,29733,2021-01-05 16:00:00
2021-01-05 17:00:00,108.70068027,31958,2021-01-05 17:00:00
2021-01-05 18:00:00,104.64768683,29406,2021-01-05 18:00:00
2021-01-05 19:00:00,102.10877193,29101,2021-01-05 19:00:00
2021-01-05 20:00:00,100.61458333,28977,2021-01-05 20:00:00
2021-01-05 21:00:00,99.70992366,26124,2021-01-05 21:00:00
2021-01-05 22:00:00,103.59782609,28593,2021-01-05 22:00:00
2021-01-05 23:00:00,108.57194245,30183,2021-01-05 23:00:00
