start_time,contract_calls_count_mean,contract_calls_count_total,datetime
2021-01-01 00:00:00,491.16117216,134087,2021-01-01 00:00:00
2021-01-01 01:00:00,513.59589041,149970,2021-01-01 01:00:00
2021-01-01 02:00:00,480.07457627,141622,2021-01-01 02:00:00
2021-01-01 03:00:00,461.56296296,124622,2021-01-01 03:00:00
2021-01-01 04:00:00,444.46931408,123118,2021-01-01 04:00:00
2021-01-01 05:00:00,453.68661972,128847,2021-01-01 05:00:00
2021-01-01 06:00:00,470.828,117707,2021-01-01 06:00:00
2021-01-01 07:00:00,452.06995885,109853,2021-01-01 07:00:00
2021-01-01 08:00:00,451.724,112931,2021-01-01 08:00:00
2021-01-01 09:00:00,468.91532258,116291,2021-01-01 09:00:00
2021-01-01 10:00:00,444.03344482,132766,2021-01-01 10:00:00
2021-01-01 11:00:00,484.95185185,130937,2021-01-01 11:00:00
2021-01-01 12:00:00,490.79930796,141841,2021-01-01 12:00:00
2021-01-01 13:00:00,475.80514706,129419,2021-01-01 13:00:00
2021-01-01 14:00:00,459.1010453,131762,2021-01-01 14:00:00
2021-01-01 15:00:00,497.64189189,147302,2021-01-01 15:00:00
2021-01-01 16:00:00,519.67944251,149148,2021-01-01 16:00:00
2021-01-01 17:00:00,526.5483871,130584,2021-01-01 17:00:00
2021-01-01 18:00:00,500.63272727,137674,2021-01-01 18:00:00
2021-01-01 19:00:00,520.04166667,137291,2021-01-01 19:00:00
2021-01-01 20:00:00,557.38129496,154952,2021-01-01 20:00:00
2021-01-01 21:00:00,548.93258427,146565,2021-01-01 21:00:00
2021-01-01 22:00:00,550.11372549,140279,2021-01-01 22:00:00
2021-01-01 23:00:00,572.36956522,157974,2021-01-01 23:00:00
2021-01-02 00:00:00,486.1,131247,2021-01-02 00:00:00
2021-01-02 01:00:00,470.25746269,126029,2021-01-02 01:00:00
2021-01-02 02:00:00,461.31740614,135166,2021-01-02 02:00:00
2021-01-02 03:00:00,463.96563574,135014,2021-01-02 03:00:00
2021-01-02 04:00:00,463.22021661,128312,2021-01-02 04:00:00
2021-01-02 05:00:00,475.88014981,127060,2021-01-02 05:00:00
2021-01-02 06:00:00,465.75,122958,2021-01-02 06:00:00
2021-01-02 07:00:00,478.2398524,129603,2021-01-02 07:00:00
2021-01-02 08:00:00,462.02962963,124748,2021-01-02 08:00:00
2021-01-02 09:00:00,479.70234114,143431,2021-01-02 09:00:00
2021-01-02 10:00:00,472.46360153,123313,2021-01-02 10:00:00
2021-01-02 11:00:00,490.65283019,130023,2021-01-02 11:00:00
2021-01-02 12:00:00,431.625,124308,2021-01-02 12:00:00
2021-01-02 13:00:00,434.64925373,116486,2021-01-02 13:00:00
2021-01-02 14:00:00,407.53703704,110035,2021-01-02 14:00:00
2021-01-02 15:00:00,437.01626016,107506,2021-01-02 15:00:00
2021-01-02 16:00:00,445.71875,128367,2021-01-02 16:00:00
2021-01-02 17:00:00,482.7761194,129384,2021-01-02 17:00:00
2021-01-02 18:00:00,545.67449664,162611,2021-01-02 18:00:00
2021-01-02 19:00:00,519.50909091,142865,2021-01-02 19:00:00
2021-01-02 20:00:00,487.85239852,132208,2021-01-02 20:00:00
2021-01-02 21:00:00,479.35915493,136138,2021-01-02 21:00:00
2021-01-02 22:00:00,522.44230769,135835,2021-01-02 22:00:00
2021-01-02 23:00:00,531.94463668,153732,2021-01-02 23:00:00
2021-01-03 00:00:00,465.26229508,113524,2021-01-03 00:00:00
2021-01-03 01:00:00,470.348659,122761,2021-01-03 01:00:00
2021-01-03 02:00:00,455.21785714,127461,2021-01-03 02:00:00
2021-01-03 03:00:00,462.14855072,127553,2021-01-03 03:00:00
2021-01-03 04:00:00,459.16033755,108821,2021-01-03 04:00:00
2021-01-03 05:00:00,460.23828125,117821,2021-01-03 05:00:00
2021-01-03 06:00:00,452.39483395,122599,2021-01-03 06:00:00
