start_time,contract_calls_count_mean,contract_calls_count_total,datetime
2021-01-01 00:00:00,597.06593407,162999,2021-01-01 00:00:00
2021-01-01 01:00:00,621.97945205,181618,2021-01-01 01:00:00
2021-01-01 02:00:00,591.91525424,174615,2021-01-01 02:00:00
2021-01-01 03:00:00,577.96296296,156050,2021-01-01 03:00:00
2021-01-01 04:00:00,553.42599278,153299,2021-01-01 04:00:00
2021-01-01 05:00:00,558.6056338,158644,2021-01-01 05:00:00
2021-01-01 06:00:00,585.052,146263,2021-01-01 06:00:00
2021-01-01 07:00:00,567.86831276,137992,2021-01-01 07:00:00
2021-01-01 08:00:00,562.736,140684,2021-01-01 08:00:00
2021-01-01 09:00:00,579.89112903,143813,2021-01-01 09:00:00
2021-01-01 10:00:00,545.94648829,163238,2021-01-01 10:00:00
2021-01-01 11:00:00,596.58888889,161079,2021-01-01 11:00:00
2021-01-01 12:00:00,604.57093426,174721,2021-01-01 12:00:00
2021-01-01 13:00:00,589.19485294,160261,2021-01-01 13:00:00
2021-01-01 14:00:00,581.27874564,166827,2021-01-01 14:00:00
2021-01-01 15:00:00,625.88851351,185263,2021-01-01 15:00:00
2021-01-01 16:00:00,635.54006969,182400,2021-01-01 16:00:00
2021-01-01 17:00:00,633.43951613,157093,2021-01-01 17:00:00
2021-01-01 18:00:00,599.64363636,164902,2021-01-01 18:00:00
2021-01-01 19:00:00,624.33333333,164824,2021-01-01 19:00:00
2021-01-01 20:00:00,655.68705036,182281,2021-01-01 20:00:00
2021-01-01 21:00:00,645.73782772,172412,2021-01-01 21:00:00
2021-01-01 22:00:00,650.10588235,165777,2021-01-01 22:00:00
2021-01-01 23:00:00,679.12681159,187439,2021-01-01 23:00:00
2021-01-02 00:00:00,594.38888889,160485,2021-01-02 00:00:00
2021-01-02 01:00:00,580.70895522,155630,2021-01-02 01:00:00
2021-01-02 02:00:00,577.45392491,169194,2021-01-02 02:00:00
2021-01-02 03:00:00,576.52233677,167768,2021-01-02 03:00:00
2021-01-02 04:00:00,571.30685921,158252,2021-01-02 04:00:00
2021-01-02 05:00:00,598.13108614,159701,2021-01-02 05:00:00
2021-01-02 06:00:00,582.98106061,153907,2021-01-02 06:00:00
2021-01-02 07:00:00,590.35793358,159987,2021-01-02 07:00:00
2021-01-02 08:00:00,588.64074074,158933,2021-01-02 08:00:00
2021-01-02 09:00:00,594.25752508,177683,2021-01-02 09:00:00
2021-01-02 10:00:00,586.42145594,153056,2021-01-02 10:00:00
2021-01-02 11:00:00,608.47169811,161245,2021-01-02 11:00:00
2021-01-02 12:00:00,552.1875,159030,2021-01-02 12:00:00
2021-01-02 13:00:00,558.11940299,149576,2021-01-02 13:00:00
2021-01-02 14:00:00,534.91481481,144427,2021-01-02 14:00:00
2021-01-02 15:00:00,557.34146341,137106,2021-01-02 15:00:00
2021-01-02 16:00:00,566.39930556,163123,2021-01-02 16:00:00
2021-01-02 17:00:00,598.89179104,160503,2021-01-02 17:00:00
2021-01-02 18:00:00,654.43288591,195021,2021-01-02 18:00:00
2021-01-02 19:00:00,627.42545455,172542,2021-01-02 19:00:00
2021-01-02 20:00:00,599.099631,162356,2021-01-02 20:00:00
2021-01-02 21:00:00,592.89788732,168383,2021-01-02 21:00:00
2021-01-02 22:00:00,628.77692308,163482,2021-01-02 22:00:00
2021-01-02 23:00:00,637.67820069,184289,2021-01-02 23:00:00
2021-01-03 00:00:00,575.06967213,140317,2021-01-03 00:00:00
2021-01-03 01:00:00,586.26436782,153015,2021-01-03 01:00:00
2021-01-03 02:00:00,575.15,161042,2021-01-03 02:00:00
2021-01-03 03:00:00,578.44927536,159652,2021-01-03 03:00:00
2021-01-03 04:00:00,581.03375527,137705,2021-01-03 04:00:00
2021-01-03 05:00:00,580.25390625,148545,2021-01-03 05:00:00
2021-01-03 06:00:00,573.0295203,155291,2021-01-03 06:00:00
2021-01-03 07:00:00,546.72519084,143242,2021-01-03 07:00:00
2021-01-03 08:00:00,553.81184669,158944,2021-01-03 08:00:00
2021-01-03 09:00:00,584.11149826,167640,2021-01-03 09:00:00
2021-01-03 10:00:00,577.05090909,158689,2021-01-03 10:00:00
2021-01-03 11:00:00,553.42307692,158279,2021-01-03 11:00:00
2021-01-03 12:00:00,582.32,160138,2021-01-03 12:00:00
2021-01-03 13:00:00,618.68441065,162714,2021-01-03 13:00:00
2021-01-03 14:00:00,574.22302158,159634,2021-01-03 14:00:00
2021-01-03 15:00:00,545.23508772,155392,2021-01-03 15:00:00
2021-01-03 16:00:00,546.52755906,138818,2021-01-03 16:00:00
2021-01-03 17:00:00,553.43115942,152747,2021-01-03 17:00:00
2021-01-03 18:00:00,598.20212766,168693,2021-01-03 18:00:00
2021-01-03 19:00:00,562.67054264,145169,2021-01-03 19:00:00
2021-01-03 20:00:00,560.90728477,169394,2021-01-03 20:00:00
2021-01-03 21:00:00,551.69444444,139027,2021-01-03 21:00:00
2021-01-03 22:00:00,536.55938697,140042,2021-01-03 22:00:00
2021-01-03 23:00:00,565.46268657,151544,2021-01-03 23:00:00
2021-01-04 00:00:00,549.32170543,141725,2021-01-04 00:00:00
2021-01-04 01:00:00,547.27443609,145575,2021-01-04 01:00:00
2021-01-04 02:00:00,547.75925926,147895,2021-01-04 02:00:00
2021-01-04 03:00:00,537.64983165,159682,2021-01-04 03:00:00
2021-01-04 04:00:00,555.51526718,145545,2021-01-04 04:00:00
2021-01-04 05:00:00,587.94274809,154041,2021-01-04 05:00:00
2021-01-04 06:00:00,557.90980392,142267,2021-01-04 06:00:00
2021-01-04 07:00:00,480.58947368,136968,2021-01-04 07:00:00
2021-01-04 08:00:00,451.94354839,112082,2021-01-04 08:00:00
2021-01-04 09:00:00,444.30514706,120851,2021-01-04 09:00:00
2021-01-04 10:00:00,430.86245353,115902,2021-01-04 10:00:00
2021-01-04 11:00:00,469.51851852,126770,2021-01-04 11:00:00
2021-01-04 12:00:00,476.33204633,123370,2021-01-04 12:00:00
2021-01-04 13:00:00,457.55390335,123082,2021-01-04 13:00:00
2021-01-04 14:00:00,499.26811594,137798,2021-01-04 14:00:00
2021-01-04 15:00:00,552.66666667,157510,2021-01-04 15:00:00
