start_time,datetime,failed_transactions_count_total
2021-01-01 00:00:00,2021-01-01 00:00:00,9307
2021-01-01 01:00:00,2021-01-01 01:00:00,7148
2021-01-01 02:00:00,2021-01-01 02:00:00,6573
2021-01-01 03:00:00,2021-01-01 03:00:00,5836
2021-01-01 04:00:00,2021-01-01 04:00:00,5445
2021-01-01 05:00:00,2021-01-01 05:00:00,6163
2021-01-01 06:00:00,2021-01-01 06:00:00,6309
2021-01-01 07:00:00,2021-01-01 07:00:00,4851
2021-01-01 08:00:00,2021-01-01 08:00:00,5175
2021-01-01 09:00:00,2021-01-01 09:00:00,4668
2021-01-01 10:00:00,2021-01-01 10:00:00,6576
2021-01-01 11:00:00,2021-01-01 11:00:00,6795
2021-01-01 12:00:00,2021-01-01 12:00:00,6553
2021-01-01 13:00:00,2021-01-01 13:00:00,8141
2021-01-01 14:00:00,2021-01-01 14:00:00,8822
2021-01-01 15:00:00,2021-01-01 15:00:00,8084
2021-01-01 16:00:00,2021-01-01 16:00:00,10937
2021-01-01 17:00:00,2021-01-01 17:00:00,10801
2021-01-01 18:00:00,2021-01-01 18:00:00,8021
2021-01-01 19:00:00,2021-01-01 19:00:00,6710
2021-01-01 20:00:00,2021-01-01 20:00:00,6768
2021-01-01 21:00:00,2021-01-01 21:00:00,6210
2021-01-01 22:00:00,2021-01-01 22:00:00,6342
2021-01-01 23:00:00,2021-01-01 23:00:00,10372
2021-01-02 00:00:00,2021-01-02 00:00:00,11125
2021-01-02 01:00:00,2021-01-02 01:00:00,8546
2021-01-02 02:00:00,2021-01-02 02:00:00,8236
2021-01-02 03:00:00,2021-01-02 03:00:00,5655
2021-01-02 04:00:00,2021-01-02 04:00:00,5863
2021-01-02 05:00:00,2021-01-02 05:00:00,5855
2021-01-02 06:00:00,2021-01-02 06:00:00,5902
2021-01-02 07:00:00,2021-01-02 07:00:00,9409
2021-01-02 08:00:00,2021-01-02 08:00:00,6796
2021-01-02 09:00:00,2021-01-02 09:00:00,7630
2021-01-02 10:00:00,2021-01-02 10:00:00,7207
2021-01-02 11:00:00,2021-01-02 11:00:00,7520
2021-01-02 12:00:00,2021-01-02 12:00:00,9490
2021-01-02 13:00:00,2021-01-02 13:00:00,8572
2021-01-02 14:00:00,2021-01-02 14:00:00,6951
2021-01-02 15:00:00,2021-01-02 15:00:00,16246
2021-01-02 16:00:00,2021-01-02 16:00:00,10681
2021-01-02 17:00:00,2021-01-02 17:00:00,9696
2021-01-02 18:00:00,2021-01-02 18:00:00,13562
2021-01-02 19:00:00,2021-01-02 19:00:00,18893
2021-01-02 20:00:00,2021-01-02 20:00:00,7873
2021-01-02 21:00:00,2021-01-02 21:00:00,5823
2021-01-02 22:00:00,2021-01-02 22:00:00,8480
2021-01-02 23:00:00,2021-01-02 23:00:00,7601
2021-01-03 00:00:00,2021-01-03 00:00:00,6216
2021-01-03 01:00:00,2021-01-03 01:00:00,7922
2021-01-03 02:00:00,2021-01-03 02:00:00,6192
2021-01-03 03:00:00,2021-01-03 03:00:00,5654
2021-01-03 04:00:00,2021-01-03 04:00:00,6192
2021-01-03 05:00:00,2021-01-03 05:00:00,8542
2021-01-03 06:00:00,2021-01-03 06:00:00,7394
2021-01-03 07:00:00,2021-01-03 07:00:00,6567
2021-01-03 08:00:00,2021-01-03 08:00:00,9246
2021-01-03 09:00:00,2021-01-03 09:00:00,7433
2021-01-03 10:00:00,2021-01-03 10:00:00,6936
2021-01-03 11:00:00,2021-01-03 11:00:00,6388
2021-01-03 12:00:00,2021-01-03 12:00:00,6864
2021-01-03 13:00:00,2021-01-03 13:00:00,10331
2021-01-03 14:00:00,2021-01-03 14:00:00,8142
2021-01-03 15:00:00,2021-01-03 15:00:00,7235
2021-01-03 16:00:00,2021-01-03 16:00:00,9151
2021-01-03 17:00:00,2021-01-03 17:00:00,7404
2021-01-03 18:00:00,2021-01-03 18:00:00,7967
2021-01-03 19:00:00,2021-01-03 19:00:00,6779
2021-01-03 20:00:00,2021-01-03 20:00:00,7798
2021-01-03 21:00:00,2021-01-03 21:00:00,5404
2021-01-03 22:00:00,2021-01-03 22:00:00,7818
2021-01-03 23:00:00,2021-01-03 23:00:00,9258
2021-01-04 00:00:00,2021-01-04 00:00:00,6636
2021-01-04 01:00:00,2021-01-04 01:00:00,6877
2021-01-04 02:00:00,2021-01-04 02:00:00,6515
2021-01-04 03:00:00,2021-01-04 03:00:00,7751
2021-01-04 04:00:00,2021-01-04 04:00:00,6517
2021-01-04 05:00:00,2021-01-04 05:00:00,6457
2021-01-04 06:00:00,2021-01-04 06:00:00,6465
2021-01-04 07:00:00,2021-01-04 07:00:00,7317
2021-01-04 08:00:00,2021-01-04 08:00:00,4942
2021-01-04 09:00:00,2021-01-04 09:00:00,4988
2021-01-04 10:00:00,2021-01-04 10:00:00,6473
2021-01-04 11:00:00,2021-01-04 11:00:00,4646
2021-01-04 12:00:00,2021-01-04 12:00:00,3400
2021-01-04 13:00:00,2021-01-04 13:00:00,4456
2021-01-04 14:00:00,2021-01-04 14:00:00,6810
2021-01-04 15:00:00,2021-01-04 15:00:00,6577
2021-01-04 16:00:00,2021-01-04 16:00:00,7463
2021-01-04 17:00:00,2021-01-04 17:00:00,5452
2021-01-04 18:00:00,2021-01-04 18:00:00,6976
2021-01-04 19:00:00,2021-01-04 19:00:00,4318
2021-01-04 20:00:00,2021-01-04 20:00:00,8277
2021-01-04 21:00:00,2021-01-04 21:00:00,7906
2021-01-04 22:00:00,2021-01-04 22:00:00,5284
2021-01-04 23:00:00,2021-01-04 23:00:00,5967
2021-01-05 00:00:00,2021-01-05 00:00:00,9514
2021-01-05 01:00:00,2021-01-05 01:00:00,5577
2021-01-05 02:00:00,2021-01-05 02:00:00,9964
2021-01-05 03:00:00,2021-01-05 03:00:00,5681
2021-01-05 04:00:00,2021-01-05 04:00:00,5685
2021-01-05 05:00:00,2021-01-05 05:00:00,6989
2021-01-05 06:00:00,2021-01-05 06:00:00,5649
2021-01-05 07:00:00,2021-01-05 07:00:00,4753
2021-01-05 08:00:00,2021-01-05 08:00:00,5888
2021-01-05 09:00:00,2021-01-05 09:00:00,4841
2021-01-05 10:00:00,2021-01-05 10:00:00,5332
2021-01-05 11:00:00,2021-01-05 11:00:00,4226
2021-01-05 12:00:00,2021-01-05 12:00:00,5963
2021-01-05 13:00:00,2021-01-05 13:00:00,5997
2021-01-05 14:00:00,2021-01-05 14:00:00,5170
2021-01-05 15:00:00,2021-01-05 15:00:00,5239
2021-01-05 16:00:00,2021-01-05 16:00:00,5491
2021-01-05 17:00:00,2021-01-05 17:00:00,6752
2021-01-05 18:00:00,2021-01-05 18:00:00,7018
2021-01-05 19:00:00,2021-01-05 19:00:00,11150
2021-01-05 20:00:00,2021-01-05 20:00:00,10689
2021-01-05 21:00:00,2021-01-05 21:00:00,8156
2021-01-05 22:00:00,2021-01-05 22:00:00,7226
2021-01-05 23:00:00,2021-01-05 23:00:00,7607
2021-01-06 00:00:00,2021-01-06 00:00:00,6963
2021-01-06 01:00:00,2021-01-06 01:00:00,5970
2021-01-06 02:00:00,2021-01-06 02:00:00,7558
2021-01-06 03:00:00,2021-01-06 03:00:00,4169
2021-01-06 04:00:00,2021-01-06 04:00:00,6640
2021-01-06 05:00:00,2021-01-06 05:00:00,6431
2021-01-06 06:00:00,2021-01-06 06:00:00,4299
2021-01-06 07:00:00,2021-01-06 07:00:00,6059
2021-01-06 08:00:00,2021-01-06 08:00:00,5765
2021-01-06 09:00:00,2021-01-06 09:00:00,4064
2021-01-06 10:00:00,2021-01-06 10:00:00,4664
2021-01-06 11:00:00,2021-01-06 11:00:00,5137
2021-01-06 12:00:00,2021-01-06 12:00:00,4933
2021-01-06 13:00:00,2021-01-06 13:00:00,4858
2021-01-06 14:00:00,2021-01-06 14:00:00,5695
2021-01-06 15:00:00,2021-01-06 15:00:00,4948
