start_time,datetime,supply_new,supply_total
2021-01-01 00:00:00,2021-01-01 00:00:00,579.445691182,114079424.77810864
2021-01-01 01:00:00,2021-01-01 01:00:00,633.339801683,114089274.19847016
2021-01-01 02:00:00,2021-01-01 02:00:00,633.337441717,114080691.36318237
2021-01-01 03:00:00,2021-01-01 03:00:00,586.966467064,114081276.03766748
2021-01-01 04:00:00,2021-01-01 04:00:00,589.202818697,114081867.69889817
2021-01-01 05:00:00,2021-01-01 05:00:00,607.555432696,114082475.25643672
2021-01-01 06:00:00,2021-01-01 06:00:00,536.037844218,114083011.3039486
2021-01-01 07:00:00,2021-01-01 07:00:00,518.785659063,114083530.0819082
2021-01-01 08:00:00,2021-01-01 08:00:00,537.101021174,114084067.1725246
2021-01-01 09:00:00,2021-01-01 09:00:00,538.06156878,114084605.23485604
2021-01-01 10:00:00,2021-01-01 10:00:00,650.636839141,114085255.88883676
2021-01-01 11:00:00,2021-01-01 11:00:00,586.665507328,114085842.55711716
2021-01-01 12:00:00,2021-01-01 12:00:00,627.938103942,114086470.49212112
2021-01-01 13:00:00,2021-01-01 13:00:00,592.250544937,114087062.74553336
2021-01-01 14:00:00,2021-01-01 14:00:00,610.840135319,114087673.56355429
2021-01-01 15:00:00,2021-01-01 15:00:00,640.119541864,114088313.69529912
2021-01-01 16:00:00,2021-01-01 16:00:00,620.257780889,114088933.8632356
2021-01-01 17:00:00,2021-01-01 17:00:00,538.561116712,114089472.54169536
2021-01-01 18:00:00,2021-01-01 18:00:00,576.916154996,114090049.3361704
2021-01-01 19:00:00,2021-01-01 19:00:00,564.852880685,114090614.11330748
2021-01-01 20:00:00,2021-01-01 20:00:00,596.377191964,114091210.68154566
2021-01-01 21:00:00,2021-01-01 21:00:00,575.596111065,114091786.2775868
2021-01-01 22:00:00,2021-01-01 22:00:00,548.545120691,114092334.82923564
2021-01-01 23:00:00,2021-01-01 23:00:00,592.460331332,114092927.1206264
2021-01-02 00:00:00,2021-01-02 00:00:00,575.396086849,114093502.6858566
2021-01-02 01:00:00,2021-01-02 01:00:00,588.752034352,114094091.39997356
2021-01-02 02:00:00,2021-01-02 02:00:00,625.097502961,114094716.3591314
2021-01-02 03:00:00,2021-01-02 03:00:00,628.231230768,114095344.76666464
2021-01-02 04:00:00,2021-01-02 04:00:00,610.111273978,114095954.876141
2021-01-02 05:00:00,2021-01-02 05:00:00,566.416412128,114096521.29762211
2021-01-02 06:00:00,2021-01-02 06:00:00,576.842004834,114097098.04081307
2021-01-02 07:00:00,2021-01-02 07:00:00,582.249178983,114097680.3294566
2021-01-02 08:00:00,2021-01-02 08:00:00,578.180941166,114098258.56851186
2021-01-02 09:00:00,2021-01-02 09:00:00,641.799787277,114098900.15039936
2021-01-02 10:00:00,2021-01-02 10:00:00,562.658937216,114099463.03394848
2021-01-02 11:00:00,2021-01-02 11:00:00,574.797173966,114100037.81153291
2021-01-02 12:00:00,2021-01-02 12:00:00,622.585648315,114100660.23871824
2021-01-02 13:00:00,2021-01-02 13:00:00,570.237385066,114101230.66022578
2021-01-02 14:00:00,2021-01-02 14:00:00,580.239825715,114101810.88871698
2021-01-02 15:00:00,2021-01-02 15:00:00,522.785347804,114102333.68108971
2021-01-02 16:00:00,2021-01-02 16:00:00,619.80834735,114102953.49367929
2021-01-02 17:00:00,2021-01-02 17:00:00,581.435467924,114103534.93162093
2021-01-02 18:00:00,2021-01-02 18:00:00,634.067712887,114104168.99481714
2021-01-02 19:00:00,2021-01-02 19:00:00,586.253504128,114104755.19272274
2021-01-02 20:00:00,2021-01-02 20:00:00,593.752583527,114105348.99969973
2021-01-02 21:00:00,2021-01-02 21:00:00,614.49773103,114105963.44196232
2021-01-02 22:00:00,2021-01-02 22:00:00,557.426796717,114106520.9110186
2021-01-02 23:00:00,2021-01-02 23:00:00,628.201831301,114107149.1226779
2021-01-03 00:00:00,2021-01-03 00:00:00,522.173313952,114107671.255776
2021-01-03 01:00:00,2021-01-03 01:00:00,557.06673374,114108228.36767109
2021-01-03 02:00:00,2021-01-03 02:00:00,597.939222097,114108826.30692802
2021-01-03 03:00:00,2021-01-03 03:00:00,598.614104053,114109424.8515378
2021-01-03 04:00:00,2021-01-03 04:00:00,512.826184083,114109937.75858344
2021-01-03 05:00:00,2021-01-03 05:00:00,568.286555236,114110506.03896593
2021-01-03 06:00:00,2021-01-03 06:00:00,594.779311895,114111100.82121924
2021-01-03 07:00:00,2021-01-03 07:00:00,561.938795036,114111662.7493958
2021-01-03 08:00:00,2021-01-03 08:00:00,615.467090684,114112278.12007242
2021-01-03 09:00:00,2021-01-03 09:00:00,618.977760794,114112897.21310712
2021-01-03 10:00:00,2021-01-03 10:00:00,590.219856195,114113487.3427406
2021-01-03 11:00:00,2021-01-03 11:00:00,604.181937107,114114091.54348844
2021-01-03 12:00:00,2021-01-03 12:00:00,595.358815264,114114686.90488105
2021-01-03 13:00:00,2021-01-03 13:00:00,573.283371178,114115260.25941417
2021-01-03 14:00:00,2021-01-03 14:00:00,607.203922596,114115864.9410931
2021-01-03 15:00:00,2021-01-03 15:00:00,616.205214852,114116483.66160792
