start_time,datetime,tokens_transferred_count_mean,tokens_transferred_count_total
2021-01-01 00:00:00,2021-01-01 00:00:00,41.79120879,11409
2021-01-01 01:00:00,2021-01-01 01:00:00,44.21575342,12911
2021-01-01 02:00:00,2021-01-01 02:00:00,52.54576271,15501
2021-01-01 03:00:00,2021-01-01 03:00:00,68.54444444,18507
2021-01-01 04:00:00,2021-01-01 04:00:00,74.14801444,20539
2021-01-01 05:00:00,2021-01-01 05:00:00,60.05985915,17057
2021-01-01 06:00:00,2021-01-01 06:00:00,45.24,11310
2021-01-01 07:00:00,2021-01-01 07:00:00,68.94650206,16754
2021-01-01 08:00:00,2021-01-01 08:00:00,73.364,18341
2021-01-01 09:00:00,2021-01-01 09:00:00,67.16129032,16656
2021-01-01 10:00:00,2021-01-01 10:00:00,50.2006689,15010
2021-01-01 11:00:00,2021-01-01 11:00:00,58.88518519,15899
2021-01-01 12:00:00,2021-01-01 12:00:00,56.05536332,16200
2021-01-01 13:00:00,2021-01-01 13:00:00,60.375,16422
2021-01-01 14:00:00,2021-01-01 14:00:00,58.98954704,16930
2021-01-01 15:00:00,2021-01-01 15:00:00,55.39864865,16398
2021-01-01 16:00:00,2021-01-01 16:00:00,58.45296167,16776
2021-01-01 17:00:00,2021-01-01 17:00:00,56.5,14012
2021-01-01 18:00:00,2021-01-01 18:00:00,61.02545455,16782
2021-01-01 19:00:00,2021-01-01 19:00:00,65.94318182,17409
2021-01-01 20:00:00,2021-01-01 20:00:00,51.88489209,14424
2021-01-01 21:00:00,2021-01-01 21:00:00,53.44569288,14270
2021-01-01 22:00:00,2021-01-01 22:00:00,48.85098039,12457
2021-01-01 23:00:00,2021-01-01 23:00:00,41.95289855,11579
2021-01-02 00:00:00,2021-01-02 00:00:00,41.55925926,11221
2021-01-02 01:00:00,2021-01-02 01:00:00,43.0858209,11547
2021-01-02 02:00:00,2021-01-02 02:00:00,45.23549488,13254
2021-01-02 03:00:00,2021-01-02 03:00:00,52.05841924,15149
2021-01-02 04:00:00,2021-01-02 04:00:00,58.01805054,16071
2021-01-02 05:00:00,2021-01-02 05:00:00,49.16479401,13127
2021-01-02 06:00:00,2021-01-02 06:00:00,44.11363636,11646
2021-01-02 07:00:00,2021-01-02 07:00:00,65.42804428,17731
2021-01-02 08:00:00,2021-01-02 08:00:00,62.33333333,16830
2021-01-02 09:00:00,2021-01-02 09:00:00,42.19397993,12616
2021-01-02 10:00:00,2021-01-02 10:00:00,50.30651341,13130
2021-01-02 11:00:00,2021-01-02 11:00:00,53.1509434,14085
2021-01-02 12:00:00,2021-01-02 12:00:00,43.47916667,12522
2021-01-02 13:00:00,2021-01-02 13:00:00,59.61567164,15977
2021-01-02 14:00:00,2021-01-02 14:00:00,67.55925926,18241
2021-01-02 15:00:00,2021-01-02 15:00:00,69.64634146,17133
2021-01-02 16:00:00,2021-01-02 16:00:00,66.05208333,19023
2021-01-02 17:00:00,2021-01-02 17:00:00,67.78358209,18166
2021-01-02 18:00:00,2021-01-02 18:00:00,53.25838926,15871
2021-01-02 19:00:00,2021-01-02 19:00:00,61.73818182,16978
2021-01-02 20:00:00,2021-01-02 20:00:00,67.8597786,18390
2021-01-02 21:00:00,2021-01-02 21:00:00,58.17957746,16523
2021-01-02 22:00:00,2021-01-02 22:00:00,53.67307692,13955
2021-01-02 23:00:00,2021-01-02 23:00:00,49.8200692,14398
2021-01-03 00:00:00,2021-01-03 00:00:00,59.53278689,14526
2021-01-03 01:00:00,2021-01-03 01:00:00,49.44827586,12906
2021-01-03 02:00:00,2021-01-03 02:00:00,57.06785714,15979
2021-01-03 03:00:00,2021-01-03 03:00:00,57.77173913,15945
2021-01-03 04:00:00,2021-01-03 04:00:00,49.37552743,11702
2021-01-03 05:00:00,2021-01-03 05:00:00,52.28515625,13385
2021-01-03 06:00:00,2021-01-03 06:00:00,62.47232472,16930
2021-01-03 07:00:00,2021-01-03 07:00:00,78.91603053,20676
2021-01-03 08:00:00,2021-01-03 08:00:00,77.19860627,22156
2021-01-03 09:00:00,2021-01-03 09:00:00,63.51916376,18230
2021-01-03 10:00:00,2021-01-03 10:00:00,66.13454545,18187
2021-01-03 11:00:00,2021-01-03 11:00:00,61.98601399,17728
2021-01-03 12:00:00,2021-01-03 12:00:00,64.64727273,17778
2021-01-03 13:00:00,2021-01-03 13:00:00,61.32319392,16128
2021-01-03 14:00:00,2021-01-03 14:00:00,75.3381295,20944
2021-01-03 15:00:00,2021-01-03 15:00:00,94.14035088,26830
2021-01-03 16:00:00,2021-01-03 16:00:00,88.29133858,22426
2021-01-03 17:00:00,2021-01-03 17:00:00,86.86956522,23976
2021-01-03 18:00:00,2021-01-03 18:00:00,78.40780142,22111
2021-01-03 19:00:00,2021-01-03 19:00:00,72.55813953,18720
2021-01-03 20:00:00,2021-01-03 20:00:00,71.10927152,21475
2021-01-03 21:00:00,2021-01-03 21:00:00,78.28174603,19727
2021-01-03 22:00:00,2021-01-03 22:00:00,69.87739464,18238
2021-01-03 23:00:00,2021-01-03 23:00:00,65.37313433,17520
2021-01-04 00:00:00,2021-01-04 00:00:00,62.41860465,16104
2021-01-04 01:00:00,2021-01-04 01:00:00,71.08270677,18908
2021-01-04 02:00:00,2021-01-04 02:00:00,69.47407407,18758
2021-01-04 03:00:00,2021-01-04 03:00:00,75.96969697,22563
2021-01-04 04:00:00,2021-01-04 04:00:00,69.96946565,18332
2021-01-04 05:00:00,2021-01-04 05:00:00,69.27099237,18149
2021-01-04 06:00:00,2021-01-04 06:00:00,77.23921569,19696
2021-01-04 07:00:00,2021-01-04 07:00:00,98.35087719,28030
2021-01-04 08:00:00,2021-01-04 08:00:00,103.10080645,25569
2021-01-04 09:00:00,2021-01-04 09:00:00,85.76102941,23327
2021-01-04 10:00:00,2021-01-04 10:00:00,75.69888476,20363
2021-01-04 11:00:00,2021-01-04 11:00:00,82.11851852,22172
2021-01-04 12:00:00,2021-01-04 12:00:00,78.18146718,20249
2021-01-04 13:00:00,2021-01-04 13:00:00,83.44981413,22448
2021-01-04 14:00:00,2021-01-04 14:00:00,74.63768116,20600
2021-01-04 15:00:00,2021-01-04 15:00:00,77.4877193,22084
2021-01-04 16:00:00,2021-01-04 16:00:00,76.0,20748
2021-01-04 17:00:00,2021-01-04 17:00:00,65.91578947,18786
2021-01-04 18:00:00,2021-01-04 18:00:00,66.65217391,18396
2021-01-04 19:00:00,2021-01-04 19:00:00,69.625,17267
2021-01-04 20:00:00,2021-01-04 20:00:00,61.01683502,18122
2021-01-04 21:00:00,2021-01-04 21:00:00,58.95862069,17098
2021-01-04 22:00:00,2021-01-04 22:00:00,65.29803922,16651
2021-01-04 23:00:00,2021-01-04 23:00:00,54.58965517,15831
2021-01-05 00:00:00,2021-01-05 00:00:00,57.27862595,15007
2021-01-05 01:00:00,2021-01-05 01:00:00,65.16117216,17789
2021-01-05 02:00:00,2021-01-05 02:00:00,75.69262295,18469
2021-01-05 03:00:00,2021-01-05 03:00:00,77.68825911,19189
2021-01-05 04:00:00,2021-01-05 04:00:00,62.55123675,17702
2021-01-05 05:00:00,2021-01-05 05:00:00,53.56907895,16285
2021-01-05 06:00:00,2021-01-05 06:00:00,68.93846154,17924
2021-01-05 07:00:00,2021-01-05 07:00:00,84.03649635,23026
2021-01-05 08:00:00,2021-01-05 08:00:00,91.69503546,25858
2021-01-05 09:00:00,2021-01-05 09:00:00,79.34230769,20629
2021-01-05 10:00:00,2021-01-05 10:00:00,68.26022305,18362
2021-01-05 11:00:00,2021-01-05 11:00:00,78.34016393,19115
2021-01-05 12:00:00,2021-01-05 12:00:00,66.14583333,19050
2021-01-05 13:00:00,2021-01-05 13:00:00,65.71661238,20175
2021-01-05 14:00:00,2021-01-05 14:00:00,69.50583658,17863
2021-01-05 15:00:00,2021-01-05 15:00:00,75.41634241,19382
2021-01-05 16:00:00,2021-01-05 16:00:00,73.98832685,19015
2021-01-05 17:00:00,2021-01-05 17:00:00,68.5170068,20144
2021-01-05 18:00:00,2021-01-05 18:00:00,66.10320285,18575
2021-01-05 19:00:00,2021-01-05 19:00:00,62.76842105,17889
2021-01-05 20:00:00,2021-01-05 20:00:00,67.52430556,19447
2021-01-05 21:00:00,2021-01-05 21:00:00,64.61450382,16929
2021-01-05 22:00:00,2021-01-05 22:00:00,62.53985507,17261
