start_time,datetime,tokens_transferred_count_mean,tokens_transferred_count_total
2021-01-01 00:00:00,2021-01-01 00:00:00,10.05860806,2746
2021-01-01 01:00:00,2021-01-01 01:00:00,9.60616438,2805
2021-01-01 02:00:00,2021-01-01 02:00:00,9.54576271,2816
2021-01-01 03:00:00,2021-01-01 03:00:00,9.83703704,2656
2021-01-01 04:00:00,2021-01-01 04:00:00,9.0433213,2505
2021-01-01 05:00:00,2021-01-01 05:00:00,8.8028169,2500
2021-01-01 06:00:00,2021-01-01 06:00:00,9.372,2343
2021-01-01 07:00:00,2021-01-01 07:00:00,10.03292181,2438
2021-01-01 08:00:00,2021-01-01 08:00:00,9.272,2318
2021-01-01 09:00:00,2021-01-01 09:00:00,9.11290323,2260
2021-01-01 10:00:00,2021-01-01 10:00:00,8.47826087,2535
2021-01-01 11:00:00,2021-01-01 11:00:00,10.1037037,2728
2021-01-01 12:00:00,2021-01-01 12:00:00,9.30103806,2688
2021-01-01 13:00:00,2021-01-01 13:00:00,10.20588235,2776
2021-01-01 14:00:00,2021-01-01 14:00:00,9.82229965,2819
2021-01-01 15:00:00,2021-01-01 15:00:00,11.10472973,3287
2021-01-01 16:00:00,2021-01-01 16:00:00,10.75958188,3088
2021-01-01 17:00:00,2021-01-01 17:00:00,11.34274194,2813
2021-01-01 18:00:00,2021-01-01 18:00:00,14.86909091,4089
2021-01-01 19:00:00,2021-01-01 19:00:00,14.41287879,3805
2021-01-01 20:00:00,2021-01-01 20:00:00,13.68705036,3805
2021-01-01 21:00:00,2021-01-01 21:00:00,12.88764045,3441
2021-01-01 22:00:00,2021-01-01 22:00:00,12.02352941,3066
2021-01-01 23:00:00,2021-01-01 23:00:00,11.48550725,3170
2021-01-02 00:00:00,2021-01-02 00:00:00,7.84074074,2117
2021-01-02 01:00:00,2021-01-02 01:00:00,10.13059701,2715
2021-01-02 02:00:00,2021-01-02 02:00:00,9.18430034,2691
2021-01-02 03:00:00,2021-01-02 03:00:00,9.89347079,2879
2021-01-02 04:00:00,2021-01-02 04:00:00,10.10108303,2798
2021-01-02 05:00:00,2021-01-02 05:00:00,9.65543071,2578
2021-01-02 06:00:00,2021-01-02 06:00:00,9.51893939,2513
2021-01-02 07:00:00,2021-01-02 07:00:00,9.90774908,2685
2021-01-02 08:00:00,2021-01-02 08:00:00,10.07407407,2720
2021-01-02 09:00:00,2021-01-02 09:00:00,14.44481605,4319
2021-01-02 10:00:00,2021-01-02 10:00:00,9.95402299,2598
2021-01-02 11:00:00,2021-01-02 11:00:00,11.60754717,3076
2021-01-02 12:00:00,2021-01-02 12:00:00,6.90625,1989
2021-01-02 13:00:00,2021-01-02 13:00:00,7.67537313,2057
2021-01-02 14:00:00,2021-01-02 14:00:00,8.95925926,2419
2021-01-02 15:00:00,2021-01-02 15:00:00,8.47560976,2085
2021-01-02 16:00:00,2021-01-02 16:00:00,8.87847222,2557
2021-01-02 17:00:00,2021-01-02 17:00:00,11.07835821,2969
2021-01-02 18:00:00,2021-01-02 18:00:00,11.27181208,3359
2021-01-02 19:00:00,2021-01-02 19:00:00,11.26545455,3098
2021-01-02 20:00:00,2021-01-02 20:00:00,10.89298893,2952
2021-01-02 21:00:00,2021-01-02 21:00:00,11.87676056,3373
2021-01-02 22:00:00,2021-01-02 22:00:00,11.90769231,3096
2021-01-02 23:00:00,2021-01-02 23:00:00,11.97577855,3461
2021-01-03 00:00:00,2021-01-03 00:00:00,11.14754098,2720
2021-01-03 01:00:00,2021-01-03 01:00:00,10.30651341,2690
2021-01-03 02:00:00,2021-01-03 02:00:00,9.30357143,2605
2021-01-03 03:00:00,2021-01-03 03:00:00,10.49637681,2897
2021-01-03 04:00:00,2021-01-03 04:00:00,10.37974684,2460
2021-01-03 05:00:00,2021-01-03 05:00:00,9.3046875,2382
2021-01-03 06:00:00,2021-01-03 06:00:00,9.09594096,2465
2021-01-03 07:00:00,2021-01-03 07:00:00,9.67938931,2536
2021-01-03 08:00:00,2021-01-03 08:00:00,10.56445993,3032
2021-01-03 09:00:00,2021-01-03 09:00:00,9.6271777,2763
2021-01-03 10:00:00,2021-01-03 10:00:00,9.97454545,2743
2021-01-03 11:00:00,2021-01-03 11:00:00,9.9020979,2832
2021-01-03 12:00:00,2021-01-03 12:00:00,10.46545455,2878
2021-01-03 13:00:00,2021-01-03 13:00:00,9.69581749,2550
2021-01-03 14:00:00,2021-01-03 14:00:00,9.58633094,2665
2021-01-03 15:00:00,2021-01-03 15:00:00,11.61052632,3309
2021-01-03 16:00:00,2021-01-03 16:00:00,10.2007874,2591
2021-01-03 17:00:00,2021-01-03 17:00:00,13.02536232,3595
2021-01-03 18:00:00,2021-01-03 18:00:00,13.46099291,3796
2021-01-03 19:00:00,2021-01-03 19:00:00,12.84108527,3313
2021-01-03 20:00:00,2021-01-03 20:00:00,12.56291391,3794
2021-01-03 21:00:00,2021-01-03 21:00:00,15.26190476,3846
2021-01-03 22:00:00,2021-01-03 22:00:00,13.24521073,3457
2021-01-03 23:00:00,2021-01-03 23:00:00,13.30597015,3566
2021-01-04 00:00:00,2021-01-04 00:00:00,11.04651163,2850
2021-01-04 01:00:00,2021-01-04 01:00:00,10.98120301,2921
2021-01-04 02:00:00,2021-01-04 02:00:00,11.3,3051
2021-01-04 03:00:00,2021-01-04 03:00:00,10.02693603,2978
2021-01-04 04:00:00,2021-01-04 04:00:00,9.65648855,2530
2021-01-04 05:00:00,2021-01-04 05:00:00,8.29007634,2172
2021-01-04 06:00:00,2021-01-04 06:00:00,8.12156863,2071
2021-01-04 07:00:00,2021-01-04 07:00:00,8.64912281,2465
2021-01-04 08:00:00,2021-01-04 08:00:00,9.0483871,2244
2021-01-04 09:00:00,2021-01-04 09:00:00,10.76838235,2929
2021-01-04 10:00:00,2021-01-04 10:00:00,7.72490706,2078
2021-01-04 11:00:00,2021-01-04 11:00:00,7.88518519,2129
2021-01-04 12:00:00,2021-01-04 12:00:00,7.79150579,2018
2021-01-04 13:00:00,2021-01-04 13:00:00,9.28624535,2498
2021-01-04 14:00:00,2021-01-04 14:00:00,9.45652174,2610
2021-01-04 15:00:00,2021-01-04 15:00:00,11.90175439,3392
2021-01-04 16:00:00,2021-01-04 16:00:00,11.51282051,3143
2021-01-04 17:00:00,2021-01-04 17:00:00,12.1122807,3452
2021-01-04 18:00:00,2021-01-04 18:00:00,13.71014493,3784
2021-01-04 19:00:00,2021-01-04 19:00:00,14.13306452,3505
2021-01-04 20:00:00,2021-01-04 20:00:00,13.8047138,4100
2021-01-04 21:00:00,2021-01-04 21:00:00,12.37931034,3590
2021-01-04 22:00:00,2021-01-04 22:00:00,13.61568627,3472
2021-01-04 23:00:00,2021-01-04 23:00:00,12.27931034,3561
2021-01-05 00:00:00,2021-01-05 00:00:00,8.09541985,2121
2021-01-05 01:00:00,2021-01-05 01:00:00,9.9010989,2703
2021-01-05 02:00:00,2021-01-05 02:00:00,10.06147541,2455
2021-01-05 03:00:00,2021-01-05 03:00:00,11.27125506,2784
2021-01-05 04:00:00,2021-01-05 04:00:00,10.45229682,2958
2021-01-05 05:00:00,2021-01-05 05:00:00,10.61184211,3226
2021-01-05 06:00:00,2021-01-05 06:00:00,9.38076923,2439
2021-01-05 07:00:00,2021-01-05 07:00:00,10.80656934,2961
2021-01-05 08:00:00,2021-01-05 08:00:00,9.89361702,2790
2021-01-05 09:00:00,2021-01-05 09:00:00,9.72692308,2529
2021-01-05 10:00:00,2021-01-05 10:00:00,10.09665428,2716
2021-01-05 11:00:00,2021-01-05 11:00:00,10.26639344,2505
2021-01-05 12:00:00,2021-01-05 12:00:00,10.37847222,2989
2021-01-05 13:00:00,2021-01-05 13:00:00,11.48534202,3526
2021-01-05 14:00:00,2021-01-05 14:00:00,10.3307393,2655
2021-01-05 15:00:00,2021-01-05 15:00:00,12.12062257,3115
2021-01-05 16:00:00,2021-01-05 16:00:00,10.34241245,2658
2021-01-05 17:00:00,2021-01-05 17:00:00,11.61904762,3416
2021-01-05 18:00:00,2021-01-05 18:00:00,13.01067616,3656
2021-01-05 19:00:00,2021-01-05 19:00:00,12.38947368,3531
2021-01-05 20:00:00,2021-01-05 20:00:00,13.94444444,4016
2021-01-05 21:00:00,2021-01-05 21:00:00,12.52671756,3282
