start_time,datetime,tokens_transferred_count_mean,tokens_transferred_count_total
2021-01-01 00:00:00,2021-01-01 00:00:00,28.85347985,7877
2021-01-01 01:00:00,2021-01-01 01:00:00,28.63356164,8361
2021-01-01 02:00:00,2021-01-01 02:00:00,26.42711864,7796
2021-01-01 03:00:00,2021-01-01 03:00:00,28.25555556,7629
2021-01-01 04:00:00,2021-01-01 04:00:00,27.85559567,7716
2021-01-01 05:00:00,2021-01-01 05:00:00,24.96126761,7089
2021-01-01 06:00:00,2021-01-01 06:00:00,30.06,7515
2021-01-01 07:00:00,2021-01-01 07:00:00,28.11522634,6832
2021-01-01 08:00:00,2021-01-01 08:00:00,28.752,7188
2021-01-01 09:00:00,2021-01-01 09:00:00,27.46774194,6812
2021-01-01 10:00:00,2021-01-01 10:00:00,25.24080268,7547
2021-01-01 11:00:00,2021-01-01 11:00:00,29.97777778,8094
2021-01-01 12:00:00,2021-01-01 12:00:00,28.71626298,8299
2021-01-01 13:00:00,2021-01-01 13:00:00,29.34926471,7983
2021-01-01 14:00:00,2021-01-01 14:00:00,28.67247387,8229
2021-01-01 15:00:00,2021-01-01 15:00:00,30.30067568,8969
2021-01-01 16:00:00,2021-01-01 16:00:00,33.00696864,9473
2021-01-01 17:00:00,2021-01-01 17:00:00,32.77419355,8128
2021-01-01 18:00:00,2021-01-01 18:00:00,38.58181818,10610
2021-01-01 19:00:00,2021-01-01 19:00:00,36.25757576,9572
2021-01-01 20:00:00,2021-01-01 20:00:00,36.31294964,10095
2021-01-01 21:00:00,2021-01-01 21:00:00,34.04494382,9090
2021-01-01 22:00:00,2021-01-01 22:00:00,33.25490196,8480
2021-01-01 23:00:00,2021-01-01 23:00:00,34.13768116,9422
2021-01-02 00:00:00,2021-01-02 00:00:00,24.8,6696
2021-01-02 01:00:00,2021-01-02 01:00:00,27.20895522,7292
2021-01-02 02:00:00,2021-01-02 02:00:00,26.64846416,7808
2021-01-02 03:00:00,2021-01-02 03:00:00,27.37800687,7967
2021-01-02 04:00:00,2021-01-02 04:00:00,28.71119134,7953
2021-01-02 05:00:00,2021-01-02 05:00:00,27.70037453,7396
2021-01-02 06:00:00,2021-01-02 06:00:00,27.79924242,7339
2021-01-02 07:00:00,2021-01-02 07:00:00,27.71586716,7511
2021-01-02 08:00:00,2021-01-02 08:00:00,29.57777778,7986
2021-01-02 09:00:00,2021-01-02 09:00:00,33.35117057,9972
2021-01-02 10:00:00,2021-01-02 10:00:00,29.03831418,7579
2021-01-02 11:00:00,2021-01-02 11:00:00,31.89056604,8451
2021-01-02 12:00:00,2021-01-02 12:00:00,24.5625,7074
2021-01-02 13:00:00,2021-01-02 13:00:00,25.57462687,6854
2021-01-02 14:00:00,2021-01-02 14:00:00,26.35555556,7116
2021-01-02 15:00:00,2021-01-02 15:00:00,25.66666667,6314
2021-01-02 16:00:00,2021-01-02 16:00:00,27.90625,8037
2021-01-02 17:00:00,2021-01-02 17:00:00,30.23880597,8104
2021-01-02 18:00:00,2021-01-02 18:00:00,33.33557047,9934
2021-01-02 19:00:00,2021-01-02 19:00:00,31.78181818,8740
2021-01-02 20:00:00,2021-01-02 20:00:00,30.77121771,8339
2021-01-02 21:00:00,2021-01-02 21:00:00,32.20774648,9147
2021-01-02 22:00:00,2021-01-02 22:00:00,32.11153846,8349
2021-01-02 23:00:00,2021-01-02 23:00:00,32.50519031,9394
2021-01-03 00:00:00,2021-01-03 00:00:00,29.39754098,7173
2021-01-03 01:00:00,2021-01-03 01:00:00,29.96551724,7821
2021-01-03 02:00:00,2021-01-03 02:00:00,26.56428571,7438
2021-01-03 03:00:00,2021-01-03 03:00:00,26.42753623,7294
2021-01-03 04:00:00,2021-01-03 04:00:00,29.17299578,6914
2021-01-03 05:00:00,2021-01-03 05:00:00,27.0546875,6926
2021-01-03 06:00:00,2021-01-03 06:00:00,27.88560886,7557
2021-01-03 07:00:00,2021-01-03 07:00:00,28.25954198,7404
2021-01-03 08:00:00,2021-01-03 08:00:00,29.49825784,8466
2021-01-03 09:00:00,2021-01-03 09:00:00,29.46341463,8456
2021-01-03 10:00:00,2021-01-03 10:00:00,30.29454545,8331
2021-01-03 11:00:00,2021-01-03 11:00:00,27.72727273,7930
2021-01-03 12:00:00,2021-01-03 12:00:00,30.93454545,8507
2021-01-03 13:00:00,2021-01-03 13:00:00,33.14068441,8716
