start_time,datetime,tokens_transferred_count_mean,tokens_transferred_count_total
2021-01-01 00:00:00,2021-01-01 00:00:00,38.91208791,10623
2021-01-01 01:00:00,2021-01-01 01:00:00,38.23972603,11166
2021-01-01 02:00:00,2021-01-01 02:00:00,35.97288136,10612
2021-01-01 03:00:00,2021-01-01 03:00:00,38.09259259,10285
2021-01-01 04:00:00,2021-01-01 04:00:00,36.89891697,10221
2021-01-01 05:00:00,2021-01-01 05:00:00,33.76408451,9589
2021-01-01 06:00:00,2021-01-01 06:00:00,39.432,9858
2021-01-01 07:00:00,2021-01-01 07:00:00,38.14814815,9270
2021-01-01 08:00:00,2021-01-01 08:00:00,38.024,9506
2021-01-01 09:00:00,2021-01-01 09:00:00,36.58064516,9072
2021-01-01 10:00:00,2021-01-01 10:00:00,33.71906355,10082
2021-01-01 11:00:00,2021-01-01 11:00:00,40.08148148,10822
2021-01-01 12:00:00,2021-01-01 12:00:00,38.01730104,10987
2021-01-01 13:00:00,2021-01-01 13:00:00,39.55514706,10759
2021-01-01 14:00:00,2021-01-01 14:00:00,38.49477352,11048
2021-01-01 15:00:00,2021-01-01 15:00:00,41.40540541,12256
2021-01-01 16:00:00,2021-01-01 16:00:00,43.76655052,12561
2021-01-01 17:00:00,2021-01-01 17:00:00,44.11693548,10941
2021-01-01 18:00:00,2021-01-01 18:00:00,53.45090909,14699
2021-01-01 19:00:00,2021-01-01 19:00:00,50.67045455,13377
2021-01-01 20:00:00,2021-01-01 20:00:00,50.0,13900
2021-01-01 21:00:00,2021-01-01 21:00:00,46.93258427,12531
2021-01-01 22:00:00,2021-01-01 22:00:00,45.27843137,11546
2021-01-01 23:00:00,2021-01-01 23:00:00,45.62318841,12592
2021-01-02 00:00:00,2021-01-02 00:00:00,32.64074074,8813
2021-01-02 01:00:00,2021-01-02 01:00:00,37.33955224,10007
2021-01-02 02:00:00,2021-01-02 02:00:00,35.83276451,10499
2021-01-02 03:00:00,2021-01-02 03:00:00,37.27147766,10846
2021-01-02 04:00:00,2021-01-02 04:00:00,38.81227437,10751
2021-01-02 05:00:00,2021-01-02 05:00:00,37.35580524,9974
2021-01-02 06:00:00,2021-01-02 06:00:00,37.31818182,9852
2021-01-02 07:00:00,2021-01-02 07:00:00,37.62361624,10196
2021-01-02 08:00:00,2021-01-02 08:00:00,39.65185185,10706
2021-01-02 09:00:00,2021-01-02 09:00:00,47.79598662,14291
2021-01-02 10:00:00,2021-01-02 10:00:00,38.99233716,10177
2021-01-02 11:00:00,2021-01-02 11:00:00,43.49811321,11527
2021-01-02 12:00:00,2021-01-02 12:00:00,31.46875,9063
2021-01-02 13:00:00,2021-01-02 13:00:00,33.25,8911
2021-01-02 14:00:00,2021-01-02 14:00:00,35.31481481,9535
2021-01-02 15:00:00,2021-01-02 15:00:00,34.14227642,8399
2021-01-02 16:00:00,2021-01-02 16:00:00,36.78472222,10594
2021-01-02 17:00:00,2021-01-02 17:00:00,41.31716418,11073
2021-01-02 18:00:00,2021-01-02 18:00:00,44.60738255,13293
2021-01-02 19:00:00,2021-01-02 19:00:00,43.04727273,11838
2021-01-02 20:00:00,2021-01-02 20:00:00,41.66420664,11291
2021-01-02 21:00:00,2021-01-02 21:00:00,44.08450704,12520
2021-01-02 22:00:00,2021-01-02 22:00:00,44.01923077,11445
2021-01-02 23:00:00,2021-01-02 23:00:00,44.48096886,12855
2021-01-03 00:00:00,2021-01-03 00:00:00,40.54508197,9893
2021-01-03 01:00:00,2021-01-03 01:00:00,40.27203065,10511
2021-01-03 02:00:00,2021-01-03 02:00:00,35.86785714,10043
2021-01-03 03:00:00,2021-01-03 03:00:00,36.92391304,10191
2021-01-03 04:00:00,2021-01-03 04:00:00,39.55274262,9374
2021-01-03 05:00:00,2021-01-03 05:00:00,36.359375,9308
2021-01-03 06:00:00,2021-01-03 06:00:00,36.98154982,10022
2021-01-03 07:00:00,2021-01-03 07:00:00,37.9389313,9940
2021-01-03 08:00:00,2021-01-03 08:00:00,40.06271777,11498
2021-01-03 09:00:00,2021-01-03 09:00:00,39.09059233,11219
2021-01-03 10:00:00,2021-01-03 10:00:00,40.26909091,11074
2021-01-03 11:00:00,2021-01-03 11:00:00,37.62937063,10762
2021-01-03 12:00:00,2021-01-03 12:00:00,41.4,11385
2021-01-03 13:00:00,2021-01-03 13:00:00,42.8365019,11266
2021-01-03 14:00:00,2021-01-03 14:00:00,40.6942446,11313
2021-01-03 15:00:00,2021-01-03 15:00:00,42.92631579,12234
2021-01-03 16:00:00,2021-01-03 16:00:00,40.70866142,10340
2021-01-03 17:00:00,2021-01-03 17:00:00,47.44202899,13094
2021-01-03 18:00:00,2021-01-03 18:00:00,49.81914894,14049
2021-01-03 19:00:00,2021-01-03 19:00:00,48.57751938,12533
2021-01-03 20:00:00,2021-01-03 20:00:00,50.8013245,15342
2021-01-03 21:00:00,2021-01-03 21:00:00,57.22222222,14420
2021-01-03 22:00:00,2021-01-03 22:00:00,53.68199234,14011
2021-01-03 23:00:00,2021-01-03 23:00:00,50.98134328,13663
2021-01-04 00:00:00,2021-01-04 00:00:00,42.06589147,10853
2021-01-04 01:00:00,2021-01-04 01:00:00,40.97368421,10899
2021-01-04 02:00:00,2021-01-04 02:00:00,43.1037037,11638
2021-01-04 03:00:00,2021-01-04 03:00:00,41.62626263,12363
2021-01-04 04:00:00,2021-01-04 04:00:00,39.23282443,10279
2021-01-04 05:00:00,2021-01-04 05:00:00,37.60305344,9852
2021-01-04 06:00:00,2021-01-04 06:00:00,36.50980392,9310
2021-01-04 07:00:00,2021-01-04 07:00:00,32.75087719,9334
2021-01-04 08:00:00,2021-01-04 08:00:00,32.75403226,8123
2021-01-04 09:00:00,2021-01-04 09:00:00,34.92279412,9499
