start_time,datetime,tokens_transferred_count_mean,tokens_transferred_count_total
2021-01-01 00:00:00,2021-01-01 00:00:00,51.84981685,14155
2021-01-01 01:00:00,2021-01-01 01:00:00,53.82191781,15716
2021-01-01 02:00:00,2021-01-01 02:00:00,62.09152542,18317
2021-01-01 03:00:00,2021-01-01 03:00:00,78.38148148,21163
2021-01-01 04:00:00,2021-01-01 04:00:00,83.19133574,23044
2021-01-01 05:00:00,2021-01-01 05:00:00,68.86267606,19557
2021-01-01 06:00:00,2021-01-01 06:00:00,54.612,13653
2021-01-01 07:00:00,2021-01-01 07:00:00,78.97942387,19192
2021-01-01 08:00:00,2021-01-01 08:00:00,82.636,20659
2021-01-01 09:00:00,2021-01-01 09:00:00,76.27419355,18916
2021-01-01 10:00:00,2021-01-01 10:00:00,58.67892977,17545
2021-01-01 11:00:00,2021-01-01 11:00:00,68.98888889,18627
2021-01-01 12:00:00,2021-01-01 12:00:00,65.35640138,18888
2021-01-01 13:00:00,2021-01-01 13:00:00,70.58088235,19198
2021-01-01 14:00:00,2021-01-01 14:00:00,68.81184669,19749
2021-01-01 15:00:00,2021-01-01 15:00:00,66.50337838,19685
2021-01-01 16:00:00,2021-01-01 16:00:00,69.21254355,19864
2021-01-01 17:00:00,2021-01-01 17:00:00,67.84274194,16825
2021-01-01 18:00:00,2021-01-01 18:00:00,75.89454545,20871
2021-01-01 19:00:00,2021-01-01 19:00:00,80.35606061,21214
2021-01-01 20:00:00,2021-01-01 20:00:00,65.57194245,18229
2021-01-01 21:00:00,2021-01-01 21:00:00,66.33333333,17711
2021-01-01 22:00:00,2021-01-01 22:00:00,60.8745098,15523
2021-01-01 23:00:00,2021-01-01 23:00:00,53.4384058,14749
2021-01-02 00:00:00,2021-01-02 00:00:00,49.4,13338
2021-01-02 01:00:00,2021-01-02 01:00:00,53.21641791,14262
2021-01-02 02:00:00,2021-01-02 02:00:00,54.41979522,15945
2021-01-02 03:00:00,2021-01-02 03:00:00,61.95189003,18028
2021-01-02 04:00:00,2021-01-02 04:00:00,68.11913357,18869
2021-01-02 05:00:00,2021-01-02 05:00:00,58.82022472,15705
2021-01-02 06:00:00,2021-01-02 06:00:00,53.63257576,14159
2021-01-02 07:00:00,2021-01-02 07:00:00,75.33579336,20416
2021-01-02 08:00:00,2021-01-02 08:00:00,72.40740741,19550
2021-01-02 09:00:00,2021-01-02 09:00:00,56.63879599,16935
2021-01-02 10:00:00,2021-01-02 10:00:00,60.2605364,15728
2021-01-02 11:00:00,2021-01-02 11:00:00,64.75849057,17161
2021-01-02 12:00:00,2021-01-02 12:00:00,50.38541667,14511
2021-01-02 13:00:00,2021-01-02 13:00:00,67.29104478,18034
2021-01-02 14:00:00,2021-01-02 14:00:00,76.51851852,20660
2021-01-02 15:00:00,2021-01-02 15:00:00,78.12195122,19218
2021-01-02 16:00:00,2021-01-02 16:00:00,74.93055556,21580
2021-01-02 17:00:00,2021-01-02 17:00:00,78.8619403,21135
2021-01-02 18:00:00,2021-01-02 18:00:00,64.53020134,19230
2021-01-02 19:00:00,2021-01-02 19:00:00,73.00363636,20076
2021-01-02 20:00:00,2021-01-02 20:00:00,78.75276753,21342
2021-01-02 21:00:00,2021-01-02 21:00:00,70.05633803,19896
2021-01-02 22:00:00,2021-01-02 22:00:00,65.58076923,17051
2021-01-02 23:00:00,2021-01-02 23:00:00,61.79584775,17859
2021-01-03 00:00:00,2021-01-03 00:00:00,70.68032787,17246
2021-01-03 01:00:00,2021-01-03 01:00:00,59.75478927,15596
2021-01-03 02:00:00,2021-01-03 02:00:00,66.37142857,18584
2021-01-03 03:00:00,2021-01-03 03:00:00,68.26811594,18842
2021-01-03 04:00:00,2021-01-03 04:00:00,59.75527426,14162
2021-01-03 05:00:00,2021-01-03 05:00:00,61.58984375,15767
2021-01-03 06:00:00,2021-01-03 06:00:00,71.56826568,19395
2021-01-03 07:00:00,2021-01-03 07:00:00,88.59541985,23212
2021-01-03 08:00:00,2021-01-03 08:00:00,87.7630662,25188
2021-01-03 09:00:00,2021-01-03 09:00:00,73.14634146,20993
2021-01-03 10:00:00,2021-01-03 10:00:00,76.10909091,20930
2021-01-03 11:00:00,2021-01-03 11:00:00,71.88811189,20560
2021-01-03 12:00:00,2021-01-03 12:00:00,75.11272727,20656
2021-01-03 13:00:00,2021-01-03 13:00:00,71.01901141,18678
2021-01-03 14:00:00,2021-01-03 14:00:00,84.92446043,23609
2021-01-03 15:00:00,2021-01-03 15:00:00,105.75087719,30139
2021-01-03 16:00:00,2021-01-03 16:00:00,98.49212598,25017
2021-01-03 17:00:00,2021-01-03 17:00:00,99.89492754,27571
2021-01-03 18:00:00,2021-01-03 18:00:00,91.86879433,25907
2021-01-03 19:00:00,2021-01-03 19:00:00,85.39922481,22033
2021-01-03 20:00:00,2021-01-03 20:00:00,83.67218543,25269
2021-01-03 21:00:00,2021-01-03 21:00:00,93.54365079,23573
2021-01-03 22:00:00,2021-01-03 22:00:00,83.12260536,21695
2021-01-03 23:00:00,2021-01-03 23:00:00,78.67910448,21086
2021-01-04 00:00:00,2021-01-04 00:00:00,73.46511628,18954
2021-01-04 01:00:00,2021-01-04 01:00:00,82.06390977,21829
2021-01-04 02:00:00,2021-01-04 02:00:00,80.77407407,21809
2021-01-04 03:00:00,2021-01-04 03:00:00,85.996633,25541
2021-01-04 04:00:00,2021-01-04 04:00:00,79.6259542,20862
2021-01-04 05:00:00,2021-01-04 05:00:00,77.5610687,20321
2021-01-04 06:00:00,2021-01-04 06:00:00,85.36078431,21767
2021-01-04 07:00:00,2021-01-04 07:00:00,107.0,30495
2021-01-04 08:00:00,2021-01-04 08:00:00,112.14919355,27813
2021-01-04 09:00:00,2021-01-04 09:00:00,96.52941176,26256
2021-01-04 10:00:00,2021-01-04 10:00:00,83.42379182,22441
2021-01-04 11:00:00,2021-01-04 11:00:00,90.0037037,24301
2021-01-04 12:00:00,2021-01-04 12:00:00,85.97297297,22267
2021-01-04 13:00:00,2021-01-04 13:00:00,92.73605948,24946
2021-01-04 14:00:00,2021-01-04 14:00:00,84.0942029,23210
