start_time,datetime,transactions_count_mean,transactions_count_total
2021-01-01 00:00:00,2021-01-01 00:00:00,640.40659341,174831
2021-01-01 01:00:00,2021-01-01 01:00:00,667.74315068,194981
2021-01-01 02:00:00,2021-01-01 02:00:00,645.93559322,190551
2021-01-01 03:00:00,2021-01-01 03:00:00,647.57777778,174846
2021-01-01 04:00:00,2021-01-01 04:00:00,628.37906137,174061
2021-01-01 05:00:00,2021-01-01 05:00:00,619.85915493,176040
2021-01-01 06:00:00,2021-01-01 06:00:00,631.656,157914
2021-01-01 07:00:00,2021-01-01 07:00:00,638.04938272,155046
2021-01-01 08:00:00,2021-01-01 08:00:00,637.508,159377
2021-01-01 09:00:00,2021-01-01 09:00:00,648.20967742,160756
2021-01-01 10:00:00,2021-01-01 10:00:00,597.09698997,178532
2021-01-01 11:00:00,2021-01-01 11:00:00,656.9,177363
2021-01-01 12:00:00,2021-01-01 12:00:00,662.1799308,191370
2021-01-01 13:00:00,2021-01-01 13:00:00,651.25,177140
2021-01-01 14:00:00,2021-01-01 14:00:00,641.69686411,184167
2021-01-01 15:00:00,2021-01-01 15:00:00,682.85135135,202124
2021-01-01 16:00:00,2021-01-01 16:00:00,695.45296167,199595
2021-01-01 17:00:00,2021-01-01 17:00:00,691.96370968,171607
2021-01-01 18:00:00,2021-01-01 18:00:00,662.26181818,182122
2021-01-01 19:00:00,2021-01-01 19:00:00,692.01515152,182692
2021-01-01 20:00:00,2021-01-01 20:00:00,708.85971223,197063
2021-01-01 21:00:00,2021-01-01 21:00:00,700.41198502,187010
2021-01-01 22:00:00,2021-01-01 22:00:00,700.65490196,178667
2021-01-01 23:00:00,2021-01-01 23:00:00,722.85144928,199507
2021-01-02 00:00:00,2021-01-02 00:00:00,638.32222222,172347
2021-01-02 01:00:00,2021-01-02 01:00:00,625.60074627,167661
2021-01-02 02:00:00,2021-01-02 02:00:00,623.63481229,182725
2021-01-02 03:00:00,2021-01-02 03:00:00,629.68041237,183237
2021-01-02 04:00:00,2021-01-02 04:00:00,630.29602888,174592
2021-01-02 05:00:00,2021-01-02 05:00:00,648.1423221,173054
2021-01-02 06:00:00,2021-01-02 06:00:00,628.08712121,165815
2021-01-02 07:00:00,2021-01-02 07:00:00,657.05904059,178063
2021-01-02 08:00:00,2021-01-02 08:00:00,652.3,176121
2021-01-02 09:00:00,2021-01-02 09:00:00,637.67892977,190666
2021-01-02 10:00:00,2021-01-02 10:00:00,637.84291188,166477
2021-01-02 11:00:00,2021-01-02 11:00:00,663.08301887,175717
2021-01-02 12:00:00,2021-01-02 12:00:00,597.74652778,172151
2021-01-02 13:00:00,2021-01-02 13:00:00,619.6119403,166056
2021-01-02 14:00:00,2021-01-02 14:00:00,604.34444444,163173
2021-01-02 15:00:00,2021-01-02 15:00:00,629.2601626,154798
2021-01-02 16:00:00,2021-01-02 16:00:00,634.71875,182799
2021-01-02 17:00:00,2021-01-02 17:00:00,668.54850746,179171
2021-01-02 18:00:00,2021-01-02 18:00:00,709.6409396,211473
2021-01-02 19:00:00,2021-01-02 19:00:00,690.78909091,189967
2021-01-02 20:00:00,2021-01-02 20:00:00,668.81918819,181250
2021-01-02 21:00:00,2021-01-02 21:00:00,652.88380282,185419
2021-01-02 22:00:00,2021-01-02 22:00:00,684.20384615,177893
2021-01-02 23:00:00,2021-01-02 23:00:00,689.1349481,199160
2021-01-03 00:00:00,2021-01-03 00:00:00,636.76639344,155371
2021-01-03 01:00:00,2021-01-03 01:00:00,637.05747126,166272
2021-01-03 02:00:00,2021-01-03 02:00:00,633.48571429,177376
2021-01-03 03:00:00,2021-01-03 03:00:00,637.41666667,175927
2021-01-03 04:00:00,2021-01-03 04:00:00,632.0,149784
2021-01-03 05:00:00,2021-01-03 05:00:00,634.26953125,162373
2021-01-03 06:00:00,2021-01-03 06:00:00,636.99630996,172626
2021-01-03 07:00:00,2021-01-03 07:00:00,627.1221374,164306
2021-01-03 08:00:00,2021-01-03 08:00:00,632.29965157,181470
2021-01-03 09:00:00,2021-01-03 09:00:00,649.04878049,186277
2021-01-03 10:00:00,2021-01-03 10:00:00,644.89454545,177346
2021-01-03 11:00:00,2021-01-03 11:00:00,616.84615385,176418
2021-01-03 12:00:00,2021-01-03 12:00:00,648.41090909,178313
2021-01-03 13:00:00,2021-01-03 13:00:00,682.70342205,179551
2021-01-03 14:00:00,2021-01-03 14:00:00,652.44964029,181381
2021-01-03 15:00:00,2021-01-03 15:00:00,641.97192982,182962
2021-01-03 16:00:00,2021-01-03 16:00:00,637.59055118,161948
2021-01-03 17:00:00,2021-01-03 17:00:00,642.89855072,177440
2021-01-03 18:00:00,2021-01-03 18:00:00,678.70921986,191396
2021-01-03 19:00:00,2021-01-03 19:00:00,637.34108527,164434
2021-01-03 20:00:00,2021-01-03 20:00:00,633.45695364,191304
2021-01-03 21:00:00,2021-01-03 21:00:00,631.86904762,159231
2021-01-03 22:00:00,2021-01-03 22:00:00,608.39846743,158792
2021-01-03 23:00:00,2021-01-03 23:00:00,633.5858209,169801
2021-01-04 00:00:00,2021-01-04 00:00:00,613.80620155,158362
2021-01-04 01:00:00,2021-01-04 01:00:00,620.0037594,164921
2021-01-04 02:00:00,2021-01-04 02:00:00,618.65555556,167037
2021-01-04 03:00:00,2021-01-04 03:00:00,615.18181818,182709
2021-01-04 04:00:00,2021-01-04 04:00:00,627.66412214,164448
2021-01-04 05:00:00,2021-01-04 05:00:00,659.19465649,172709
2021-01-04 06:00:00,2021-01-04 06:00:00,637.96078431,162680
2021-01-04 07:00:00,2021-01-04 07:00:00,581.67017544,165776
2021-01-04 08:00:00,2021-01-04 08:00:00,557.26612903,138202
2021-01-04 09:00:00,2021-01-04 09:00:00,532.33823529,144796
2021-01-04 10:00:00,2021-01-04 10:00:00,508.88475836,136890
2021-01-04 11:00:00,2021-01-04 11:00:00,553.5037037,149446
2021-01-04 12:00:00,2021-01-04 12:00:00,555.98455598,144000
2021-01-04 13:00:00,2021-01-04 13:00:00,543.08178439,146089
2021-01-04 14:00:00,2021-01-04 14:00:00,575.63405797,158875
2021-01-04 15:00:00,2021-01-04 15:00:00,631.89473684,180090
2021-01-04 16:00:00,2021-01-04 16:00:00,622.38461538,169911
2021-01-04 17:00:00,2021-01-04 17:00:00,634.12631579,180726
2021-01-04 18:00:00,2021-01-04 18:00:00,626.11594203,172808
2021-01-04 19:00:00,2021-01-04 19:00:00,631.77016129,156679
2021-01-04 20:00:00,2021-01-04 20:00:00,657.3973064,195247
2021-01-04 21:00:00,2021-01-04 21:00:00,662.82758621,192220
2021-01-04 22:00:00,2021-01-04 22:00:00,615.15686275,156865
2021-01-04 23:00:00,2021-01-04 23:00:00,632.40344828,183397
2021-01-05 00:00:00,2021-01-05 00:00:00,705.54961832,184854
2021-01-05 01:00:00,2021-01-05 01:00:00,580.71428571,158535
2021-01-05 02:00:00,2021-01-05 02:00:00,608.53278689,148482
2021-01-05 03:00:00,2021-01-05 03:00:00,615.048583,151917
2021-01-05 04:00:00,2021-01-05 04:00:00,598.20141343,169291
2021-01-05 05:00:00,2021-01-05 05:00:00,580.0,176320
2021-01-05 06:00:00,2021-01-05 06:00:00,595.98076923,154955
2021-01-05 07:00:00,2021-01-05 07:00:00,556.51459854,152485
2021-01-05 08:00:00,2021-01-05 08:00:00,613.65957447,173052
2021-01-05 09:00:00,2021-01-05 09:00:00,614.81538462,159852
2021-01-05 10:00:00,2021-01-05 10:00:00,615.20817844,165491
2021-01-05 11:00:00,2021-01-05 11:00:00,610.04918033,148852
2021-01-05 12:00:00,2021-01-05 12:00:00,610.91319444,175943
2021-01-05 13:00:00,2021-01-05 13:00:00,628.34527687,192902
2021-01-05 14:00:00,2021-01-05 14:00:00,591.6848249,152063
2021-01-05 15:00:00,2021-01-05 15:00:00,640.62645914,164641
