start_time,datetime,transactions_count_mean,transactions_count_total
2021-01-01 00:00:00,2021-01-01 00:00:00,43.34065934,11832
2021-01-01 01:00:00,2021-01-01 01:00:00,45.76369863,13363
2021-01-01 02:00:00,2021-01-01 02:00:00,54.02033898,15936
2021-01-01 03:00:00,2021-01-01 03:00:00,69.61481481,18796
2021-01-01 04:00:00,2021-01-01 04:00:00,74.95306859,20762
2021-01-01 05:00:00,2021-01-01 05:00:00,61.25352113,17396
2021-01-01 06:00:00,2021-01-01 06:00:00,46.604,11651
2021-01-01 07:00:00,2021-01-01 07:00:00,70.18106996,17054
2021-01-01 08:00:00,2021-01-01 08:00:00,74.772,18693
2021-01-01 09:00:00,2021-01-01 09:00:00,68.31854839,16943
2021-01-01 10:00:00,2021-01-01 10:00:00,51.15050167,15294
2021-01-01 11:00:00,2021-01-01 11:00:00,60.31111111,16284
2021-01-01 12:00:00,2021-01-01 12:00:00,57.60899654,16649
2021-01-01 13:00:00,2021-01-01 13:00:00,62.05514706,16879
2021-01-01 14:00:00,2021-01-01 14:00:00,60.41811847,17340
2021-01-01 15:00:00,2021-01-01 15:00:00,56.96283784,16861
2021-01-01 16:00:00,2021-01-01 16:00:00,59.91289199,17195
2021-01-01 17:00:00,2021-01-01 17:00:00,58.52419355,14514
2021-01-01 18:00:00,2021-01-01 18:00:00,62.61818182,17220
2021-01-01 19:00:00,2021-01-01 19:00:00,67.68181818,17868
2021-01-01 20:00:00,2021-01-01 20:00:00,53.17266187,14782
2021-01-01 21:00:00,2021-01-01 21:00:00,54.6741573,14598
2021-01-01 22:00:00,2021-01-01 22:00:00,50.54901961,12890
2021-01-01 23:00:00,2021-01-01 23:00:00,43.72463768,12068
2021-01-02 00:00:00,2021-01-02 00:00:00,43.93333333,11862
2021-01-02 01:00:00,2021-01-02 01:00:00,44.89179104,12031
2021-01-02 02:00:00,2021-01-02 02:00:00,46.18088737,13531
2021-01-02 03:00:00,2021-01-02 03:00:00,53.1580756,15469
2021-01-02 04:00:00,2021-01-02 04:00:00,58.98916968,16340
2021-01-02 05:00:00,2021-01-02 05:00:00,50.01123596,13353
2021-01-02 06:00:00,2021-01-02 06:00:00,45.10606061,11908
2021-01-02 07:00:00,2021-01-02 07:00:00,66.70110701,18076
2021-01-02 08:00:00,2021-01-02 08:00:00,63.65925926,17188
2021-01-02 09:00:00,2021-01-02 09:00:00,43.42140468,12983
2021-01-02 10:00:00,2021-01-02 10:00:00,51.42145594,13421
2021-01-02 11:00:00,2021-01-02 11:00:00,54.61132075,14472
2021-01-02 12:00:00,2021-01-02 12:00:00,45.55902778,13121
2021-01-02 13:00:00,2021-01-02 13:00:00,61.49253731,16480
2021-01-02 14:00:00,2021-01-02 14:00:00,69.42962963,18746
2021-01-02 15:00:00,2021-01-02 15:00:00,71.91869919,17692
