start_time,datetime,transactions_count_mean,transactions_count_total
2021-01-01 00:00:00,2021-01-01 00:00:00,157.28205128,42938
2021-01-01 01:00:00,2021-01-01 01:00:00,159.98287671,46715
2021-01-01 02:00:00,2021-01-01 02:00:00,171.36271186,50552
2021-01-01 03:00:00,2021-01-01 03:00:00,191.30740741,51653
2021-01-01 04:00:00,2021-01-01 04:00:00,187.36823105,51901
2021-01-01 05:00:00,2021-01-01 05:00:00,170.91901408,48541
2021-01-01 06:00:00,2021-01-01 06:00:00,165.352,41338
2021-01-01 07:00:00,2021-01-01 07:00:00,190.58436214,46312
2021-01-01 08:00:00,2021-01-01 08:00:00,190.668,47667
2021-01-01 09:00:00,2021-01-01 09:00:00,183.72580645,45564
2021-01-01 10:00:00,2021-01-01 10:00:00,156.52173913,46800
2021-01-01 11:00:00,2021-01-01 11:00:00,177.05925926,47806
2021-01-01 12:00:00,2021-01-01 12:00:00,176.29065744,50948
2021-01-01 13:00:00,2021-01-01 13:00:00,181.38602941,49337
2021-01-01 14:00:00,2021-01-01 14:00:00,188.33797909,54053
2021-01-01 15:00:00,2021-01-01 15:00:00,190.87162162,56498
2021-01-01 16:00:00,2021-01-01 16:00:00,184.00348432,52809
2021-01-01 17:00:00,2021-01-01 17:00:00,174.61290323,43304
2021-01-01 18:00:00,2021-01-01 18:00:00,168.58545455,46361
2021-01-01 19:00:00,2021-01-01 19:00:00,177.4469697,46846
2021-01-01 20:00:00,2021-01-01 20:00:00,157.28057554,43724
2021-01-01 21:00:00,2021-01-01 21:00:00,156.62172285,41818
2021-01-01 22:00:00,2021-01-01 22:00:00,155.79607843,39728
2021-01-01 23:00:00,2021-01-01 23:00:00,157.60507246,43499
2021-01-02 00:00:00,2021-01-02 00:00:00,160.43333333,43317
2021-01-02 01:00:00,2021-01-02 01:00:00,162.67910448,43598
2021-01-02 02:00:00,2021-01-02 02:00:00,167.18771331,48986
2021-01-02 03:00:00,2021-01-02 03:00:00,169.94158076,49453
2021-01-02 04:00:00,2021-01-02 04:00:00,171.11913357,47400
2021-01-02 05:00:00,2021-01-02 05:00:00,175.92509363,46972
2021-01-02 06:00:00,2021-01-02 06:00:00,165.24621212,43625
2021-01-02 07:00:00,2021-01-02 07:00:00,183.08487085,49616
2021-01-02 08:00:00,2021-01-02 08:00:00,195.47037037,52777
2021-01-02 09:00:00,2021-01-02 09:00:00,162.75919732,48665
2021-01-02 10:00:00,2021-01-02 10:00:00,169.49425287,44238
2021-01-02 11:00:00,2021-01-02 11:00:00,177.78490566,47113
2021-01-02 12:00:00,2021-01-02 12:00:00,172.64930556,49723
2021-01-02 13:00:00,2021-01-02 13:00:00,191.19402985,51240
2021-01-02 14:00:00,2021-01-02 14:00:00,203.26296296,54881
2021-01-02 15:00:00,2021-01-02 15:00:00,198.37398374,48800
2021-01-02 16:00:00,2021-01-02 16:00:00,196.25,56520
2021-01-02 17:00:00,2021-01-02 17:00:00,194.16791045,52037
2021-01-02 18:00:00,2021-01-02 18:00:00,170.75838926,50886
2021-01-02 19:00:00,2021-01-02 19:00:00,177.30545455,48759
2021-01-02 20:00:00,2021-01-02 20:00:00,186.19188192,50458
2021-01-02 21:00:00,2021-01-02 21:00:00,178.98591549,50832
2021-01-02 22:00:00,2021-01-02 22:00:00,168.99230769,43938
2021-01-02 23:00:00,2021-01-02 23:00:00,162.64705882,47005
2021-01-03 00:00:00,2021-01-03 00:00:00,177.50409836,43311
2021-01-03 01:00:00,2021-01-03 01:00:00,172.93869732,45137
2021-01-03 02:00:00,2021-01-03 02:00:00,182.91785714,51217
2021-01-03 03:00:00,2021-01-03 03:00:00,180.53623188,49828
2021-01-03 04:00:00,2021-01-03 04:00:00,178.0,42186
2021-01-03 05:00:00,2021-01-03 05:00:00,182.03125,46600
2021-01-03 06:00:00,2021-01-03 06:00:00,190.97785978,51755
2021-01-03 07:00:00,2021-01-03 07:00:00,203.83587786,53405
2021-01-03 08:00:00,2021-01-03 08:00:00,205.64111498,59019
2021-01-03 09:00:00,2021-01-03 09:00:00,193.14982578,55434
2021-01-03 10:00:00,2021-01-03 10:00:00,192.86181818,53037
2021-01-03 11:00:00,2021-01-03 11:00:00,190.27622378,54419
2021-01-03 12:00:00,2021-01-03 12:00:00,192.29090909,52880
2021-01-03 13:00:00,2021-01-03 13:00:00,187.76045627,49381
2021-01-03 14:00:00,2021-01-03 14:00:00,201.49280576,56015
2021-01-03 15:00:00,2021-01-03 15:00:00,225.55789474,64284
2021-01-03 16:00:00,2021-01-03 16:00:00,211.98425197,53844
2021-01-03 17:00:00,2021-01-03 17:00:00,209.23913043,57750
2021-01-03 18:00:00,2021-01-03 18:00:00,191.30851064,53949
2021-01-03 19:00:00,2021-01-03 19:00:00,183.76356589,47411
2021-01-03 20:00:00,2021-01-03 20:00:00,173.35430464,52353
2021-01-03 21:00:00,2021-01-03 21:00:00,186.25396825,46936
2021-01-03 22:00:00,2021-01-03 22:00:00,176.348659,46027
2021-01-03 23:00:00,2021-01-03 23:00:00,180.00373134,48241
2021-01-04 00:00:00,2021-01-04 00:00:00,178.7751938,46124
2021-01-04 01:00:00,2021-01-04 01:00:00,198.35714286,52763
2021-01-04 02:00:00,2021-01-04 02:00:00,193.75925926,52315
2021-01-04 03:00:00,2021-01-04 03:00:00,197.17845118,58562
2021-01-04 04:00:00,2021-01-04 04:00:00,199.90076336,52374
2021-01-04 05:00:00,2021-01-04 05:00:00,199.80916031,52350
2021-01-04 06:00:00,2021-01-04 06:00:00,201.80392157,51460
2021-01-04 07:00:00,2021-01-04 07:00:00,227.58947368,64863
2021-01-04 08:00:00,2021-01-04 08:00:00,234.23790323,58091
2021-01-04 09:00:00,2021-01-04 09:00:00,213.97426471,58201
2021-01-04 10:00:00,2021-01-04 10:00:00,208.94795539,56207
2021-01-04 11:00:00,2021-01-04 11:00:00,216.7962963,58535
2021-01-04 12:00:00,2021-01-04 12:00:00,208.98841699,54128
2021-01-04 13:00:00,2021-01-04 13:00:00,215.47583643,57963
2021-01-04 14:00:00,2021-01-04 14:00:00,202.76449275,55963
2021-01-04 15:00:00,2021-01-04 15:00:00,203.19298246,57910
2021-01-04 16:00:00,2021-01-04 16:00:00,196.68131868,53694
2021-01-04 17:00:00,2021-01-04 17:00:00,183.76842105,52374
2021-01-04 18:00:00,2021-01-04 18:00:00,176.67391304,48762
2021-01-04 19:00:00,2021-01-04 19:00:00,177.05645161,43910
2021-01-04 20:00:00,2021-01-04 20:00:00,165.52525253,49161
2021-01-04 21:00:00,2021-01-04 21:00:00,165.33793103,47948
2021-01-04 22:00:00,2021-01-04 22:00:00,175.87843137,44849
2021-01-04 23:00:00,2021-01-04 23:00:00,160.90344828,46662
2021-01-05 00:00:00,2021-01-05 00:00:00,169.30152672,44357
2021-01-05 01:00:00,2021-01-05 01:00:00,190.15750916,51913
2021-01-05 02:00:00,2021-01-05 02:00:00,205.55737705,50156
2021-01-05 03:00:00,2021-01-05 03:00:00,205.08502024,50656
2021-01-05 04:00:00,2021-01-05 04:00:00,187.19081272,52975
2021-01-05 05:00:00,2021-01-05 05:00:00,173.11842105,52628
2021-01-05 06:00:00,2021-01-05 06:00:00,203.08846154,52803
2021-01-05 07:00:00,2021-01-05 07:00:00,212.2810219,58165
2021-01-05 08:00:00,2021-01-05 08:00:00,223.92907801,63148
2021-01-05 09:00:00,2021-01-05 09:00:00,215.06153846,55916
2021-01-05 10:00:00,2021-01-05 10:00:00,200.26765799,53872
2021-01-05 11:00:00,2021-01-05 11:00:00,213.40163934,52070
2021-01-05 12:00:00,2021-01-05 12:00:00,199.84027778,57554
