start_time,datetime,uncle_blockreward,uncle_blockreward_usd
2021-01-01 00:00:00,2021-01-01 00:00:00,11.5,8451.346693175
2021-01-01 01:00:00,2021-01-01 01:00:00,24.25,18161.52210602
2021-01-01 02:00:00,2021-01-01 02:00:00,20.5,15276.06953708
2021-01-01 03:00:00,2021-01-01 03:00:00,22.0,16413.23799412
2021-01-01 04:00:00,2021-01-01 04:00:00,13.0,9663.23689162
2021-01-01 05:00:00,2021-01-01 05:00:00,17.0,12608.30240818
2021-01-01 06:00:00,2021-01-01 06:00:00,11.25,8333.9003286
2021-01-01 07:00:00,2021-01-01 07:00:00,10.5,7751.74353681
2021-01-01 08:00:00,2021-01-01 08:00:00,14.75,10777.83985148
2021-01-01 09:00:00,2021-01-01 09:00:00,17.0,12487.67871404
2021-01-01 10:00:00,2021-01-01 10:00:00,29.75,21944.6301214175
2021-01-01 11:00:00,2021-01-01 11:00:00,24.25,17948.51139321
2021-01-01 12:00:00,2021-01-01 12:00:00,24.25,17794.56584959
2021-01-01 13:00:00,2021-01-01 13:00:00,25.5,18906.945778275
2021-01-01 14:00:00,2021-01-01 14:00:00,12.0,8872.01794716
2021-01-01 15:00:00,2021-01-01 15:00:00,25.25,18599.584557045
2021-01-01 16:00:00,2021-01-01 16:00:00,23.25,17143.5270295275
2021-01-01 17:00:00,2021-01-01 17:00:00,18.0,13128.83763696
2021-01-01 18:00:00,2021-01-01 18:00:00,4.75,3446.654288225
2021-01-01 19:00:00,2021-01-01 19:00:00,14.25,10358.8588952025
2021-01-01 20:00:00,2021-01-01 20:00:00,15.5,11334.24302804
2021-01-01 21:00:00,2021-01-01 21:00:00,18.75,13681.2250854375
2021-01-01 22:00:00,2021-01-01 22:00:00,13.25,9681.182727915
2021-01-01 23:00:00,2021-01-01 23:00:00,17.5,12785.61901785
2021-01-02 00:00:00,2021-01-02 00:00:00,13.0,9365.6015427
2021-01-02 01:00:00,2021-01-02 01:00:00,27.25,19914.7761934775
2021-01-02 02:00:00,2021-01-02 02:00:00,16.5,12068.8159053
2021-01-02 03:00:00,2021-01-02 03:00:00,23.25,17015.5282153725
2021-01-02 04:00:00,2021-01-02 04:00:00,30.5,22297.908305315
2021-01-02 05:00:00,2021-01-02 05:00:00,10.0,7343.4516427
2021-01-02 06:00:00,2021-01-02 06:00:00,23.25,17164.5885539925
2021-01-02 07:00:00,2021-01-02 07:00:00,17.5,12888.171199575
2021-01-02 08:00:00,2021-01-02 08:00:00,15.5,11384.04980362
2021-01-02 09:00:00,2021-01-02 09:00:00,18.5,13428.092495415
2021-01-02 10:00:00,2021-01-02 10:00:00,18.0,13121.02537866
2021-01-02 11:00:00,2021-01-02 11:00:00,22.0,16077.64437796
2021-01-02 12:00:00,2021-01-02 12:00:00,21.25,16011.0553078125
2021-01-02 13:00:00,2021-01-02 13:00:00,11.5,8872.387453865
2021-01-02 14:00:00,2021-01-02 14:00:00,15.0,11429.9044359
2021-01-02 15:00:00,2021-01-02 15:00:00,8.25,6353.20929144
2021-01-02 16:00:00,2021-01-02 16:00:00,20.75,16237.554881635
2021-01-02 17:00:00,2021-01-02 17:00:00,20.0,15602.3523708
2021-01-02 18:00:00,2021-01-02 18:00:00,15.25,11897.2462126075
2021-01-02 19:00:00,2021-01-02 19:00:00,13.75,10795.8288574125
2021-01-02 20:00:00,2021-01-02 20:00:00,26.25,19912.063852275
2021-01-02 21:00:00,2021-01-02 21:00:00,23.25,17874.75569223
2021-01-02 22:00:00,2021-01-02 22:00:00,12.25,9466.594342345
2021-01-02 23:00:00,2021-01-02 23:00:00,27.0,20858.24039346
2021-01-03 00:00:00,2021-01-03 00:00:00,11.75,9120.5333353675
2021-01-03 01:00:00,2021-01-03 01:00:00,10.0,7772.3177307
2021-01-03 02:00:00,2021-01-03 02:00:00,15.0,11697.8368908
2021-01-03 03:00:00,2021-01-03 03:00:00,23.75,18364.724065975
2021-01-03 04:00:00,2021-01-03 04:00:00,13.5,10505.64013425
2021-01-03 05:00:00,2021-01-03 05:00:00,32.75,25752.8316535975
2021-01-03 06:00:00,2021-01-03 06:00:00,26.75,21405.6416630075
2021-01-03 07:00:00,2021-01-03 07:00:00,15.25,12209.6852556325
2021-01-03 08:00:00,2021-01-03 08:00:00,18.5,15127.66082674
2021-01-03 09:00:00,2021-01-03 09:00:00,19.5,15967.09316748
2021-01-03 10:00:00,2021-01-03 10:00:00,17.25,14248.72185915
2021-01-03 11:00:00,2021-01-03 11:00:00,9.5,7888.70031574
2021-01-03 12:00:00,2021-01-03 12:00:00,19.75,16436.368248515
2021-01-03 13:00:00,2021-01-03 13:00:00,24.0,20992.14587304
2021-01-03 14:00:00,2021-01-03 14:00:00,25.5,23294.140910745
2021-01-03 15:00:00,2021-01-03 15:00:00,23.0,21140.9151382
2021-01-03 16:00:00,2021-01-03 16:00:00,25.25,23633.9896634075
2021-01-03 17:00:00,2021-01-03 17:00:00,18.0,16855.53461892
2021-01-03 18:00:00,2021-01-03 18:00:00,20.75,19042.875579285
2021-01-03 19:00:00,2021-01-03 19:00:00,25.5,23497.588569525
2021-01-03 20:00:00,2021-01-03 20:00:00,37.25,35277.0867203475
2021-01-03 21:00:00,2021-01-03 21:00:00,25.5,24233.54194971
2021-01-03 22:00:00,2021-01-03 22:00:00,26.5,26298.055372265
2021-01-03 23:00:00,2021-01-03 23:00:00,23.75,23264.5573451625
2021-01-04 00:00:00,2021-01-04 00:00:00,9.75,9511.6631295075
2021-01-04 01:00:00,2021-01-04 01:00:00,24.5,23713.71722377
2021-01-04 02:00:00,2021-01-04 02:00:00,22.25,21799.2292731525
2021-01-04 03:00:00,2021-01-04 03:00:00,26.0,26595.20556524
2021-01-04 04:00:00,2021-01-04 04:00:00,20.5,21073.40246149
2021-01-04 05:00:00,2021-01-04 05:00:00,17.5,18996.55084145
2021-01-04 06:00:00,2021-01-04 06:00:00,15.5,17186.47671105
2021-01-04 07:00:00,2021-01-04 07:00:00,33.5,35040.55585231
2021-01-04 08:00:00,2021-01-04 08:00:00,24.75,25317.2951051625
2021-01-04 09:00:00,2021-01-04 09:00:00,14.75,14303.9039510325
2021-01-04 10:00:00,2021-01-04 10:00:00,24.75,23870.453629275
2021-01-04 11:00:00,2021-01-04 11:00:00,20.5,20021.650398345
2021-01-04 12:00:00,2021-01-04 12:00:00,19.75,20135.3445834625
2021-01-04 13:00:00,2021-01-04 13:00:00,12.75,12906.9553596975
2021-01-04 14:00:00,2021-01-04 14:00:00,22.0,22966.28742144
2021-01-04 15:00:00,2021-01-04 15:00:00,12.0,12486.82282548
2021-01-04 16:00:00,2021-01-04 16:00:00,29.75,30055.6989920075
